Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,181.643874,[ 76 142] ; [768 188],[156.72231687  61.27768313] ; [687.27768313 268.72231687],1
p11,1,0.0,65.31146,[107 118] ; [734 245],[157.16362126  67.83637874] ; [683.83637874 295.16362126],1
p2,1,0.0,40.918328,[133  92] ; [769 199],[170.11735122  54.88264878] ; [731.88264878 236.11735122],1
n6,1,0.0,30.059096,[141  81] ; [780 188],[171.81680672  50.18319328] ; [749.18319328 218.81680672],1
p8,1,0.0,28.689129,[ 65 156] ; [472 485],[100.74448217 120.25551783] ; [436.25551783 520.74448217],1
p7,1,0.0,26.333186,[ 93 129] ; [576 371],[127.04704876  94.95295124] ; [541.95295124 405.04704876],1
r4,1,0.0,25.298187,[159  66] ; [831 148],[185.00830565  39.99169435] ; [804.99169435 174.00830565],1
n5,1,1e-06,24.65107,[123 100] ; [699 269],[153.9093199  69.0906801] ; [668.0906801 299.9093199],1
s8,1,1e-06,23.784768,[ 51 171] ; [393 577],[ 82.69127517 139.30872483] ; [361.30872483 608.69127517],1
p4,1,1e-06,23.50582,[ 85 139] ; [540 426],[117.64705882 106.35294118] ; [507.35294118 458.64705882],1
v4,1,1e-06,23.444641,[182  41] ; [895  75],[201.31684828  21.68315172] ; [875.68315172  94.31684828],1
r3,1,3e-06,21.661064,[182  41] ; [893  78],[200.77470687  22.22529313] ; [874.22529313  96.77470687],1
s6,1,4e-06,21.041451,[103 119] ; [603 352],[133.16227698  88.83772302] ; [572.83772302 382.16227698],1
p3,1,3e-05,17.421453,[ 70 154] ; [452 518],[ 97.92964824 126.07035176] ; [424.07035176 545.92964824],1
s2,1,3.6e-05,17.077335,[ 72 150] ; [462 506],[ 99.62016807 122.37983193] ; [434.37983193 533.62016807],1
s7,1,7.8e-05,15.61639,[ 65 146] ; [423 502],[ 90.64084507 120.35915493] ; [397.35915493 527.64084507],1
s5,1,9.9e-05,15.151048,[ 41 176] ; [303 635],[ 64.63030303 152.36969697] ; [279.36969697 658.63030303],1
v1,1,0.00013,14.647307,[ 81 141] ; [485 471],[106.6655348 115.3344652] ; [459.3344652 496.6655348],1
v2,1,0.000485,12.170559,[ 89 130] ; [505 435],[112.23986195 106.76013805] ; [481.76013805 458.23986195],1
a5,1,0.000491,12.150983,[131  94] ; [687 291],[152.9925187  72.0074813] ; [665.0074813 312.9925187],1
n4,1,0.000913,10.997062,[141  82] ; [724 251],[161.01419032  61.98580968] ; [703.98580968 271.01419032],1
r2,1,0.001333,10.29622,[188  33] ; [887  77],[200.48523207  20.51476793] ; [874.51476793  89.48523207],0
r1,1,0.001538,10.032077,[148  75] ; [746 228],[166.55137845  56.44862155] ; [727.44862155 246.55137845],0
p6,1,0.001928,9.617266,[ 51 168] ; [326 629],[ 70.32623509 148.67376491] ; [306.67376491 648.32623509],0
d5,1,0.002485,9.151378,[154  70] ; [763 212],[171.31609675  52.68390325] ; [745.68390325 229.31609675],0
p12,1,0.002939,8.844933,[  4 220] ; [ 68 897],[ 13.56433978 210.43566022] ; [ 58.43566022 906.56433978],0
p5,1,0.004357,8.128581,[ 10 214] ; [103 863],[ 21.27058824 202.72941176] ; [ 91.72941176 874.27058824],0
a7,1,0.004509,8.066461,[134  89] ; [681 293],[151.83375104  71.16624896] ; [663.16624896 310.83375104],0
v3,1,0.005934,7.570332,[ 59 156] ; [353 591],[ 76.42795513 138.57204487] ; [335.57204487 608.42795513],0
b1,1,0.005956,7.563576,[111 114] ; [385 594],[ 92.6910299 132.3089701] ; [403.3089701 575.6910299],0
a3,1,0.007146,7.235997,[132  90] ; [670 303],[148.99079498  73.00920502] ; [653.00920502 319.99079498],0
d1,1,0.007728,7.095528,[102 123] ; [540 439],[119.97508306 105.02491694] ; [522.02491694 456.97508306],0
s3,1,0.009399,6.74534,[ 96 124] ; [511 447],[113.36162988 106.63837012] ; [493.63837012 464.36162988],0
d3,1,0.012531,6.234187,[129  95] ; [647 327],[145.0951586  78.9048414] ; [630.9048414 343.0951586],0
d4,1,0.013531,6.09838,[160  62] ; [775 198],[173.69874477  48.30125523] ; [761.30125523 211.69874477],0
a6,1,0.023461,5.134008,[129  95] ; [640 335],[143.66638866  80.33361134] ; [625.33361134 349.66638866],0
u2,1,0.060085,3.535031,[39 51] ; [166 138],[46.82741117 43.17258883] ; [158.17258883 145.82741117],0
s1,1,0.067781,3.335963,[ 15 207] ; [ 38 925],[  9.92911392 212.07088608] ; [ 43.07088608 919.92911392],0
n2,1,0.117929,2.444611,[57 34] ; [178  71],[62.89705882 28.10294118] ; [172.10294118  76.89705882],0
a1,1,0.183084,1.772408,[ 16 209] ; [ 48 931],[ 11.96013289 213.03986711] ; [ 52.03986711 926.96013289],0
u3,1,0.224569,1.474934,[45 48] ; [170 136],[50.11278195 42.88721805] ; [164.88721805 141.11278195],0
n3,1,0.225025,1.472037,[56 33] ; [172  74],[60.57313433 28.42686567] ; [167.42686567  78.57313433],0
a2,1,0.354664,0.856699,[ 42 183] ; [210 769],[ 47.09302326 177.90697674] ; [204.90697674 774.09302326],0
u1,1,0.399926,0.70855,[ 31 194] ; [157 822],[ 35.13289037 189.86710963] ; [152.86710963 826.13289037],0
b5,1,0.404897,0.693734,[141  84] ; [584 395],[135.4858804  89.5141196] ; [589.5141196 389.4858804],0
s4,1,0.40741,0.686347,[ 33 189] ; [166 801],[ 37.15559294 184.84440706] ; [161.84440706 805.15559294],0
b2,1,0.440731,0.594379,[47 97] ; [211 374],[50.96296296 93.03703704] ; [207.03703704 377.96296296],0
b3,1,0.440731,0.594379,[47 97] ; [211 374],[50.96296296 93.03703704] ; [207.03703704 377.96296296],0
p1,1,0.470591,0.520589,[ 16 207] ; [ 84 886],[ 18.69237217 204.30762783] ; [ 81.30762783 888.69237217],0
n1,1,0.663652,0.189118,[36 54] ; [ 92 154],[34.28571429 55.71428571] ; [ 93.71428571 152.28571429],0
a4,1,0.671282,0.180106,[ 92 131] ; [417 557],[ 94.82623225 128.17376775] ; [414.17376775 559.82623225],0
