Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,65.86066,[122 118] ; [740 219],[172.54378649  67.45621351] ; [689.45621351 269.54378649],1
p9,1,0.0,48.40793,[140  98] ; [768 188],[180.99162479  57.00837521] ; [727.00837521 228.99162479],1
p2,1,0.0,34.389558,[152  95] ; [769 199],[187.23209877  59.76790123] ; [733.76790123 234.23209877],1
r3,1,0.0,31.511542,[196  50] ; [893  78],[220.12654067  25.87345933] ; [868.87345933 102.12654067],1
p8,1,0.0,28.287499,[ 74 170] ; [472 485],[110.92756037 133.07243963] ; [435.07243963 521.92756037],1
n6,1,0.0,26.147234,[160  85] ; [780 188],[189.85985161  55.14014839] ; [750.14014839 217.85985161],1
r4,1,2e-06,22.959053,[179  70] ; [831 148],[204.79641694  44.20358306] ; [805.20358306 173.79641694],1
p7,1,9e-06,19.659316,[109 133] ; [576 371],[139.4196804 102.5803196] ; [545.5803196 401.4196804],1
v4,1,4.9e-05,16.47647,[207  40] ; [895  75],[223.65981923  23.34018077] ; [878.34018077  91.65981923],1
b1,1,9.4e-05,15.254092,[132 117] ; [385 594],[104.83143322 144.16856678] ; [412.16856678 566.83143322],1
n4,1,0.000171,14.121627,[153  93] ; [724 251],[176.69287469  69.30712531] ; [700.30712531 274.69287469],1
p4,1,0.000258,13.356665,[105 140] ; [540 426],[130.49132948 114.50867052] ; [514.50867052 451.49132948],1
n5,1,0.000381,12.623518,[149  97] ; [699 269],[171.83525535  74.16474465] ; [676.16474465 291.83525535],1
p3,1,0.003314,8.625769,[ 89 157] ; [452 518],[109.44572368 136.55427632] ; [431.55427632 538.44572368],0
v2,1,0.003331,8.616584,[103 136] ; [505 435],[123.25021204 115.74978796] ; [484.74978796 455.25021204],0
p12,1,0.007075,7.253797,[  6 240] ; [ 68 897],[ 15.03220479 230.96779521] ; [ 58.96779521 906.03220479],0
v1,1,0.00817,6.995831,[102 145] ; [485 471],[120.52285952 126.47714048] ; [466.47714048 489.52285952],0
s8,1,0.014019,6.035703,[ 79 168] ; [393 577],[ 95.79622021 151.20377979] ; [376.20377979 593.79622021],0
r1,1,0.015294,5.88231,[170  76] ; [746 228],[184.70163934  61.29836066] ; [731.29836066 242.70163934],0
a5,1,0.021031,5.324223,[156  93] ; [687 291],[171.07334963  77.92665037] ; [671.92665037 306.07334963],0
s1,1,0.023789,5.109941,[ 18 227] ; [ 38 925],[ 11.35761589 233.64238411] ; [ 44.64238411 918.35761589],0
a6,1,0.026361,4.932198,[144 104] ; [640 335],[158.97955846  89.02044154] ; [625.02044154 349.97955846],0
p6,1,0.042139,4.129613,[ 66 176] ; [326 629],[ 79.25146199 162.74853801] ; [312.74853801 642.25146199],0
p5,1,0.052321,3.765479,[ 16 229] ; [103 863],[ 24.07514451 220.92485549] ; [ 94.92485549 871.07514451],0
r2,1,0.054563,3.695403,[215  29] ; [887  77],[222.58940397  21.41059603] ; [879.41059603  84.58940397],0
u2,1,0.058896,3.568194,[38 50] ; [166 138],[45.79591837 42.20408163] ; [158.20408163 145.79591837],0
s6,1,0.068789,3.311683,[138 105] ; [603 352],[150.30300501  92.69699499] ; [590.69699499 364.30300501],0
v3,1,0.099771,2.709195,[ 75 162] ; [353 591],[ 85.88992379 151.11007621] ; [342.11007621 601.88992379],0
d4,1,0.103394,2.652392,[185  62] ; [775 198],[194.36065574  52.63934426] ; [765.63934426 207.36065574],0
d1,1,0.160971,1.965077,[125 124] ; [540 439],[134.84120521 114.15879479] ; [530.15879479 448.84120521],0
n2,1,0.170255,1.880697,[64 36] ; [178  71],[69.34097421 30.65902579] ; [172.65902579  76.34097421],0
a3,1,0.190128,1.716625,[158  87] ; [670 303],[166.55172414  78.44827586] ; [661.44827586 311.55172414],0
s7,1,0.1962,1.670439,[ 93 134] ; [423 502],[101.67708333 125.32291667] ; [414.32291667 510.67708333],0
n3,1,0.208884,1.579147,[61 36] ; [172  74],[65.89212828 31.10787172] ; [167.10787172  78.89212828],0
s4,1,0.212617,1.553519,[ 51 197] ; [166 801],[ 44.29300412 203.70699588] ; [172.70699588 794.29300412],0
a1,1,0.225914,1.466406,[ 17 232] ; [ 48 931],[ 13.17996743 235.82003257] ; [ 51.82003257 927.17996743],0
u3,1,0.227735,1.454951,[43 46] ; [170 136],[47.99240506 41.00759494] ; [165.00759494 140.99240506],0
s3,1,0.24459,1.353944,[121 125] ; [511 447],[129.12956811 116.87043189] ; [502.87043189 455.12956811],0
d5,1,0.25841,1.277257,[185  62] ; [763 212],[191.61702128  55.38297872] ; [756.38297872 218.61702128],0
b4,1,0.290697,1.116389,[136 113] ; [571 408],[143.35749186 105.64250814] ; [563.64250814 415.35749186],0
s5,1,0.320986,0.984927,[ 68 167] ; [303 635],[ 74.32651321 160.67348679] ; [296.67348679 641.32651321],0
a8,1,0.368959,0.807166,[ 24 201] ; [115 778],[ 27.97406082 197.02593918] ; [111.02593918 781.97406082],0
d3,1,0.373429,0.792224,[156  90] ; [647 327],[161.91639344  84.08360656] ; [641.08360656 332.91639344],0
b5,1,0.388061,0.74501,[156  93] ; [584 395],[150.04885993  98.95114007] ; [589.95114007 389.04885993],0
a7,1,0.408999,0.68171,[166  81] ; [681 293],[171.34234234  75.65765766] ; [675.65765766 298.34234234],0
d2,1,0.459677,0.546682,[122 125] ; [455 518],[116.81885246 130.18114754] ; [460.18114754 512.81885246],0
s2,1,0.470168,0.52158,[112 136] ; [462 506],[117.06578947 130.93421053] ; [456.93421053 511.06578947],0
b2,1,0.483013,0.492054,[43 88] ; [211 374],[46.47206704 84.52793296] ; [207.52793296 377.47206704],0
b3,1,0.483013,0.492054,[43 88] ; [211 374],[46.47206704 84.52793296] ; [207.52793296 377.47206704],0
n1,1,0.556265,0.346212,[40 58] ; [ 92 154],[37.60465116 60.39534884] ; [ 94.39534884 151.60465116],0
u1,1,0.764908,0.089426,[ 38 211] ; [157 822],[ 39.53990228 209.46009772] ; [155.46009772 823.53990228],0
a2,1,0.827059,0.047731,[ 55 194] ; [210 769],[ 53.73371336 195.26628664] ; [211.26628664 767.73371336],0
p1,1,0.916149,0.011085,[ 22 226] ; [ 84 886],[ 21.58292282 226.41707718] ; [ 84.41707718 885.58292282],0
a4,1,0.931484,0.007392,[105 142] ; [417 557],[105.5970516 141.4029484] ; [416.4029484 557.5970516],0
