Feature,DoF,P Value,Chi Square,Is Significant
p1,1,0.145546,2.118317,0
p7,1,0.161105,1.963827,0
p9,1,0.199253,1.647842,0
b3,1,0.237379,1.39609,0
b2,1,0.237379,1.39609,0
a6,1,0.270722,1.213087,0
b4,1,0.406484,0.68906,0
p2,1,0.433655,0.613014,0
u1,1,0.454753,0.558778,0
b5,1,0.494352,0.46704,0
a4,1,0.544497,0.367268,0
s8,1,0.557249,0.34449,0
v2,1,0.625341,0.238432,0
a3,1,0.645903,0.211104,0
v1,1,0.674947,0.175869,0
a2,1,0.718954,0.129497,0
p3,1,0.762038,0.091692,0
d3,1,0.911693,0.0123,0
a7,1,0.981853,0.000517,0
