Feature,DoF,P Value,Chi Square,Is Significant
b2,1,0.000144,14.445579,1
b3,1,0.000144,14.445579,1
a1,1,0.000239,13.495471,1
s8,1,0.000345,12.807052,1
a2,1,0.000367,12.693715,1
p5,1,0.001018,10.794576,1
v3,1,0.003292,8.638257,1
d2,1,0.004585,8.036276,1
s3,1,0.006462,7.416646,1
a4,1,0.008688,6.885845,1
s7,1,0.008913,6.840136,1
s2,1,0.010703,6.513938,0
p12,1,0.0127,6.210475,0
d1,1,0.012956,6.175052,0
v1,1,0.02536,4.999102,0
p3,1,0.028869,4.775428,0
u1,1,0.043403,4.079642,0
s6,1,0.057675,3.603022,0
p4,1,0.063177,3.451943,0
a5,1,0.096272,2.766248,0
p6,1,0.135246,2.231233,0
a8,1,0.144905,2.125081,0
v2,1,0.18443,1.761561,0
s1,1,0.253785,1.302349,0
d3,1,0.259974,1.268898,0
p8,1,0.276951,1.181991,0
s4,1,0.393285,0.728762,0
n4,1,0.519297,0.415289,0
a6,1,0.589225,0.291557,0
b4,1,0.63308,0.227907,0
p7,1,0.650571,0.205181,0
r1,1,0.663556,0.189233,0
a7,1,0.665495,0.186917,0
d5,1,0.755239,0.097181,0
p2,1,0.79391,0.068244,0
p1,1,0.874471,0.024958,0
s5,1,0.88052,0.022593,0
b5,1,0.958506,0.002707,0
