Feature,DoF,P Value,Chi Square,Is Significant
p2,1,0.036331,4.381481,0
p7,1,0.052958,3.745238,0
v3,1,0.078983,3.085714,0
p11,1,0.124283,2.3625,0
b2,1,0.333998,0.933333,0
b3,1,0.333998,0.933333,0
a6,1,0.333998,0.933333,0
p4,1,0.333998,0.933333,0
s8,1,0.333998,0.933333,0
d3,1,0.347153,0.883838,0
p3,1,0.532884,0.388889,0
a2,1,0.532884,0.388889,0
u1,1,0.639994,0.21875,0
p6,1,0.639994,0.21875,0
b4,1,0.639994,0.21875,0
s7,1,0.732678,0.116667,0
b5,1,0.732678,0.116667,0
a7,1,0.732678,0.116667,0
s3,1,0.732678,0.116667,0
v2,1,0.852876,0.034392,0
s2,1,0.872081,0.025926,0
a4,1,0.872081,0.025926,0
p8,1,1.0,0.0,0
