Feature,DoF,P Value,Chi Square,Is Significant
s8,1,0.0,29.802105,1
p9,1,0.0,27.624613,1
s7,1,1.1e-05,19.416813,1
p12,1,1.2e-05,19.208354,1
s2,1,2.3e-05,17.939768,1
d1,1,0.000128,14.664067,1
p5,1,0.000145,14.439244,1
s6,1,0.000187,13.953153,1
v1,1,0.000196,13.870881,1
b3,1,0.000251,13.402295,1
b2,1,0.000251,13.402295,1
s3,1,0.000388,12.58981,1
n5,1,0.000533,11.996003,1
a2,1,0.001023,10.785273,1
p4,1,0.001245,10.422346,1
d2,1,0.001612,9.945642,1
u1,1,0.002128,9.435953,1
n6,1,0.00438,8.119194,1
p8,1,0.004964,7.892482,1
a5,1,0.005273,7.783378,1
p11,1,0.00542,7.733825,1
a3,1,0.007042,7.262275,1
v3,1,0.007548,7.13761,1
p6,1,0.00872,6.879323,1
p3,1,0.009107,6.801656,1
a4,1,0.013021,6.166249,0
v2,1,0.016211,5.77981,0
n4,1,0.021064,5.321451,0
d4,1,0.025219,5.008808,0
r1,1,0.037918,4.308713,0
d5,1,0.045883,3.985885,0
n1,1,0.077856,3.109091,0
d3,1,0.129281,2.301116,0
v4,1,0.129353,2.300248,0
a8,1,0.149518,2.077165,0
p7,1,0.17647,1.827108,0
a1,1,0.206202,1.597895,0
s4,1,0.248522,1.331592,0
a6,1,0.280277,1.165746,0
p2,1,0.340803,0.907407,0
b1,1,0.360563,0.835932,0
s5,1,0.361335,0.833249,0
a7,1,0.38425,0.757061,0
b4,1,0.428289,0.627459,0
p1,1,0.643977,0.213578,0
s1,1,0.801827,0.062993,0
b5,1,0.836042,0.042832,0
u2,1,0.850792,0.035385,0
n3,1,0.895394,0.017288,0
n2,1,0.905592,0.014066,0
u3,1,0.96398,0.002039,0
