u1
b1
b2
b3
a1
d4
d5
d2
d3
d1
s8
p4
s3
s2
s1
n1
s7
s6
s5
u2
p2
p5
p10
p11
a3
v3
v4
a4
a7
a6
r1
r4
p3
p6
p7
r2
r3
p8
p9
v2
v1
a2
p12
a5
n4
n5
n6
