u1
r2
b1
d4
d5
d3
d1
s8
s3
s2
s1
s7
u3
u2
s5
r4
p5
p10
v1
v2
v3
a5
s4
a7
a6
r1
p2
p3
p6
p7
p4
r3
p8
p9
p12
a2
v4
n2
n3
n4
n5
n6
