p9
u1
u3
b2
b3
d4
d5
d2
d3
d1
s8
p4
s3
s2
s1
s7
s6
s5
u2
p2
p10
p11
a3
v3
v4
a4
a7
a6
a8
a5
p7
r4
p3
a1
r1
r2
p5
p6
p8
r3
v2
v1
a2
p12
n1
n4
n5
n6
b1
