s7
b5
u3
b2
b3
d4
d5
d3
d1
s8
r3
s3
s2
u1
s6
s5
u2
r4
a1
p11
a3
a2
v4
a7
a6
a8
r1
p2
p3
p6
p7
p4
p5
p8
p9
v2
v1
n1
p12
a5
n4
n5
n6
r2
