p9
u1
b5
b1
b2
b3
d4
d5
d2
d3
d1
s8
s3
s2
s1
n1
s7
s6
s5
u2
p2
p10
p11
v2
a2
v4
a4
a7
a6
a8
p7
r4
p3
a1
r1
p4
r3
p6
p8
p5
s4
a3
v1
v3
p12
u3
a5
n2
n4
n5
n6
r2
