s7
b1
b2
b3
d4
d5
d2
d3
d1
s8
p4
s3
s2
u1
s6
s5
u2
p10
r4
r3
a1
p11
a3
v3
v4
a4
a7
a6
a5
r1
p2
p3
p6
p7
r2
p5
p8
p9
v2
v1
a2
p12
n1
n4
n5
n6
