p9
u1
b1
d4
d5
d3
d1
s8
p4
s3
s2
s1
s7
s6
u3
u2
s5
p2
p10
p11
p12
a2
a5
s4
a6
p7
r4
p3
p6
r1
r2
r3
p8
p5
v2
v1
v4
n4
n5
n6
