Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,30.188158,[ 4 15] ; [96 22],[13.86861314  5.13138686] ; [86.13138686 31.86861314],1
v4,1,5e-06,20.757136,[12  6] ; [115   4],[16.68613139  1.31386861] ; [110.31386861   8.68613139],1
r2,1,5e-06,20.757136,[12  6] ; [115   4],[16.68613139  1.31386861] ; [110.31386861   8.68613139],1
r3,1,1.3e-05,18.999292,[15  4] ; [117   1],[18.30656934  0.69343066] ; [113.69343066   4.30656934],1
p10,1,0.000357,12.745539,[ 8 11] ; [94 23],[14.25  4.75] ; [87.75 29.25],1
p9,1,0.001294,10.351633,[10  9] ; [98 18],[15.2  3.8] ; [92.8 23.2],0
n2,1,0.0089,6.842876,[3 5] ; [35  8],[5.96078431 2.03921569] ; [32.03921569 10.96078431],0
s3,1,0.03642,4.37731,[ 8 10] ; [82 36],[11.91176471  6.08823529] ; [78.08823529 39.91176471],0
n6,1,0.041641,4.149746,[ 9 10] ; [83 34],[12.85294118  6.14705882] ; [79.14705882 37.85294118],0
n5,1,0.149362,2.078757,[ 4 15] ; [45 73],[ 6.79562044 12.20437956] ; [42.20437956 75.79562044],0
b1,1,0.187372,1.738162,[ 9 10] ; [38 81],[ 6.47101449 12.52898551] ; [40.52898551 78.47101449],0
b2,1,0.19084,1.711122,[1 7] ; [20 36],[2.625 5.375] ; [18.375 37.625],0
b3,1,0.19084,1.711122,[1 7] ; [20 36],[2.625 5.375] ; [18.375 37.625],0
a4,1,0.197686,1.659388,[ 4 15] ; [43 76],[ 6.47101449 12.52898551] ; [40.52898551 78.47101449],0
s8,1,0.232798,1.423685,[ 6 13] ; [55 64],[ 8.39855072 10.60144928] ; [52.60144928 66.39855072],0
a3,1,0.249296,1.327244,[ 9 10] ; [73 46],[11.28985507  7.71014493] ; [70.71014493 48.28985507],0
n1,1,0.252916,1.307122,[1 7] ; [14 29],[2.35294118 5.64705882] ; [12.64705882 30.35294118],0
n3,1,0.276128,1.186047,[4 4] ; [30 13],[5.33333333 2.66666667] ; [28.66666667 14.33333333],0
p8,1,0.344512,0.893569,[ 7 11] ; [60 58],[8.86764706 9.13235294] ; [58.13235294 59.86764706],0
b4,1,0.387046,0.748203,[10  9] ; [75 44],[11.70289855  7.29710145] ; [73.29710145 45.70289855],0
a2,1,0.395233,0.722782,[ 2 17] ; [22 97],[ 3.30434783 15.69565217] ; [20.69565217 98.30434783],0
a7,1,0.398896,0.711652,[13  6] ; [92 27],[14.45652174  4.54347826] ; [90.54347826 28.45652174],0
p11,1,0.425404,0.635337,[11  8] ; [80 39],[12.52898551  6.47101449] ; [78.47101449 40.52898551],0
u1,1,0.447871,0.576035,[ 1 18] ; [ 13 106],[ 1.92753623 17.07246377] ; [ 12.07246377 106.92753623],0
p2,1,0.462226,0.540498,[13  6] ; [90 28],[14.28467153  4.71532847] ; [88.71532847 29.28467153],0
s7,1,0.476131,0.507711,[ 7 12] ; [52 62],[ 8.42857143 10.57142857] ; [50.57142857 63.42857143],0
v2,1,0.508292,0.437582,[11  7] ; [58 52],[9.703125 8.296875] ; [59.296875 50.703125],0
a6,1,0.513344,0.427245,[12  7] ; [84 35],[13.2173913  5.7826087] ; [82.7826087 36.2173913],0
a5,1,0.517499,0.418875,[11  8] ; [78 41],[12.25362319  6.74637681] ; [76.74637681 42.25362319],0
p3,1,0.529761,0.394849,[ 7 12] ; [53 66],[ 8.26086957 10.73913043] ; [51.73913043 67.26086957],0
p7,1,0.535962,0.383075,[10  9] ; [68 45],[11.22727273  7.77272727] ; [66.77272727 46.22727273],0
p4,1,0.544944,0.366453,[11  8] ; [60 59],[9.77536232 9.22463768] ; [61.22463768 57.77536232],0
p6,1,0.550525,0.356377,[ 4 15] ; [32 84],[ 5.06666667 13.93333333] ; [30.93333333 85.06666667],0
v1,1,0.596461,0.280367,[10  9] ; [53 62],[ 8.93283582 10.06716418] ; [54.06716418 60.93283582],0
u2,1,0.599729,0.275405,[5 5] ; [26 18],[5.74074074 4.25925926] ; [25.25925926 18.74074074],0
d2,1,0.601006,0.273481,[ 6 13] ; [45 74],[ 7.02173913 11.97826087] ; [43.97826087 75.02173913],0
s2,1,0.616582,0.250701,[11  8] ; [76 43],[11.97826087  7.02173913] ; [75.02173913 43.97826087],0
s5,1,0.636764,0.223,[ 7 11] ; [52 64],[ 7.92537313 10.07462687] ; [51.07462687 64.92537313],0
v3,1,0.665883,0.186456,[ 5 14] ; [35 77],[ 5.80152672 13.19847328] ; [34.19847328 77.80152672],0
u3,1,0.723931,0.124757,[6 4] ; [29 15],[6.48148148 3.51851852] ; [28.51851852 15.48148148],0
a8,1,0.740781,0.109442,[ 1 18] ; [  4 105],[ 0.7421875 18.2578125] ; [  4.2578125 104.7421875],0
d4,1,0.776765,0.080393,[16  3] ; [97 22],[15.55797101  3.44202899] ; [97.44202899 21.55797101],0
d3,1,0.782384,0.076294,[14  5] ; [84 35],[13.49275362  5.50724638] ; [84.50724638 34.49275362],0
d5,1,0.791464,0.069913,[14  5] ; [91 28],[14.45652174  4.54347826] ; [90.54347826 28.45652174],0
s4,1,0.806034,0.060293,[ 6 13] ; [41 78],[ 6.47101449 12.52898551] ; [40.52898551 78.47101449],0
b5,1,0.8258,0.04844,[12  7] ; [72 47],[11.56521739  7.43478261] ; [72.43478261 46.56521739],0
d1,1,0.911584,0.01233,[10  9] ; [61 58],[9.77536232 9.22463768] ; [61.22463768 57.77536232],0
