Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,8e-06,19.864457,[82  6] ; [13 10],[75.31531532 12.68468468] ; [19.68468468  3.31531532],1
r4,1,0.000538,11.979097,[76 12] ; [13 11],[69.92857143 18.07142857] ; [19.07142857  4.92857143],1
n4,1,0.000549,11.942389,[60 28] ; [ 7 17],[52.64285714 35.35714286] ; [14.35714286  9.64285714],1
v4,1,0.002534,9.116162,[83  5] ; [16  6],[79.2  8.8] ; [19.8  2.2],0
s7,1,0.003378,8.590909,[46 38] ; [ 4 17],[40. 44.] ; [10. 11.],0
v2,1,0.00579,7.614465,[46 39] ; [ 5 18],[40.13888889 44.86111111] ; [10.86111111 12.13888889],0
n5,1,0.006379,7.439963,[63 25] ; [10 14],[57.35714286 30.64285714] ; [15.64285714  8.35714286],0
p6,1,0.010217,6.596702,[45 42] ; [ 5 18],[39.54545455 47.45454545] ; [10.45454545 12.54545455],0
b3,1,0.016508,5.747925,[22 34] ; [ 1 14],[18.14084507 37.85915493] ; [ 4.85915493 10.14084507],0
b2,1,0.016508,5.747925,[22 34] ; [ 1 14],[18.14084507 37.85915493] ; [ 4.85915493 10.14084507],0
a4,1,0.021972,5.248039,[14 73] ; [ 9 15],[18.02702703 68.97297297] ; [ 4.97297297 19.02702703],0
p9,1,0.027212,4.877279,[67 20] ; [13 11],[62.7027027 24.2972973] ; [17.2972973  6.7027027],0
p10,1,0.027844,4.837724,[64 23] ; [12 12],[59.56756757 27.43243243] ; [16.43243243  7.56756757],0
s1,1,0.032906,4.550675,[ 2 85] ; [ 3 21],[ 3.91891892 83.08108108] ; [ 1.08108108 22.91891892],0
s8,1,0.041963,4.13668,[38 49] ; [ 5 19],[33.7027027 53.2972973] ; [ 9.2972973 14.7027027],0
b1,1,0.052226,3.768518,[39 49] ; [16  8],[43.21428571 44.78571429] ; [11.78571429 12.21428571],0
a7,1,0.057082,3.620202,[59 29] ; [11 13],[55. 33.] ; [15.  9.],0
