Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.012983,6.171429,[8 2] ; [ 4 10],[5. 5.] ; [7. 7.],0
v2,1,0.027012,4.890046,[9 1] ; [7 8],[6.4 3.6] ; [9.6 5.4],0
p9,1,0.040424,4.2,[9 1] ; [7 7],[6.66666667 3.33333333] ; [9.33333333 4.66666667],0
s8,1,0.045465,4.001323,[5 5] ; [ 2 13],[2.8 7.2] ; [ 4.2 10.8],0
p10,1,0.068817,3.31102,[8 2] ; [6 8],[5.83333333 4.16666667] ; [8.16666667 5.83333333],0
s5,1,0.088376,2.903704,[4 5] ; [ 2 13],[2.25 6.75] ; [ 3.75 11.25],0
r4,1,0.095581,2.777778,[6 4] ; [ 4 11],[4. 6.] ; [6. 9.],0
p2,1,0.101707,2.678571,[9 1] ; [9 6],[7.2 2.8] ; [10.8  4.2],0
d3,1,0.115184,2.481618,[5 5] ; [12  3],[6.8 3.2] ; [10.2  4.8],0
s7,1,0.132391,2.264245,[4 5] ; [ 2 11],[2.45454545 6.54545455] ; [3.54545455 9.45454545],0
n4,1,0.173568,1.851852,[8 2] ; [8 7],[6.4 3.6] ; [9.6 5.4],0
v1,1,0.188206,1.731602,[6 4] ; [ 5 10],[4.4 5.6] ; [6.6 8.4],0
d2,1,0.249561,1.325758,[7 3] ; [7 8],[5.6 4.4] ; [8.4 6.6],0
u2,1,0.259796,1.269841,[2 1] ; [2 5],[1.2 1.8] ; [2.8 4.2],0
s2,1,0.285049,1.142857,[5 5] ; [ 4 10],[3.75 6.25] ; [5.25 8.75],0
n5,1,0.293622,1.102941,[8 2] ; [9 6],[6.8 3.2] ; [10.2  4.8],0
a2,1,0.314879,1.010101,[2 8] ; [ 1 14],[1.2 8.8] ; [ 1.8 13.2],0
a7,1,0.3268,0.961538,[6 4] ; [6 9],[4.8 5.2] ; [7.2 7.8],0
d1,1,0.404657,0.694444,[5 5] ; [ 5 10],[4. 6.] ; [6. 9.],0
a3,1,0.404657,0.694444,[7 3] ; [8 7],[6. 4.] ; [9. 6.],0
d4,1,0.48384,0.490196,[6 4] ; [11  4],[6.8 3.2] ; [10.2  4.8],0
u3,1,0.490153,0.47619,[1 2] ; [1 6],[0.6 2.4] ; [1.4 5.6],0
b1,1,0.513292,0.42735,[6 4] ; [7 8],[5.2 4.8] ; [7.8 7.2],0
r2,1,0.513292,0.42735,[6 4] ; [7 8],[5.2 4.8] ; [7.8 7.2],0
a6,1,0.513292,0.42735,[6 4] ; [7 8],[5.2 4.8] ; [7.8 7.2],0
p3,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
b5,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
p7,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
d5,1,0.609834,0.260417,[7 3] ; [9 6],[6.4 3.6] ; [9.6 5.4],0
p8,1,0.627867,0.234965,[4 6] ; [7 7],[4.58333333 5.41666667] ; [6.41666667 7.58333333],0
p5,1,0.711138,0.137143,[2 8] ; [ 2 12],[1.66666667 8.33333333] ; [ 2.33333333 11.66666667],0
v3,1,0.727943,0.121008,[3 6] ; [ 4 11],[2.625 6.375] ; [ 4.375 10.625],0
p1,1,0.763441,0.09058,[1 9] ; [ 1 14],[0.8 9.2] ; [ 1.2 13.8],0
n1,1,0.80915,0.058333,[1 1] ; [2 3],[0.85714286 1.14285714] ; [2.14285714 2.85714286],0
r1,1,0.87018,0.026709,[5 5] ; [7 8],[4.8 5.2] ; [7.2 7.8],0
p11,1,0.87018,0.026709,[5 5] ; [8 7],[5.2 4.8] ; [7.8 7.2],0
n6,1,0.939491,0.005762,[7 3] ; [10  4],[7.08333333 2.91666667] ; [9.91666667 4.08333333],0
a5,1,1.0,0.0,[8 2] ; [12  3],[8. 2.] ; [12.  3.],0
s4,1,1.0,0.0,[2 8] ; [ 3 12],[2. 8.] ; [ 3. 12.],0
a4,1,1.0,0.0,[4 6] ; [6 9],[4. 6.] ; [6. 9.],0
b4,1,1.0,0.0,[6 4] ; [9 6],[6. 4.] ; [9. 6.],0
