Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,8.1e-05,15.535719,[71  3] ; [80 29],[61.06010929 12.93989071] ; [89.93989071 19.06010929],1
s2,1,0.001419,10.181032,[64 12] ; [69 41],[54.34408602 21.65591398] ; [78.65591398 31.34408602],0
s4,1,0.002521,9.125041,[25 50] ; [16 94],[16.62162162 58.37837838] ; [24.37837838 85.62162162],0
p12,1,0.0028,8.933108,[ 8 68] ; [  1 108],[ 3.6972973 72.3027027] ; [  5.3027027 103.6972973],0
s8,1,0.023604,5.123525,[57 18] ; [66 44],[49.86486486 25.13513514] ; [73.13513514 36.86486486],0
s3,1,0.031873,4.605327,[60 13] ; [74 35],[53.74725275 19.25274725] ; [80.25274725 28.74725275],0
p9,1,0.033842,4.502664,[66  8] ; [83 25],[60.58241758 13.41758242] ; [88.41758242 19.58241758],0
p5,1,0.033899,4.499808,[ 9 67] ; [  4 104],[ 5.36956522 70.63043478] ; [  7.63043478 100.36956522],0
b3,1,0.054637,3.693126,[24 27] ; [23 53],[18.87401575 32.12598425] ; [28.12598425 47.87401575],0
b2,1,0.054637,3.693126,[24 27] ; [23 53],[18.87401575 32.12598425] ; [28.12598425 47.87401575],0
b5,1,0.063929,3.432401,[38 38] ; [70 40],[44.12903226 31.87096774] ; [63.87096774 46.12903226],0
p7,1,0.071925,3.238527,[44 26] ; [52 54],[38.18181818 31.81818182] ; [57.81818182 48.18181818],0
p10,1,0.072253,3.231075,[64 11] ; [81 28],[59.10326087 15.89673913] ; [85.89673913 23.10326087],0
p6,1,0.091612,2.84581,[28 47] ; [28 81],[22.82608696 52.17391304] ; [33.17391304 75.82608696],0
n3,1,0.092251,2.834651,[19  6] ; [18 15],[15.94827586  9.05172414] ; [21.05172414 11.94827586],0
a3,1,0.148985,2.082608,[61 15] ; [78 32],[56.79569892 19.20430108] ; [82.20430108 27.79569892],0
r4,1,0.151218,2.059925,[68  8] ; [90 20],[64.55913978 11.44086022] ; [93.44086022 16.55913978],0
v3,1,0.170781,1.876075,[33 42] ; [36 70],[28.59116022 46.40883978] ; [40.40883978 65.59116022],0
p2,1,0.206573,1.595285,[62 14] ; [81 29],[58.43010753 17.56989247] ; [84.56989247 25.43010753],0
n6,1,0.243705,1.359035,[64 10] ; [87 22],[61.06010929 12.93989071] ; [89.93989071 19.06010929],0
d3,1,0.265534,1.239672,[50 26] ; [80 29],[53.40540541 22.59459459] ; [76.59459459 32.40540541],0
a1,1,0.350899,0.870203,[ 2 74] ; [  6 104],[ 3.2688172 72.7311828] ; [  4.7311828 105.2688172],0
v4,1,0.351079,0.869554,[71  3] ; [100   8],[69.52747253  4.47252747] ; [101.47252747   6.52747253],0
r3,1,0.446962,0.578344,[71  4] ; [100   9],[69.70108696  5.29891304] ; [101.29891304   7.70108696],0
d5,1,0.458889,0.548602,[62 14] ; [84 25],[59.97837838 16.02162162] ; [86.02162162 22.97837838],0
r2,1,0.480248,0.4983,[71  3] ; [101   7],[69.93406593  4.06593407] ; [102.06593407   5.93406593],0
v2,1,0.489499,0.477626,[43 30] ; [58 50],[40.73480663 32.26519337] ; [60.26519337 47.73480663],0
b4,1,0.491527,0.473181,[46 30] ; [61 49],[43.72043011 32.27956989] ; [63.27956989 46.72043011],0
v1,1,0.529415,0.395515,[40 35] ; [52 55],[37.91208791 37.08791209] ; [54.08791209 52.91208791],0
b1,1,0.541353,0.373039,[31 45] ; [40 70],[29.01075269 46.98924731] ; [41.98924731 68.01075269],0
p1,1,0.545558,0.365335,[ 5 71] ; [  5 105],[ 4.08602151 71.91397849] ; [  5.91397849 104.08602151],0
d1,1,0.566944,0.327823,[41 35] ; [64 46],[42.90322581 33.09677419] ; [62.09677419 47.90322581],0
d2,1,0.591699,0.287698,[40 36] ; [53 56],[38.20540541 37.79459459] ; [54.79459459 54.20540541],0
n5,1,0.602492,0.271253,[57 17] ; [81 29],[55.5 18.5] ; [82.5 27.5],0
n2,1,0.608702,0.262069,[19  7] ; [26  7],[19.83050847  6.16949153] ; [25.16949153  7.83050847],0
r1,1,0.653866,0.20106,[60 14] ; [92 18],[61.13043478 12.86956522] ; [90.86956522 19.13043478],0
n4,1,0.662409,0.19061,[58 17] ; [88 22],[59.18918919 15.81081081] ; [86.81081081 23.18918919],0
u1,1,0.676055,0.1746,[14 62] ; [23 87],[15.11827957 60.88172043] ; [21.88172043 88.11827957],0
a6,1,0.701656,0.146755,[46 30] ; [69 40],[47.24324324 28.75675676] ; [67.75675676 41.24324324],0
a4,1,0.704003,0.144341,[36 40] ; [49 61],[34.7311828 41.2688172] ; [50.2688172 59.7311828],0
p4,1,0.725751,0.123049,[34 41] ; [47 63],[32.83783784 42.16216216] ; [48.16216216 61.83783784],0
a7,1,0.72648,0.122368,[55 21] ; [77 33],[53.93548387 22.06451613] ; [78.06451613 31.93548387],0
u2,1,0.73193,0.117347,[8 6] ; [20 12],[8.52173913 5.47826087] ; [19.47826087 12.52173913],0
u3,1,0.748756,0.102579,[11  4] ; [22 10],[10.53191489  4.46808511] ; [22.46808511  9.53191489],0
d4,1,0.765032,0.089329,[60 16] ; [88 21],[60.8 15.2] ; [87.2 21.8],0
p8,1,0.766007,0.088567,[30 42] ; [43 66],[29.03867403 42.96132597] ; [43.96132597 65.03867403],0
a2,1,0.830958,0.045571,[19 57] ; [26 84],[18.38709677 57.61290323] ; [26.61290323 83.38709677],0
p11,1,0.847949,0.036763,[55 21] ; [81 29],[55.56989247 20.43010753] ; [80.43010753 29.56989247],0
a8,1,0.915627,0.011224,[13 51] ; [21 79],[13.26829268 50.73170732] ; [20.73170732 79.26829268],0
s1,1,0.928463,0.00806,[ 5 69] ; [  7 102],[ 4.85245902 69.14754098] ; [  7.14754098 101.85245902],0
a5,1,0.93449,0.006756,[55 21] ; [79 31],[54.75268817 21.24731183] ; [79.24731183 30.75268817],0
