Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2e-05,18.19702,[16 59] ; [22 13],[25.90909091 49.09090909] ; [12.09090909 22.90909091],1
r3,1,0.000145,14.431479,[32 42] ; [28  6],[41.11111111 32.88888889] ; [18.88888889 15.11111111],1
v1,1,0.001301,10.341059,[15 58] ; [17 16],[22.03773585 50.96226415] ; [ 9.96226415 23.03773585],0
d5,1,0.008524,6.920016,[38 37] ; [27  8],[44.31818182 30.68181818] ; [20.68181818 14.31818182],0
s2,1,0.008733,6.876679,[16 59] ; [16 19],[21.81818182 53.18181818] ; [10.18181818 24.81818182],0
p11,1,0.02298,5.170014,[34 41] ; [24 11],[39.54545455 35.45454545] ; [18.45454545 16.54545455],0
n3,1,0.030754,4.666667,[14 21] ; [11  4],[17.5 17.5] ; [7.5 7.5],0
s5,1,0.032143,4.590863,[10 64] ; [10 22],[13.96226415 60.03773585] ; [ 6.03773585 25.96226415],0
s8,1,0.053608,3.724868,[10 65] ; [10 25],[13.63636364 61.36363636] ; [ 6.36363636 28.63636364],0
p6,1,0.068434,3.32019,[11 62] ; [10 23],[14.46226415 58.53773585] ; [ 6.53773585 26.46226415],0
n2,1,0.07702,3.126691,[17 18] ; [12  4],[19.90196078 15.09803922] ; [9.09803922 6.90196078],0
d1,1,0.092407,2.831941,[22 53] ; [16 19],[25.90909091 49.09090909] ; [12.09090909 22.90909091],0
p7,1,0.098194,2.734633,[25 47] ; [18 17],[28.93457944 43.06542056] ; [14.06542056 20.93457944],0
d3,1,0.102204,2.670806,[32 42] ; [21 14],[35.98165138 38.01834862] ; [17.01834862 17.98165138],0
a3,1,0.146267,2.110755,[35 38] ; [22 13],[38.52777778 34.47222222] ; [18.47222222 16.52777778],0
p4,1,0.163909,1.937786,[26 49] ; [17 18],[29.31818182 45.68181818] ; [13.68181818 21.31818182],0
v4,1,0.218084,1.516935,[42 33] ; [22 10],[44.85981308 30.14018692] ; [19.14018692 12.85981308],0
a2,1,0.22313,1.484127,[ 7 68] ; [ 1 34],[ 5.45454545 69.54545455] ; [ 2.54545455 32.45454545],0
u3,1,0.232181,1.427451,[11 28] ; [6 7],[12.75 26.25] ; [4.25 8.75],0
a5,1,0.240721,1.376365,[36 39] ; [21 14],[38.86363636 36.13636364] ; [18.13636364 16.86363636],0
a7,1,0.248504,1.331696,[34 41] ; [20 15],[36.81818182 38.18181818] ; [17.18181818 17.81818182],0
u1,1,0.251553,1.314659,[ 4 71] ; [ 4 31],[ 5.45454545 69.54545455] ; [ 2.54545455 32.45454545],0
p1,1,0.303388,1.059243,[ 6 69] ; [ 1 34],[ 4.77272727 70.22727273] ; [ 2.22727273 32.77272727],0
p9,1,0.347069,0.884144,[38 35] ; [21 13],[40.25233645 32.74766355] ; [18.74766355 15.25233645],0
n4,1,0.348186,0.880056,[40 35] ; [22 13],[42.27272727 32.72727273] ; [19.72727273 15.27272727],0
n1,1,0.393347,0.728571,[13 22] ; [ 4 12],[11.66666667 23.33333333] ; [ 5.33333333 10.66666667],0
s7,1,0.399377,0.710201,[21 51] ; [12 20],[22.84615385 49.15384615] ; [10.15384615 21.84615385],0
b1,1,0.41862,0.654187,[41 34] ; [22 13],[42.95454545 32.04545455] ; [20.04545455 14.95454545],0
r1,1,0.449203,0.572661,[20 55] ; [ 7 28],[18.40909091 56.59090909] ; [ 8.59090909 26.40909091],0
n5,1,0.449921,0.57085,[47 27] ; [19 15],[45.22222222 28.77777778] ; [20.77777778 13.22222222],0
d4,1,0.46232,0.540272,[46 29] ; [24 11],[47.72727273 27.27272727] ; [22.27272727 12.72727273],0
p5,1,0.507135,0.439975,[ 7 67] ; [ 2 33],[ 6.11009174 67.88990826] ; [ 2.88990826 32.11009174],0
a1,1,0.518914,0.416051,[ 7 68] ; [ 2 33],[ 6.13636364 68.86363636] ; [ 2.86363636 32.13636364],0
d2,1,0.5273,0.399591,[25 49] ; [14 21],[26.47706422 47.52293578] ; [12.52293578 22.47706422],0
p12,1,0.584436,0.299118,[ 1 73] ; [ 1 34],[ 1.35779817 72.64220183] ; [ 0.64220183 34.35779817],0
b5,1,0.614405,0.25381,[39 36] ; [20 15],[40.22727273 34.77272727] ; [18.77272727 16.22727273],0
a4,1,0.631672,0.2298,[22 52] ; [12 23],[23.08256881 50.91743119] ; [10.91743119 24.08256881],0
s3,1,0.678063,0.172314,[27 46] ; [14 20],[27.97196262 45.02803738] ; [13.02803738 20.97196262],0
