Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.3e-05,18.973215,[17  5] ; [14 44],[ 8.525 13.475] ; [22.475 35.525],1
s6,1,2.1e-05,18.09667,[18  3] ; [18 39],[ 9.69230769 11.30769231] ; [26.30769231 30.69230769],1
s7,1,4.1e-05,16.832099,[14  5] ; [11 41],[ 6.69014085 12.30985915] ; [18.30985915 33.69014085],1
r4,1,0.000826,11.181768,[19  3] ; [26 32],[12.375  9.625] ; [32.625 25.375],1
r1,1,0.00122,10.459377,[18  4] ; [24 34],[11.55 10.45] ; [30.45 27.55],0
r3,1,0.00407,8.252378,[20  2] ; [33 25],[14.575  7.425] ; [38.425 19.575],0
v2,1,0.004177,8.205195,[14  8] ; [16 40],[ 8.46153846 13.53846154] ; [21.53846154 34.46153846],0
u2,1,0.005425,7.731863,[5 1] ; [ 7 22],[2.05714286 3.94285714] ; [ 9.94285714 19.05714286],0
d1,1,0.007866,7.063741,[14  8] ; [18 40],[ 8.8 13.2] ; [23.2 34.8],0
u3,1,0.010098,6.617535,[5 1] ; [ 8 21],[2.22857143 3.77142857] ; [10.77142857 18.22857143],0
s5,1,0.012376,6.256129,[10 11] ; [11 46],[ 5.65384615 15.34615385] ; [15.34615385 41.65384615],0
p4,1,0.016858,5.711098,[14  8] ; [19 37],[ 9.30769231 12.69230769] ; [23.69230769 32.30769231],0
n6,1,0.023384,5.13973,[17  4] ; [30 27],[12.65384615  8.34615385] ; [34.34615385 22.65384615],0
v1,1,0.027443,4.8627,[12 10] ; [16 41],[ 7.79746835 14.20253165] ; [20.20253165 36.79746835],0
p10,1,0.033471,4.521516,[13  8] ; [20 37],[ 8.88461538 12.11538462] ; [24.11538462 32.88461538],0
n1,1,0.03722,4.340326,[8 4] ; [ 8 18],[5.05263158 6.94736842] ; [10.94736842 15.05263158],0
p2,1,0.042494,4.115407,[16  6] ; [27 30],[11.97468354 10.02531646] ; [31.02531646 25.97468354],0
d3,1,0.045892,3.985537,[13  9] ; [20 38],[ 9.075 12.925] ; [23.925 34.075],0
p9,1,0.052617,3.75603,[14  7] ; [23 32],[10.22368421 10.77631579] ; [26.77631579 28.22368421],0
r2,1,0.066127,3.376623,[20  2] ; [40 16],[16.92307692  5.07692308] ; [43.07692308 12.92307692],0
a3,1,0.078713,3.091286,[16  6] ; [29 28],[12.53164557  9.46835443] ; [32.46835443 24.53164557],0
d2,1,0.085998,2.947743,[14  8] ; [24 33],[10.58227848 11.41772152] ; [27.41772152 29.58227848],0
