Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,31.878871,[103  21] ; [ 3 13],[93.88571429 30.11428571] ; [12.11428571  3.88571429],1
r2,1,0.00018,14.026225,[112  12] ; [9 7],[107.17142857  16.82857143] ; [13.82857143  2.17142857],1
p9,1,0.001137,10.590569,[91 28] ; [ 6 10],[85.5037037 33.4962963] ; [11.4962963  4.5037037],0
r3,1,0.013569,6.093428,[111  12] ; [11  5],[107.95683453  15.04316547] ; [14.04316547  1.95683453],0
r1,1,0.017504,5.645161,[84 40] ; [ 6 10],[79.71428571 44.28571429] ; [10.28571429  5.71428571],0
p10,1,0.021505,5.285373,[81 40] ; [ 6 10],[76.83941606 44.16058394] ; [10.16058394  5.83941606],0
n6,1,0.030819,4.663043,[81 43] ; [ 6 10],[77.05714286 46.94285714] ; [9.94285714 6.05714286],0
u3,1,0.032313,4.581818,[32 24] ; [1 6],[29.33333333 26.66666667] ; [3.66666667 3.33333333],0
s1,1,0.042059,4.132809,[  3 120] ; [ 2 14],[  4.42446043 118.57553957] ; [ 0.57553957 15.42446043],0
s6,1,0.04837,3.897089,[62 59] ; [ 4 12],[58.2919708 62.7080292] ; [7.7080292 8.2919708],0
p2,1,0.049215,3.868009,[85 39] ; [7 9],[81.48571429 42.51428571] ; [10.51428571  5.48571429],0
u2,1,0.055255,3.674372,[29 26] ; [1 6],[26.61290323 28.38709677] ; [3.38709677 3.61290323],0
a5,1,0.067821,3.334988,[61 63] ; [ 4 12],[57.57142857 66.42857143] ; [7.42857143 8.57142857],0
p1,1,0.084747,2.971433,[  4 120] ; [ 2 14],[  5.31428571 118.68571429] ; [ 0.68571429 15.31428571],0
p7,1,0.090033,2.873791,[48 70] ; [ 3 13],[44.91044776 73.08955224] ; [6.08955224 9.91044776],0
s8,1,0.090248,2.869945,[31 92] ; [ 1 15],[28.31654676 94.68345324] ; [ 3.68345324 12.31654676],0
d5,1,0.093517,2.812767,[87 36] ; [8 8],[84.0647482 38.9352518] ; [10.9352518  5.0647482],0
n2,1,0.107967,2.583732,[36 18] ; [2 4],[34.2 19.8] ; [3.8 2.2],0
s2,1,0.113454,2.505432,[48 75] ; [ 3 13],[45.1294964 77.8705036] ; [ 5.8705036 10.1294964],0
b5,1,0.122679,2.382783,[79 45] ; [7 9],[76.17142857 47.82857143] ; [9.82857143 6.17142857],0
b4,1,0.12511,2.352151,[68 56] ; [12  4],[70.85714286 53.14285714] ; [9.14285714 6.85714286],0
v2,1,0.139535,2.183081,[52 65] ; [ 4 12],[49.26315789 67.73684211] ; [6.73684211 9.26315789],0
a6,1,0.158595,1.987567,[77 47] ; [7 9],[74.4 49.6] ; [9.6 6.4],0
a4,1,0.190276,1.715477,[28 96] ; [ 6 10],[30.11428571 93.88571429] ; [ 3.88571429 12.11428571],0
d3,1,0.196593,1.667506,[74 48] ; [7 9],[71.60869565 50.39130435] ; [9.39130435 6.60869565],0
p3,1,0.238697,1.388273,[ 22 101] ; [ 1 15],[ 20.35251799 102.64748201] ; [ 2.64748201 13.35251799],0
v1,1,0.240963,1.374953,[49 73] ; [ 4 12],[46.85507246 75.14492754] ; [6.14492754 9.85507246],0
v3,1,0.289213,1.123282,[29 90] ; [ 2 14],[27.32592593 91.67407407] ; [ 3.67407407 12.32592593],0
d2,1,0.35962,0.839219,[40 84] ; [7 9],[41.62857143 82.37142857] ; [ 5.37142857 10.62857143],0
s3,1,0.37982,0.771284,[53 71] ; [ 5 11],[51.37142857 72.62857143] ; [6.62857143 9.37142857],0
n5,1,0.515662,0.422562,[41 83] ; [ 4 12],[39.85714286 84.14285714] ; [ 5.14285714 10.85714286],0
a7,1,0.593079,0.285562,[85 38] ; [10  6],[84.0647482 38.9352518] ; [10.9352518  5.0647482],0
s4,1,0.629237,0.233097,[30 94] ; [ 3 13],[29.22857143 94.77142857] ; [ 3.77142857 12.22857143],0
s5,1,0.631369,0.230208,[29 91] ; [ 3 13],[28.23529412 91.76470588] ; [ 3.76470588 12.23529412],0
n1,1,0.684024,0.165631,[13 41] ; [1 5],[12.6 41.4] ; [1.4 4.6],0
d1,1,0.689429,0.159704,[53 71] ; [ 6 10],[52.25714286 71.74285714] ; [6.74285714 9.25714286],0
