Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000876,11.071847,[ 1 25] ; [13 18],[ 6.38596491 19.61403509] ; [ 7.61403509 23.38596491],1
d5,1,0.014526,5.973093,[11 15] ; [23  8],[15.50877193 10.49122807] ; [18.49122807 12.50877193],0
d3,1,0.077397,3.118734,[ 9 17] ; [18 13],[12.31578947 13.68421053] ; [14.68421053 16.31578947],0
d1,1,0.081842,3.027946,[ 6 20] ; [14 17],[ 9.12280702 16.87719298] ; [10.87719298 20.12280702],0
a2,1,0.10604,2.612273,[ 4 22] ; [ 1 30],[ 2.28070175 23.71929825] ; [ 2.71929825 28.28070175],0
p7,1,0.1895,1.721503,[ 8 18] ; [ 5 26],[ 5.92982456 20.07017544] ; [ 7.07017544 23.92982456],0
r1,1,0.197715,1.65917,[ 9 17] ; [16 15],[11.40350877 14.59649123] ; [13.59649123 17.40350877],0
a5,1,0.217429,1.521257,[16 10] ; [14 17],[13.68421053 12.31578947] ; [16.31578947 14.68421053],0
n2,1,0.239113,1.385814,[6 5] ; [4 9],[4.58333333 6.41666667] ; [5.41666667 7.58333333],0
a8,1,0.245278,1.35,[ 4 20] ; [ 2 28],[ 2.66666667 21.33333333] ; [ 3.33333333 26.66666667],0
r3,1,0.295053,1.096422,[11 14] ; [18 13],[12.94642857 12.05357143] ; [16.05357143 14.94642857],0
b3,1,0.304976,1.052308,[ 5 14] ; [ 8 11],[ 6.5 12.5] ; [ 6.5 12.5],0
b2,1,0.304976,1.052308,[ 5 14] ; [ 8 11],[ 6.5 12.5] ; [ 6.5 12.5],0
a1,1,0.333746,0.934307,[ 2 24] ; [ 5 26],[ 3.19298246 22.80701754] ; [ 3.80701754 27.19298246],0
v3,1,0.336409,0.924069,[ 4 22] ; [ 8 23],[ 5.47368421 20.52631579] ; [ 6.52631579 24.47368421],0
v2,1,0.352822,0.863282,[ 6 19] ; [11 20],[ 7.58928571 17.41071429] ; [ 9.41071429 21.58928571],0
s3,1,0.404057,0.69622,[ 6 18] ; [11 20],[ 7.41818182 16.58181818] ; [ 9.58181818 21.41818182],0
b5,1,0.413452,0.668852,[12 14] ; [11 20],[10.49122807 15.50877193] ; [12.50877193 18.49122807],0
p5,1,0.430251,0.622146,[ 2 23] ; [ 1 30],[ 1.33928571 23.66071429] ; [ 1.66071429 29.33928571],0
a7,1,0.483433,0.491108,[11 15] ; [16 15],[12.31578947 13.68421053] ; [14.68421053 16.31578947],0
p4,1,0.484385,0.488976,[ 8 18] ; [ 7 24],[ 6.84210526 19.15789474] ; [ 8.15789474 22.84210526],0
p8,1,0.498404,0.458333,[ 4 21] ; [ 7 23],[ 5. 20.] ; [ 6. 24.],0
a4,1,0.504785,0.444863,[10 16] ; [ 9 21],[ 8.82142857 17.17857143] ; [10.17857143 19.82142857],0
s1,1,0.513193,0.427551,[ 4 22] ; [ 3 28],[ 3.19298246 22.80701754] ; [ 3.80701754 27.19298246],0
s8,1,0.513193,0.427551,[ 4 22] ; [ 3 28],[ 3.19298246 22.80701754] ; [ 3.80701754 27.19298246],0
b4,1,0.531542,0.391443,[18  8] ; [19 12],[16.87719298  9.12280702] ; [20.12280702 10.87719298],0
d2,1,0.536052,0.382906,[10 16] ; [14 16],[11.14285714 14.85714286] ; [12.85714286 17.14285714],0
n3,1,0.536809,0.381485,[6 5] ; [5 7],[5.26086957 5.73913043] ; [5.73913043 6.26086957],0
p3,1,0.55565,0.347293,[ 5 21] ; [ 8 23],[ 5.92982456 20.07017544] ; [ 7.07017544 23.92982456],0
s5,1,0.584419,0.299145,[ 3 23] ; [ 5 25],[ 3.71428571 22.28571429] ; [ 4.28571429 25.71428571],0
a6,1,0.609861,0.260377,[10 16] ; [14 17],[10.94736842 15.05263158] ; [13.05263158 17.94736842],0
s4,1,0.619211,0.246977,[ 3 23] ; [ 5 26],[ 3.64912281 22.35087719] ; [ 4.35087719 26.64912281],0
p10,1,0.63974,0.219082,[10 14] ; [11 20],[ 9.16363636 14.83636364] ; [11.83636364 19.16363636],0
a3,1,0.651185,0.204409,[16  9] ; [18 13],[15.17857143  9.82142857] ; [18.82142857 12.17857143],0
s2,1,0.673651,0.177361,[ 6 19] ; [ 6 25],[ 5.35714286 19.64285714] ; [ 6.64285714 24.35714286],0
v1,1,0.677911,0.172487,[ 8 18] ; [ 8 23],[ 7.29824561 18.70175439] ; [ 8.70175439 22.29824561],0
n1,1,0.682046,0.167832,[5 6] ; [7 6],[5.5 5.5] ; [6.5 6.5],0
n6,1,0.693612,0.155203,[13 12] ; [14 16],[12.27272727 12.72727273] ; [14.72727273 15.27272727],0
u3,1,0.70386,0.144487,[1 9] ; [ 2 11],[1.30434783 8.69565217] ; [ 1.69565217 11.30434783],0
n4,1,0.749597,0.10187,[17  9] ; [19 12],[16.42105263  9.57894737] ; [19.57894737 11.42105263],0
p9,1,0.772526,0.083563,[11 13] ; [13 18],[10.47272727 13.52727273] ; [13.52727273 17.47272727],0
p1,1,0.788213,0.072163,[ 4 22] ; [ 4 27],[ 3.64912281 22.35087719] ; [ 4.35087719 26.64912281],0
p2,1,0.816442,0.053882,[10 16] ; [11 20],[ 9.57894737 16.42105263] ; [11.42105263 19.57894737],0
s7,1,0.838424,0.041579,[ 5 18] ; [ 7 22],[ 5.30769231 17.69230769] ; [ 6.69230769 22.30769231],0
u2,1,0.859234,0.031453,[2 8] ; [ 3 10],[2.17391304 7.82608696] ; [ 2.82608696 10.17391304],0
s6,1,0.859894,0.031155,[ 7 19] ; [ 9 22],[ 7.29824561 18.70175439] ; [ 8.70175439 22.29824561],0
u1,1,0.899116,0.016073,[ 1 25] ; [ 1 30],[ 0.9122807 25.0877193] ; [ 1.0877193 29.9122807],0
b1,1,0.903437,0.014719,[13 13] ; [16 15],[13.22807018 12.77192982] ; [15.77192982 15.22807018],0
d4,1,0.904132,0.014507,[18  8] ; [21 10],[17.78947368  8.21052632] ; [21.21052632  9.78947368],0
p11,1,0.940265,0.005615,[12 14] ; [14 17],[11.85964912 14.14035088] ; [14.14035088 16.85964912],0
n5,1,0.984708,0.000367,[16 10] ; [19 12],[15.96491228 10.03508772] ; [19.03508772 11.96491228],0
