Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,7.1e-05,15.797045,[19 32] ; [65 26],[30.16901408 20.83098592] ; [53.83098592 37.16901408],1
a6,1,0.000177,14.065238,[19 32] ; [64 28],[29.6013986 21.3986014] ; [53.3986014 38.6013986],1
d5,1,0.000189,13.941703,[28 23] ; [77 15],[37.44755245 13.55244755] ; [67.55244755 24.44755245],1
r1,1,0.000294,13.107972,[23 28] ; [70 23],[32.9375 18.0625] ; [60.0625 32.9375],1
a2,1,0.000735,11.397655,[ 2 49] ; [25 68],[ 9.5625 41.4375] ; [17.4375 75.5625],1
r3,1,0.001865,9.678295,[30 21] ; [76 16],[37.8041958 13.1958042] ; [68.1958042 23.8041958],0
d4,1,0.004225,8.184423,[29 21] ; [74 18],[36.26760563 13.73239437] ; [66.73239437 25.26760563],0
r2,1,0.004436,8.095932,[35 14] ; [82  9],[40.95  8.05] ; [76.05 14.95],0
s2,1,0.004992,7.882288,[11 40] ; [42 51],[18.77083333 32.22916667] ; [34.22916667 58.77083333],0
p10,1,0.0112,6.433232,[15 35] ; [47 43],[22.14285714 27.85714286] ; [39.85714286 50.14285714],0
b5,1,0.011834,6.335628,[23 28] ; [62 31],[30.10416667 20.89583333] ; [54.89583333 38.10416667],0
n3,1,0.014633,5.960089,[ 8 14] ; [28 13],[12.57142857  9.42857143] ; [23.42857143 17.57142857],0
u1,1,0.014898,5.928434,[ 2 49] ; [17 76],[ 6.72916667 44.27083333] ; [12.27083333 80.72916667],0
a5,1,0.015211,5.891872,[24 27] ; [63 30],[30.8125 20.1875] ; [56.1875 36.8125],0
p9,1,0.016646,5.733319,[18 30] ; [53 37],[24.69565217 23.30434783] ; [46.30434783 43.69565217],0
r4,1,0.026572,4.918406,[28 23] ; [68 25],[34. 17.] ; [62. 31.],0
d1,1,0.032198,4.587908,[19 32] ; [52 41],[25.14583333 25.85416667] ; [45.85416667 47.14583333],0
a3,1,0.034181,4.485616,[27 24] ; [65 27],[32.81118881 18.18881119] ; [59.18881119 32.81118881],0
b1,1,0.045353,4.005454,[33 18] ; [44 49],[27.27083333 23.72916667] ; [49.72916667 43.27083333],0
a4,1,0.059366,3.555011,[14 36] ; [41 52],[19.23076923 30.76923077] ; [35.76923077 57.23076923],0
v4,1,0.062827,3.461148,[36 14] ; [79 14],[40.20979021  9.79020979] ; [74.79020979 18.20979021],0
s6,1,0.076029,3.147814,[19 32] ; [49 44],[24.08333333 26.91666667] ; [43.91666667 49.08333333],0
u3,1,0.077318,3.120395,[ 7 17] ; [14 12],[10.08 13.92] ; [10.92 15.08],0
p3,1,0.151092,2.061196,[19 32] ; [24 69],[15.22916667 35.77083333] ; [27.77083333 65.22916667],0
p2,1,0.214031,1.543952,[23 28] ; [52 41],[26.5625 24.4375] ; [48.4375 44.5625],0
s3,1,0.224307,1.476601,[19 30] ; [46 47],[22.42957746 26.57042254] ; [42.57042254 50.42957746],0
n2,1,0.256163,1.289377,[12 12] ; [27 15],[14.18181818  9.81818182] ; [24.81818182 17.18181818],0
b3,1,0.276501,1.18421,[12 17] ; [15 36],[ 9.7875 19.2125] ; [17.2125 33.7875],0
b2,1,0.276501,1.18421,[12 17] ; [15 36],[ 9.7875 19.2125] ; [17.2125 33.7875],0
u2,1,0.283272,1.151323,[ 8 16] ; [13 14],[ 9.88235294 14.11764706] ; [11.11764706 15.88235294],0
d2,1,0.291799,1.111304,[22 28] ; [49 43],[25. 25.] ; [46. 46.],0
s7,1,0.297488,1.08542,[12 33] ; [31 56],[14.65909091 30.34090909] ; [28.34090909 58.65909091],0
p8,1,0.316482,1.00343,[16 34] ; [22 69],[13.4751773 36.5248227] ; [24.5248227 66.4751773],0
s8,1,0.330427,0.947225,[10 41] ; [25 68],[12.39583333 38.60416667] ; [22.60416667 70.39583333],0
n6,1,0.365977,0.817278,[29 22] ; [60 33],[31.52083333 19.47916667] ; [57.47916667 35.52083333],0
v2,1,0.378588,0.775281,[14 35] ; [32 57],[16.33333333 32.66666667] ; [29.66666667 59.33333333],0
p4,1,0.416346,0.660607,[21 28] ; [33 59],[18.76595745 30.23404255] ; [35.23404255 56.76595745],0
n4,1,0.435736,0.607486,[33 18] ; [54 39],[30.8125 20.1875] ; [56.1875 36.8125],0
p1,1,0.46887,0.524637,[ 5 46] ; [ 6 87],[ 3.89583333 47.10416667] ; [ 7.10416667 85.89583333],0
a8,1,0.673245,0.17783,[ 5 43] ; [ 7 78],[ 4.33082707 43.66917293] ; [ 7.66917293 77.33082707],0
v3,1,0.682075,0.167799,[13 34] ; [22 68],[12.00729927 34.99270073] ; [22.99270073 67.00729927],0
p7,1,0.70122,0.147205,[19 31] ; [38 54],[20.07042254 29.92957746] ; [36.92957746 55.07042254],0
n5,1,0.735941,0.113727,[30 21] ; [52 41],[29.04166667 21.95833333] ; [52.95833333 40.04166667],0
a1,1,0.753402,0.098694,[ 4 47] ; [ 6 87],[ 3.54166667 47.45833333] ; [ 6.45833333 86.54166667],0
s1,1,0.753402,0.098694,[ 4 47] ; [ 6 87],[ 3.54166667 47.45833333] ; [ 6.45833333 86.54166667],0
b4,1,0.815163,0.054649,[29 22] ; [51 42],[28.33333333 22.66666667] ; [51.66666667 41.33333333],0
n1,1,0.842689,0.039385,[ 9 15] ; [16 24],[ 9.375 14.625] ; [15.625 24.375],0
