Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,29.527199,[96 20] ; [ 6 16],[85.73913043 30.26086957] ; [16.26086957  5.73913043],1
p2,1,2.3e-05,17.944818,[86 28] ; [ 6 15],[77.68888889 36.31111111] ; [14.31111111  6.68888889],1
r3,1,2.6e-05,17.710527,[106   9] ; [13  9],[99.89051095 15.10948905] ; [19.10948905  2.89051095],1
p10,1,0.00011,14.956616,[75 37] ; [ 5 17],[66.86567164 45.13432836] ; [13.13432836  8.86567164],1
r2,1,0.000525,12.025988,[104  11] ; [13  8],[98.93382353 16.06617647] ; [18.06617647  2.93382353],1
p9,1,0.000982,10.860821,[82 31] ; [ 8 14],[75.33333333 37.66666667] ; [14.66666667  7.33333333],1
p11,1,0.00254,9.111261,[72 44] ; [ 6 16],[65.56521739 50.43478261] ; [12.43478261  9.56521739],0
a6,1,0.009027,6.817535,[81 35] ; [ 9 13],[75.65217391 40.34782609] ; [14.34782609  7.65217391],0
s2,1,0.010091,6.61875,[55 60] ; [ 4 18],[49.52554745 65.47445255] ; [ 9.47445255 12.52554745],0
s6,1,0.014699,5.95218,[64 51] ; [ 6 16],[58.75912409 56.24087591] ; [11.24087591 10.75912409],0
u2,1,0.023313,5.145,[29  6] ; [3 4],[26.66666667  8.33333333] ; [5.33333333 1.66666667],0
d3,1,0.024043,5.091554,[90 26] ; [12 10],[85.73913043 30.26086957] ; [16.26086957  5.73913043],0
r1,1,0.02571,4.975444,[89 26] ; [12 10],[84.7810219 30.2189781] ; [16.2189781  5.7810219],0
p8,1,0.035161,4.437361,[43 70] ; [ 3 18],[38.79104478 74.20895522] ; [ 7.20895522 13.79104478],0
p7,1,0.035393,4.426108,[56 52] ; [ 6 16],[51.50769231 56.49230769] ; [10.49230769 11.50769231],0
s7,1,0.071108,3.257254,[40 68] ; [ 3 16],[36.56692913 71.43307087] ; [ 6.43307087 12.56692913],0
v1,1,0.076451,3.138777,[54 59] ; [ 6 16],[50.22222222 62.77777778] ; [ 9.77777778 12.22222222],0
a7,1,0.077971,3.106695,[85 31] ; [12 10],[81.53623188 34.46376812] ; [15.46376812  6.53623188],0
b1,1,0.086757,2.933545,[56 60] ; [15  7],[59.68115942 56.31884058] ; [11.31884058 10.68115942],0
d2,1,0.107132,2.596027,[47 69] ; [13  9],[50.43478261 65.56521739] ; [ 9.56521739 12.43478261],0
p4,1,0.139274,2.185961,[50 63] ; [ 6 16],[46.87407407 66.12592593] ; [ 9.12592593 12.87407407],0
n5,1,0.143136,2.143912,[45 70] ; [ 5 17],[41.97080292 73.02919708] ; [ 8.02919708 13.97080292],0
v3,1,0.163559,1.941011,[31 76] ; [ 3 18],[28.421875 78.578125] ; [ 5.578125 15.421875],0
s3,1,0.176654,1.825551,[67 47] ; [ 9 12],[64.17777778 49.82222222] ; [11.82222222  9.17777778],0
a4,1,0.222641,1.487267,[42 74] ; [11 11],[44.55072464 71.44927536] ; [ 8.44927536 13.55072464],0
d5,1,0.223877,1.479345,[97 19] ; [16  6],[94.98550725 21.01449275] ; [18.01449275  3.98550725],0
s1,1,0.252444,1.309727,[  4 108] ; [ 2 20],[  5.01492537 106.98507463] ; [ 0.98507463 21.01492537],0
b5,1,0.254536,1.298235,[73 43] ; [11 11],[70.60869565 45.39130435] ; [13.39130435  8.60869565],0
p3,1,0.299913,1.074582,[44 69] ; [ 6 16],[41.85185185 71.14814815] ; [ 8.14814815 13.85185185],0
b4,1,0.324317,0.971457,[66 50] ; [15  7],[68.08695652 47.91304348] ; [12.91304348  9.08695652],0
