Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,32.087275,[29  2] ; [ 3 17],[19.45098039 11.54901961] ; [12.54901961  7.45098039],1
p11,1,0.000204,13.789439,[26  5] ; [ 7 14],[19.67307692 11.32692308] ; [13.32692308  7.67307692],1
r4,1,0.003024,8.793089,[13 18] ; [ 1 20],[ 8.34615385 22.65384615] ; [ 5.65384615 15.34615385],0
p7,1,0.009853,6.661211,[17 14] ; [ 4 17],[12.51923077 18.48076923] ; [ 8.48076923 12.51923077],0
v1,1,0.011205,6.432457,[15 16] ; [ 3 18],[10.73076923 20.26923077] ; [ 7.26923077 13.73076923],0
r3,1,0.015768,5.828571,[24  6] ; [10 11],[20. 10.] ; [14.  7.],0
a5,1,0.027224,4.876527,[20 11] ; [ 7 14],[16.09615385 14.90384615] ; [10.90384615 10.09615385],0
r1,1,0.031098,4.647523,[15 16] ; [ 4 17],[11.32692308 19.67307692] ; [ 7.67307692 13.32692308],0
p4,1,0.044971,4.019745,[16 15] ; [ 5 16],[12.51923077 18.48076923] ; [ 8.48076923 12.51923077],0
p8,1,0.052118,3.771975,[14 17] ; [ 4 17],[10.73076923 20.26923077] ; [ 7.26923077 13.73076923],0
u2,1,0.058137,3.589744,[10  4] ; [5 9],[7.5 6.5] ; [7.5 6.5],0
p2,1,0.058945,3.566815,[24  7] ; [11 10],[20.86538462 10.13461538] ; [14.13461538  6.86538462],0
n5,1,0.089488,2.883564,[22  9] ; [10 11],[19.07692308 11.92307692] ; [12.92307692  8.07692308],0
d4,1,0.104745,2.631768,[23  8] ; [11 10],[20.26923077 10.73076923] ; [13.73076923  7.26923077],0
s7,1,0.116836,2.459228,[ 9 20] ; [ 2 16],[ 6.78723404 22.21276596] ; [ 4.21276596 13.78723404],0
a2,1,0.141951,2.156682,[ 1 30] ; [ 3 18],[ 2.38461538 28.61538462] ; [ 1.61538462 19.38461538],0
s5,1,0.143792,2.136903,[ 8 23] ; [ 2 19],[ 5.96153846 25.03846154] ; [ 4.03846154 16.96153846],0
v3,1,0.143792,2.136903,[ 8 23] ; [ 2 19],[ 5.96153846 25.03846154] ; [ 4.03846154 16.96153846],0
a3,1,0.165802,1.920497,[17 14] ; [ 7 13],[14.58823529 16.41176471] ; [ 9.41176471 10.58823529],0
s6,1,0.177631,1.817335,[13 18] ; [ 5 16],[10.73076923 20.26923077] ; [ 7.26923077 13.73076923],0
u3,1,0.19043,1.714286,[5 9] ; [ 2 12],[ 3.5 10.5] ; [ 3.5 10.5],0
v2,1,0.28322,1.151574,[13 17] ; [ 6 15],[11.17647059 18.82352941] ; [ 7.82352941 13.17647059],0
a8,1,0.303995,1.056587,[ 2 28] ; [ 3 16],[ 3.06122449 26.93877551] ; [ 1.93877551 17.06122449],0
n2,1,0.305319,1.050816,[8 5] ; [4 6],[6.7826087 6.2173913] ; [5.2173913 4.7826087],0
d3,1,0.337347,0.920489,[16 15] ; [ 8 13],[14.30769231 16.69230769] ; [ 9.69230769 11.30769231],0
