Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,39.240431,[179  61] ; [49 71],[152.  88.] ; [76. 44.],1
d5,1,0.0,32.807335,[200  41] ; [67 55],[177.26446281  63.73553719] ; [89.73553719 32.26446281],1
a4,1,0.0,27.843556,[116 123] ; [24 97],[ 92.94444444 146.05555556] ; [47.05555556 73.94444444],1
d2,1,0.0,26.464875,[123 116] ; [28 93],[100.24722222 138.75277778] ; [50.75277778 70.24722222],1
d1,1,1e-06,23.578906,[134 107] ; [35 87],[112.20110193 128.79889807] ; [56.79889807 65.20110193],1
a6,1,1e-05,19.445414,[180  61] ; [63 59],[161.33057851  79.66942149] ; [81.66942149 40.33057851],1
r1,1,1.5e-05,18.762666,[190  49] ; [70 51],[172.61111111  66.38888889] ; [87.38888889 33.61111111],1
n4,1,1.7e-05,18.457418,[179  61] ; [63 58],[160.88642659  79.11357341] ; [81.11357341 39.88642659],1
d4,1,2e-05,18.192541,[195  46] ; [72 48],[178.2465374  62.7534626] ; [88.7534626 31.2465374],1
d3,1,0.000198,13.854436,[165  76] ; [59 63],[148.71625344  92.28374656] ; [75.28374656 46.71625344],1
u1,1,0.000287,13.152719,[ 36 205] ; [  3 119],[ 25.89256198 215.10743802] ; [ 13.10743802 108.89256198],1
r4,1,0.000526,12.021535,[199  42] ; [81 41],[185.8953168  55.1046832] ; [94.1046832 27.8953168],1
n5,1,0.000572,11.86658,[173  66] ; [65 55],[158.44568245  80.55431755] ; [79.55431755 40.44568245],1
s7,1,0.000732,11.407331,[ 60 166] ; [ 13 106],[ 47.82028986 178.17971014] ; [25.17971014 93.82028986],1
p10,1,0.001569,9.995567,[175  65] ; [67 52],[161.78272981  78.21727019] ; [80.21727019 38.78272981],0
v1,1,0.006503,7.405378,[105 130] ; [35 83],[ 93.20113314 141.79886686] ; [46.79886686 71.20113314],0
p9,1,0.009469,6.732097,[178  58] ; [74 45],[167.52676056  68.47323944] ; [84.47323944 34.52676056],0
r3,1,0.009946,6.644545,[212  27] ; [95 26],[203.81388889  35.18611111] ; [103.18611111  17.81388889],0
p5,1,0.012753,6.203092,[ 23 216] ; [  3 119],[ 17.2132964 221.7867036] ; [  8.7867036 113.2132964],0
p4,1,0.01328,6.131464,[103 137] ; [35 84],[ 92.25626741 147.74373259] ; [45.74373259 73.25626741],0
r2,1,0.014018,6.035908,[212  23] ; [98 23],[204.63483146  30.36516854] ; [105.36516854  15.63483146],0
p8,1,0.01456,5.968944,[102 135] ; [36 85],[ 91.3575419 145.6424581] ; [46.6424581 74.3575419],0
p7,1,0.015588,5.848819,[119 119] ; [43 75],[108.30337079 129.69662921] ; [53.69662921 64.30337079],0
p11,1,0.018366,5.560893,[179  62] ; [76 46],[169.29752066  71.70247934] ; [85.70247934 36.29752066],0
a7,1,0.02471,5.044124,[171  69] ; [72 49],[161.55124654  78.44875346] ; [81.44875346 39.55124654],0
v2,1,0.03395,4.497227,[119 114] ; [44 69],[109.76589595 123.23410405] ; [53.23410405 59.76589595],0
b2,1,0.052584,3.757103,[56 91] ; [15 47],[49.93779904 97.06220096] ; [21.06220096 40.93779904],0
b3,1,0.052584,3.757103,[56 91] ; [15 47],[49.93779904 97.06220096] ; [21.06220096 40.93779904],0
s6,1,0.055738,3.659878,[104 135] ; [40 81],[ 95.6 143.4] ; [48.4 72.6],0
s8,1,0.057284,3.614312,[ 51 188] ; [ 16 106],[ 44.35734072 194.64265928] ; [22.64265928 99.35734072],0
p3,1,0.057359,3.612139,[ 91 149] ; [34 88],[ 82.87292818 157.12707182] ; [42.12707182 79.87292818],0
v4,1,0.087714,2.915826,[212  26] ; [100  21],[206.84122563  31.15877437] ; [105.15877437  15.84122563],0
n1,1,0.095846,2.773333,[28 36] ; [11 29],[24. 40.] ; [15. 25.],0
s1,1,0.135486,2.228487,[  5 234] ; [  6 115],[  7.30277778 231.69722222] ; [  3.69722222 117.30277778],0
n6,1,0.15638,2.008889,[183  56] ; [85 37],[177.42936288  61.57063712] ; [90.57063712 31.42936288],0
s5,1,0.187202,1.739505,[ 43 195] ; [ 15 104],[ 38.66666667 199.33333333] ; [19.33333333 99.66666667],0
p2,1,0.238349,1.39033,[173  66] ; [81 41],[168.16066482  70.83933518] ; [85.83933518 36.16066482],0
n2,1,0.263367,1.250971,[46 20] ; [23 16],[43.37142857 22.62857143] ; [25.62857143 13.37142857],0
p12,1,0.271223,1.210552,[  9 230] ; [  2 119],[  7.30277778 231.69722222] ; [  3.69722222 117.30277778],0
b4,1,0.285125,1.142497,[132 109] ; [74 48],[136.76584022 104.23415978] ; [69.23415978 52.76584022],0
a8,1,0.320483,0.986974,[ 27 191] ; [ 10 104],[ 24.29518072 193.70481928] ; [ 12.70481928 101.29518072],0
s4,1,0.326422,0.963041,[ 20 219] ; [ 14 107],[ 22.57222222 216.42777778] ; [ 11.42777778 109.57222222],0
b1,1,0.485948,0.485486,[ 96 145] ; [44 78],[ 92.9476584 148.0523416] ; [47.0523416 74.9476584],0
