Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.00108,10.684587,[ 8 25] ; [25 15],[14.91780822 18.08219178] ; [18.08219178 21.91780822],0
d3,1,0.001956,9.590734,[12 21] ; [29 11],[18.53424658 14.46575342] ; [22.46575342 17.53424658],0
n1,1,0.002767,8.955113,[9 6] ; [ 1 13],[5.17241379 9.82758621] ; [4.82758621 9.17241379],0
a4,1,0.009773,6.675866,[18 15] ; [10 30],[12.65753425 20.34246575] ; [15.34246575 24.65753425],0
s8,1,0.011385,6.404211,[11 21] ; [ 4 36],[ 6.66666667 25.33333333] ; [ 8.33333333 31.66666667],0
b3,1,0.026161,4.94533,[10  9] ; [ 4 17],[ 6.65 12.35] ; [ 7.35 13.65],0
b2,1,0.026161,4.94533,[10  9] ; [ 4 17],[ 6.65 12.35] ; [ 7.35 13.65],0
b5,1,0.035716,4.410592,[16 17] ; [29 11],[20.34246575 12.65753425] ; [24.65753425 15.34246575],0
a2,1,0.04887,3.879827,[ 1 32] ; [ 7 33],[ 3.61643836 29.38356164] ; [ 4.38356164 35.61643836],0
s3,1,0.050044,3.84,[16 16] ; [11 29],[12. 20.] ; [15. 25.],0
p10,1,0.056118,3.64855,[10 22] ; [21 18],[13.97183099 18.02816901] ; [17.02816901 21.97183099],0
s2,1,0.073718,3.198232,[17 16] ; [12 27],[13.29166667 19.70833333] ; [15.70833333 23.29166667],0
v1,1,0.078486,3.095968,[15 18] ; [10 29],[11.45833333 21.54166667] ; [13.54166667 25.45833333],0
n6,1,0.079665,3.071726,[13 20] ; [24 16],[16.7260274 16.2739726] ; [20.2739726 19.7260274],0
n2,1,0.095882,2.772736,[11  4] ; [6 8],[8.79310345 6.20689655] ; [8.20689655 5.79310345],0
d1,1,0.123561,2.371595,[13 20] ; [23 17],[16.2739726 16.7260274] ; [19.7260274 20.2739726],0
b1,1,0.155382,2.018603,[17 16] ; [14 26],[14.01369863 18.98630137] ; [16.98630137 23.01369863],0
p3,1,0.218736,1.512644,[10 23] ; [ 7 32],[ 7.79166667 25.20833333] ; [ 9.20833333 29.79166667],0
r4,1,0.281821,1.158285,[26  7] ; [27 13],[23.95890411  9.04109589] ; [29.04109589 10.95890411],0
r2,1,0.301448,1.067779,[29  3] ; [32  7],[27.49295775  4.50704225] ; [33.50704225  5.49295775],0
u2,1,0.340405,0.908906,[9 5] ; [7 8],[7.72413793 6.27586207] ; [8.27586207 6.72413793],0
p11,1,0.344653,0.893046,[16 17] ; [15 25],[14.01369863 18.98630137] ; [16.98630137 23.01369863],0
p8,1,0.348513,0.878865,[ 6 27] ; [11 29],[ 7.68493151 25.31506849] ; [ 9.31506849 30.68493151],0
a5,1,0.364839,0.821166,[20 13] ; [20 20],[18.08219178 14.91780822] ; [21.91780822 18.08219178],0
p9,1,0.37293,0.793877,[13 19] ; [19 18],[14.84057971 17.15942029] ; [17.15942029 19.84057971],0
s5,1,0.385448,0.753255,[ 9 20] ; [ 8 29],[ 7.46969697 21.53030303] ; [ 9.53030303 27.46969697],0
a8,1,0.445633,0.581735,[ 2 31] ; [ 1 39],[ 1.35616438 31.64383562] ; [ 1.64383562 38.35616438],0
p7,1,0.449528,0.571842,[10 23] ; [ 9 31],[ 8.5890411 24.4109589] ; [10.4109589 29.5890411],0
d5,1,0.449528,0.571842,[23 10] ; [31  9],[24.4109589  8.5890411] ; [29.5890411 10.4109589],0
v4,1,0.464358,0.535371,[24  9] ; [32  8],[25.31506849  7.68493151] ; [30.68493151  9.31506849],0
s6,1,0.470376,0.521092,[17 14] ; [18 21],[15.5 15.5] ; [19.5 19.5],0
u3,1,0.549563,0.3581,[9 5] ; [8 7],[8.20689655 5.79310345] ; [8.79310345 6.20689655],0
p4,1,0.58879,0.292239,[11 22] ; [11 29],[ 9.94520548 23.05479452] ; [12.05479452 27.94520548],0
v2,1,0.610786,0.259032,[14 17] ; [20 19],[15.05714286 15.94285714] ; [18.94285714 20.05714286],0
v3,1,0.651104,0.204511,[ 7 21] ; [12 28],[ 7.82352941 20.17647059] ; [11.17647059 28.82352941],0
a3,1,0.668709,0.183115,[19 14] ; [25 15],[19.89041096 13.10958904] ; [24.10958904 15.89041096],0
r1,1,0.711383,0.1369,[22 11] ; [25 15],[21.24657534 11.75342466] ; [25.75342466 14.24657534],0
d4,1,0.715064,0.133271,[27  6] ; [34  6],[27.57534247  5.42465753] ; [33.42465753  6.57534247],0
r3,1,0.721817,0.126758,[29  4] ; [34  6],[28.47945205  4.52054795] ; [34.52054795  5.47945205],0
n3,1,0.816334,0.053946,[8 5] ; [8 6],[7.7037037 5.2962963] ; [8.2962963 5.7037037],0
