Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,30.939554,[134   8] ; [3 5],[129.69333333  12.30666667] ; [7.30666667 0.69333333],1
p9,1,0.004076,8.24968,[122  18] ; [4 4],[119.18918919  20.81081081] ; [6.81081081 1.18918919],0
s6,1,0.004971,7.889892,[118  18] ; [4 4],[115.22222222  20.77777778] ; [6.77777778 1.22222222],0
s1,1,0.005275,7.782543,[  5 136] ; [2 6],[  6.62416107 134.37583893] ; [0.37583893 7.62416107],0
v4,1,0.005275,7.782543,[136   5] ; [6 2],[134.37583893   6.62416107] ; [7.62416107 0.37583893],0
a6,1,0.023587,5.124765,[92 50] ; [2 6],[88.98666667 53.01333333] ; [5.01333333 2.98666667],0
v2,1,0.049149,3.870273,[66 71] ; [1 7],[63.30344828 73.69655172] ; [3.69655172 4.30344828],0
r1,1,0.057716,3.601834,[112  30] ; [4 4],[109.81333333  32.18666667] ; [6.18666667 1.81333333],0
b1,1,0.098503,2.72961,[48 94] ; [5 3],[50.17333333 91.82666667] ; [2.82666667 5.17333333],0
p10,1,0.124533,2.359362,[118  23] ; [5 3],[116.39597315  24.60402685] ; [6.60402685 1.39597315],0
s3,1,0.132491,2.263069,[104  36] ; [4 4],[102.16216216  37.83783784] ; [5.83783784 2.16216216],0
s8,1,0.146084,2.112676,[73 69] ; [2 6],[71. 71.] ; [4. 4.],0
b4,1,0.154822,2.024087,[89 53] ; [3 5],[87.09333333 54.90666667] ; [4.90666667 3.09333333],0
s2,1,0.167676,1.903597,[101  38] ; [4 4],[99.28571429 39.71428571] ; [5.71428571 2.28571429],0
p11,1,0.170244,1.880791,[103  39] ; [4 4],[101.29333333  40.70666667] ; [5.70666667 2.29333333],0
n1,1,0.177764,1.816216,[11 26] ; [3 2],[12.33333333 24.66666667] ; [1.66666667 3.33333333],0
v1,1,0.18729,1.738808,[69 72] ; [2 6],[67.18791946 73.81208054] ; [3.81208054 4.18791946],0
d5,1,0.207979,1.585439,[114  27] ; [5 3],[112.61073826  28.38926174] ; [6.38926174 1.61073826],0
a7,1,0.228644,1.449278,[99 42] ; [4 4],[97.46979866 43.53020134] ; [5.53020134 2.46979866],0
p7,1,0.25758,1.281719,[89 50] ; [3 4],[87.5890411 51.4109589] ; [4.4109589 2.5890411],0
s5,1,0.356435,0.850414,[70 59] ; [3 5],[68.73722628 60.26277372] ; [4.26277372 3.73722628],0
d3,1,0.428321,0.627373,[106  35] ; [7 1],[106.93288591  34.06711409] ; [6.06711409 1.93288591],0
u2,1,0.428571,0.626693,[19 25] ; [2 1],[19.65957447 24.34042553] ; [1.34042553 1.65957447],0
n6,1,0.441507,0.592364,[120  21] ; [6 2],[119.23489933  21.76510067] ; [6.76510067 1.23489933],0
n4,1,0.446492,0.579541,[90 52] ; [4 4],[88.98666667 53.01333333] ; [5.01333333 2.98666667],0
p3,1,0.467378,0.528169,[72 70] ; [3 5],[71. 71.] ; [4. 4.],0
s7,1,0.536499,0.382067,[83 56] ; [5 2],[83.78082192 55.21917808] ; [4.21917808 2.78082192],0
d1,1,0.608913,0.261761,[84 58] ; [4 4],[83.30666667 58.69333333] ; [4.69333333 3.30666667],0
p4,1,0.608913,0.261761,[84 58] ; [4 4],[83.30666667 58.69333333] ; [4.69333333 3.30666667],0
p6,1,0.620698,0.244887,[58 83] ; [4 4],[58.67114094 82.32885906] ; [3.32885906 4.67114094],0
a3,1,0.699145,0.149362,[98 44] ; [5 3],[97.50666667 44.49333333] ; [5.49333333 2.50666667],0
v3,1,0.713765,0.134545,[43 95] ; [2 6],[42.53424658 95.46575342] ; [2.46575342 5.53424658],0
d4,1,0.755722,0.096786,[113  29] ; [6 2],[112.65333333  29.34666667] ; [6.34666667 1.65333333],0
a4,1,0.761376,0.092218,[61 81] ; [3 5],[60.58666667 81.41333333] ; [3.41333333 4.58666667],0
n5,1,0.797221,0.066021,[95 47] ; [5 3],[94.66666667 47.33333333] ; [5.33333333 2.66666667],0
a5,1,0.813656,0.05556,[101  41] ; [6 2],[101.29333333  40.70666667] ; [5.70666667 2.29333333],0
n2,1,0.83126,0.045405,[28  9] ; [4 1],[28.19047619  8.80952381] ; [3.80952381 1.19047619],0
p2,1,0.871297,0.026248,[110  32] ; [6 2],[109.81333333  32.18666667] ; [6.18666667 1.81333333],0
d2,1,0.876615,0.024106,[67 75] ; [4 4],[67.21333333 74.78666667] ; [3.78666667 4.21333333],0
p8,1,0.952655,0.003525,[68 71] ; [4 4],[68.08163265 70.91836735] ; [3.91836735 4.08163265],0
b5,1,0.959907,0.002527,[90 52] ; [5 3],[89.93333333 52.06666667] ; [5.06666667 2.93333333],0
