Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,1e-06,23.89514,[73 13] ; [ 4 11],[65.56435644 20.43564356] ; [11.43564356  3.56435644],1
d3,1,3.5e-05,17.135412,[68 18] ; [ 4 11],[61.30693069 24.69306931] ; [10.69306931  4.30693069],1
d2,1,0.002304,9.29037,[42 44] ; [ 1 14],[36.61386139 49.38613861] ; [6.38613861 8.61386139],0
b5,1,0.019808,5.42871,[47 39] ; [13  2],[51.08910891 34.91089109] ; [8.91089109 6.08910891],0
p1,1,0.020568,5.362995,[ 9 75] ; [ 5 10],[11.87878788 72.12121212] ; [ 2.12121212 12.87878788],0
s2,1,0.031329,4.634822,[43 43] ; [ 3 12],[39.16831683 46.83168317] ; [6.83168317 8.16831683],0
a4,1,0.035334,4.428974,[36 50] ; [ 2 13],[32.35643564 53.64356436] ; [5.64356436 9.35643564],0
a5,1,0.044573,4.03474,[67 19] ; [8 7],[63.86138614 22.13861386] ; [11.13861386  3.86138614],0
v2,1,0.06008,3.535176,[43 38] ; [ 4 11],[39.65625 41.34375] ; [7.34375 7.65625],0
s7,1,0.065386,3.395216,[36 43] ; [ 3 12],[32.77659574 46.22340426] ; [6.22340426 8.77659574],0
s5,1,0.090827,2.859663,[30 50] ; [ 2 12],[27.23404255 52.76595745] ; [4.76595745 9.23404255],0
s3,1,0.174018,1.847987,[47 38] ; [5 9],[44.64646465 40.35353535] ; [7.35353535 6.64646465],0
p12,1,0.189303,1.72303,[ 4 82] ; [ 2 13],[ 5.10891089 80.89108911] ; [ 0.89108911 14.10891089],0
v1,1,0.199543,1.645714,[36 45] ; [ 4 11],[33.75 47.25] ; [6.25 8.75],0
r1,1,0.218664,1.513117,[64 21] ; [9 6],[62.05 22.95] ; [10.95  4.05],0
u2,1,0.220806,1.499126,[19  9] ; [3 4],[17.6 10.4] ; [4.4 2.6],0
p10,1,0.234346,1.414286,[58 26] ; [8 7],[56. 28.] ; [10.  5.],0
a6,1,0.266884,1.23269,[50 36] ; [11  4],[51.94059406 34.05940594] ; [9.05940594 5.94059406],0
v4,1,0.290012,1.119565,[81  5] ; [13  2],[80.03960396  5.96039604] ; [13.96039604  1.03960396],0
a3,1,0.334047,0.933144,[57 29] ; [8 7],[55.34653465 30.65346535] ; [9.65346535 5.34653465],0
s6,1,0.334047,0.933144,[57 29] ; [8 7],[55.34653465 30.65346535] ; [9.65346535 5.34653465],0
b1,1,0.334781,0.930317,[40 46] ; [9 6],[41.72277228 44.27722772] ; [7.27722772 7.72277228],0
r3,1,0.400242,0.707598,[80  6] ; [13  2],[79.18811881  6.81188119] ; [13.81188119  1.18811881],0
a8,1,0.403574,0.697652,[ 2 77] ; [ 1 14],[ 2.5212766 76.4787234] ; [ 0.4787234 14.5212766],0
p6,1,0.476033,0.507937,[35 46] ; [ 5 10],[33.75 47.25] ; [6.25 8.75],0
b4,1,0.481158,0.496238,[55 31] ; [11  4],[56.1980198 29.8019802] ; [9.8019802 5.1980198],0
n6,1,0.512581,0.428795,[49 36] ; [10  5],[50.15 34.85] ; [8.85 6.15],0
s8,1,0.534882,0.385107,[36 50] ; [ 5 10],[34.91089109 51.08910891] ; [6.08910891 8.91089109],0
a2,1,0.556275,0.346195,[17 69] ; [ 2 13],[16.17821782 69.82178218] ; [ 2.82178218 12.17821782],0
p11,1,0.573566,0.316753,[58 28] ; [9 6],[57.04950495 28.95049505] ; [9.95049505 5.04950495],0
p4,1,0.590907,0.288929,[57 29] ; [11  4],[57.9009901 28.0990099] ; [10.0990099  4.9009901],0
p7,1,0.617788,0.248988,[62 23] ; [10  5],[61.2 23.8] ; [10.8  4.2],0
b3,1,0.636681,0.223109,[16 34] ; [3 9],[15.32258065 34.67741935] ; [3.67741935 8.32258065],0
b2,1,0.636681,0.223109,[16 34] ; [3 9],[15.32258065 34.67741935] ; [3.67741935 8.32258065],0
p2,1,0.681764,0.168147,[70 15] ; [13  2],[70.55 14.45] ; [12.45  2.55],0
v3,1,0.743226,0.107312,[23 56] ; [ 5 10],[23.53191489 55.46808511] ; [ 4.46808511 10.53191489],0
u3,1,0.807903,0.059113,[22  7] ; [5 2],[21.75  7.25] ; [5.25 1.75],0
a7,1,0.810122,0.057729,[60 26] ; [10  5],[59.6039604 26.3960396] ; [10.3960396  4.6039604],0
p5,1,0.845464,0.03799,[ 7 79] ; [ 1 14],[ 6.81188119 79.18811881] ; [ 1.18811881 13.81188119],0
s4,1,0.856195,0.03284,[19 67] ; [ 3 12],[18.73267327 67.26732673] ; [ 3.26732673 11.73267327],0
r4,1,0.857793,0.032107,[73 13] ; [13  2],[73.22772277 12.77227723] ; [12.77227723  2.22772277],0
a1,1,0.897421,0.01662,[ 5 81] ; [ 1 14],[ 5.10891089 80.89108911] ; [ 0.89108911 14.10891089],0
n2,1,0.906855,0.01369,[14  6] ; [2 1],[13.91304348  6.08695652] ; [2.08695652 0.91304348],0
p8,1,0.924656,0.008944,[47 39] ; [8 7],[46.83168317 39.16831683] ; [8.16831683 6.83168317],0
n4,1,0.924656,0.008944,[39 47] ; [7 8],[39.16831683 46.83168317] ; [6.83168317 8.16831683],0
r2,1,0.94716,0.004392,[78  6] ; [14  1],[78.06060606  5.93939394] ; [13.93939394  1.06060606],0
p9,1,0.974838,0.000995,[62 23] ; [11  4],[62.05 22.95] ; [10.95  4.05],0
