Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-05,19.458243,[2 6] ; [146  25],[6.61452514 1.38547486] ; [141.38547486  29.61452514],1
r2,1,1.8e-05,18.366899,[5 3] ; [164   6],[7.59550562 0.40449438] ; [161.40449438   8.59550562],1
r4,1,0.001315,10.32138,[4 4] ; [152  19],[6.97206704 1.02793296] ; [149.02793296  21.97206704],0
a6,1,0.00332,8.622907,[1 7] ; [109  61],[4.94382022 3.05617978] ; [105.05617978  64.94382022],0
p4,1,0.003608,8.471517,[1 7] ; [109  62],[4.91620112 3.08379888] ; [105.08379888  65.91620112],0
p9,1,0.005153,7.824773,[4 4] ; [146  23],[6.77966102 1.22033898] ; [143.22033898  25.77966102],0
p1,1,0.008272,6.973546,[3 5] ; [ 15 156],[0.80446927 7.19553073] ; [ 17.19553073 153.80446927],0
s2,1,0.00844,6.937664,[2 6] ; [119  52],[5.40782123 2.59217877] ; [115.59217877  55.40782123],0
n5,1,0.012696,6.210938,[3 5] ; [131  40],[5.98882682 2.01117318] ; [128.01117318  42.98882682],0
n4,1,0.022172,5.232219,[4 4] ; [141  30],[6.48044693 1.51955307] ; [138.51955307  32.48044693],0
p3,1,0.035191,4.435882,[1 7] ; [86 84],[3.91011236 4.08988764] ; [83.08988764 86.91011236],0
a7,1,0.051385,3.795673,[3 5] ; [120  51],[5.4972067 2.5027933] ; [117.5027933  53.4972067],0
b4,1,0.05303,3.742985,[7 1] ; [90 81],[4.33519553 3.66480447] ; [92.66480447 78.33519553],0
b3,1,0.056755,3.62977,[5 2] ; [39 71],[2.63247863 4.36752137] ; [41.36752137 68.63247863],0
b2,1,0.056755,3.62977,[5 2] ; [39 71],[2.63247863 4.36752137] ; [41.36752137 68.63247863],0
p8,1,0.059721,3.545129,[1 6] ; [86 84],[3.44067797 3.55932203] ; [83.55932203 86.44067797],0
d3,1,0.064699,3.412645,[3 5] ; [117  53],[5.39325843 2.60674157] ; [114.60674157  55.39325843],0
p7,1,0.085245,2.961943,[3 5] ; [112  55],[5.25714286 2.74285714] ; [109.74285714  57.25714286],0
n2,1,0.098252,2.733684,[2 3] ; [36 12],[3.58490566 1.41509434] ; [34.41509434 13.58490566],0
p6,1,0.111962,2.526306,[1 7] ; [ 69 101],[3.14606742 4.85393258] ; [ 66.85393258 103.14606742],0
a5,1,0.129903,2.293668,[4 4] ; [127  44],[5.8547486 2.1452514] ; [125.1452514  45.8547486],0
p10,1,0.138333,2.196404,[5 3] ; [142  29],[6.5698324 1.4301676] ; [140.4301676  30.5698324],0
b5,1,0.143438,2.140679,[2 6] ; [88 83],[4.02234637 3.97765363] ; [85.97765363 85.02234637],0
s8,1,0.20094,1.635532,[3 5] ; [103  68],[4.73743017 3.26256983] ; [101.26256983  69.73743017],0
r1,1,0.209353,1.575894,[5 3] ; [138  33],[6.39106145 1.60893855] ; [136.60893855  34.39106145],0
s6,1,0.237439,1.395734,[5 3] ; [135  34],[6.32768362 1.67231638] ; [133.67231638  35.32768362],0
n6,1,0.293366,1.104112,[6 2] ; [150  21],[6.97206704 1.02793296] ; [149.02793296  21.97206704],0
a8,1,0.315179,1.008846,[2 6] ; [ 20 138],[1.06024096 6.93975904] ; [ 20.93975904 137.06024096],0
s3,1,0.415824,0.662088,[5 3] ; [128  42],[5.97752809 2.02247191] ; [127.02247191  42.97752809],0
s1,1,0.443839,0.586338,[1 7] ; [ 10 161],[0.49162011 7.50837989] ; [ 10.50837989 160.49162011],0
r3,1,0.443839,0.586338,[7 1] ; [161  10],[7.50837989 0.49162011] ; [160.49162011  10.50837989],0
n1,1,0.513589,0.426748,[3 2] ; [21 26],[2.30769231 2.69230769] ; [21.69230769 25.30769231],0
s4,1,0.51818,0.417515,[3 5] ; [ 46 124],[2.20224719 5.79775281] ; [ 46.79775281 123.20224719],0
d2,1,0.552461,0.352927,[5 3] ; [88 82],[4.17977528 3.82022472] ; [88.82022472 81.17977528],0
s5,1,0.597841,0.278264,[4 4] ; [67 98],[3.28323699 4.71676301] ; [67.71676301 97.28323699],0
a4,1,0.606797,0.264865,[3 5] ; [80 91],[3.70949721 4.29050279] ; [79.29050279 91.70949721],0
b1,1,0.658813,0.194968,[4 4] ; [72 99],[3.39664804 4.60335196] ; [72.60335196 98.39664804],0
v2,1,0.676011,0.174651,[4 4] ; [71 96],[3.42857143 4.57142857] ; [71.57142857 95.42857143],0
d4,1,0.679722,0.170438,[7 1] ; [139  31],[6.56179775 1.43820225] ; [139.43820225  30.56179775],0
d5,1,0.697539,0.151044,[6 2] ; [137  33],[6.42696629 1.57303371] ; [136.57303371  33.42696629],0
d1,1,0.898104,0.016399,[5 3] ; [103  68],[4.82681564 3.17318436] ; [103.17318436  67.82681564],0
n3,1,0.928087,0.008145,[3 1] ; [35 13],[2.92307692 1.07692308] ; [35.07692308 12.92307692],0
v3,1,0.930228,0.007666,[2 5] ; [ 50 116],[2.10404624 4.89595376] ; [ 49.89595376 116.10404624],0
p5,1,0.944928,0.004772,[1 7] ; [ 20 151],[0.93854749 7.06145251] ; [ 20.06145251 150.93854749],0
p11,1,0.9472,0.004385,[6 2] ; [130  41],[6.07821229 1.92178771] ; [129.92178771  41.07821229],0
