Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,39.206995,[ 17 107] ; [23 12],[31.19496855 92.80503145] ; [ 8.80503145 26.19496855],1
s2,1,4e-06,21.270924,[35 93] ; [26 12],[47.03614458 80.96385542] ; [13.96385542 24.03614458],1
s6,1,4.1e-05,16.832233,[53 76] ; [30  8],[64.11377246 64.88622754] ; [18.88622754 19.11377246],1
s3,1,0.000284,13.174317,[51 76] ; [28 10],[60.80606061 66.19393939] ; [18.19393939 19.80606061],1
r1,1,0.000663,11.591184,[69 60] ; [32  6],[78.01796407 50.98203593] ; [22.98203593 15.01796407],1
p10,1,0.004189,8.199913,[66 61] ; [29  8],[73.56707317 53.43292683] ; [21.43292683 15.56707317],0
r4,1,0.006202,7.490711,[87 42] ; [35  4],[93.67857143 35.32142857] ; [28.32142857 10.67857143],0
p1,1,0.010896,6.48216,[  5 124] ; [ 6 33],[  8.44642857 120.55357143] ; [ 2.55357143 36.44642857],0
d5,1,0.018631,5.535844,[68 60] ; [29 10],[74.34730539 53.65269461] ; [22.65269461 16.34730539],0
d2,1,0.021137,5.315497,[ 26 102] ; [15 24],[31.4251497 96.5748503] ; [ 9.5748503 29.4251497],0
v4,1,0.049099,3.871949,[105  23] ; [37  2],[108.83832335  19.16167665] ; [33.16167665  5.83832335],0
r3,1,0.060175,3.532544,[106  22] ; [37  2],[109.60479042  18.39520958] ; [33.39520958  5.60479042],0
v2,1,0.064793,3.410252,[45 77] ; [19 16],[49.73248408 72.26751592] ; [14.26751592 20.73248408],0
u3,1,0.067021,3.354504,[38 37] ; [16  6],[41.75257732 33.24742268] ; [12.24742268  9.75257732],0
a7,1,0.076886,3.129531,[71 56] ; [28 11],[75.74096386 51.25903614] ; [23.25903614 15.74096386],0
s5,1,0.114071,2.496898,[ 21 105] ; [10 25],[ 24.26086957 101.73913043] ; [ 6.73913043 28.26086957],0
v1,1,0.126489,2.335078,[46 82] ; [18 18],[49.95121951 78.04878049] ; [14.04878049 21.95121951],0
v3,1,0.133722,2.248751,[31 96] ; [13 22],[34.49382716 92.50617284] ; [ 9.50617284 25.49382716],0
d1,1,0.145011,2.123961,[34 95] ; [15 24],[37.625 91.375] ; [11.375 27.625],0
n4,1,0.145711,2.116584,[69 60] ; [26 13],[72.94642857 56.05357143] ; [22.05357143 16.94642857],0
n6,1,0.20362,1.616219,[89 40] ; [31  8],[92.14285714 36.85714286] ; [27.85714286 11.14285714],0
p3,1,0.206335,1.596954,[30 99] ; [13 26],[33.01785714 95.98214286] ; [ 9.98214286 29.01785714],0
r2,1,0.220259,1.502683,[105  24] ; [35  4],[107.5  21.5] ; [32.5  6.5],0
u2,1,0.255458,1.293204,[39 35] ; [14  7],[41.28421053 32.71578947] ; [11.71578947  9.28421053],0
p4,1,0.259233,1.272851,[37 91] ; [15 24],[39.85628743 88.14371257] ; [12.14371257 26.85628743],0
