Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,3.2e-05,17.304867,[373  87] ; [78 45],[355.8490566 104.1509434] ; [95.1509434 27.8490566],1
a8,1,0.000117,14.845615,[ 76 343] ; [  4 109],[ 63.0075188 355.9924812] ; [16.9924812 96.0075188],1
s5,1,0.000333,12.876473,[174 274] ; [67 50],[191.09380531 256.90619469] ; [49.90619469 67.09380531],1
s2,1,0.001873,9.670467,[288 172] ; [94 27],[302.44406196 157.55593804] ; [79.55593804 41.44406196],0
v2,1,0.00948,6.730166,[272 170] ; [57 61],[259.675 182.325] ; [69.325 48.675],0
v3,1,0.011588,6.372905,[195 249] ; [37 82],[182.96269982 261.03730018] ; [49.03730018 69.96269982],0
v1,1,0.017622,5.633341,[265 180] ; [58 64],[253.50088183 191.49911817] ; [69.49911817 52.50088183],0
s3,1,0.020559,5.363801,[312 143] ; [96 25],[322.29166667 132.70833333] ; [85.70833333 35.29166667],0
u2,1,0.021687,5.270716,[86 45] ; [15 19],[80.18787879 50.81212121] ; [20.81212121 13.18787879],0
n5,1,0.026335,4.933857,[361  98] ; [85 38],[351.74226804 107.25773196] ; [94.25773196 28.74226804],0
b2,1,0.041475,4.156488,[114 178] ; [16 47],[106.92957746 185.07042254] ; [23.07042254 39.92957746],0
b3,1,0.041475,4.156488,[114 178] ; [16 47],[106.92957746 185.07042254] ; [23.07042254 39.92957746],0
p2,1,0.068029,3.329952,[393  66] ; [97 26],[386.44329897  72.55670103] ; [103.55670103  19.44329897],0
p5,1,0.098969,2.722075,[ 67 390] ; [ 11 112],[ 61.45862069 395.54137931] ; [ 16.54137931 106.45862069],0
a1,1,0.111079,2.538797,[ 28 434] ; [  3 120],[ 24.48205128 437.51794872] ; [  6.51794872 116.48205128],0
u4,1,0.119946,2.418029,[ 16 446] ; [  1 122],[ 13.42564103 448.57435897] ; [  3.57435897 119.42564103],0
n1,1,0.178329,1.811495,[40 54] ; [10 24],[36.71875 57.28125] ; [13.28125 20.71875],0
p12,1,0.240567,1.377269,[ 50 408] ; [  9 114],[ 46.50946644 411.49053356] ; [ 12.49053356 110.50946644],0
s7,1,0.252113,1.311554,[265 176] ; [79 41],[270.4171123 170.5828877] ; [73.5828877 46.4171123],0
