Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.003937,8.312641,[ 4 12] ; [19  8],[8.55813953 7.44186047] ; [14.44186047 12.55813953],0
d1,1,0.008389,6.948451,[ 1 15] ; [12 15],[ 4.8372093 11.1627907] ; [ 8.1627907 18.8372093],0
a3,1,0.016075,5.794693,[ 4 12] ; [17 10],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
a5,1,0.016075,5.794693,[ 4 12] ; [17 10],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
p10,1,0.019357,5.469014,[7 7] ; [22  4],[10.15  3.85] ; [18.85  7.15],0
d2,1,0.030713,4.668924,[ 2 14] ; [12 15],[ 5.20930233 10.79069767] ; [ 8.79069767 18.20930233],0
n6,1,0.0362,4.387676,[8 8] ; [21  5],[11.04761905  4.95238095] ; [17.95238095  8.04761905],0
n2,1,0.04313,4.090297,[5 4] ; [12  1],[6.95454545 2.04545455] ; [10.04545455  2.95454545],0
s7,1,0.051043,3.80686,[ 4 12] ; [14 11],[7.02439024 8.97560976] ; [10.97560976 14.02439024],0
p9,1,0.072267,3.230769,[8 8] ; [20  6],[10.66666667  5.33333333] ; [17.33333333  8.66666667],0
p5,1,0.082245,3.019978,[ 1 14] ; [ 8 19],[ 3.21428571 11.78571429] ; [ 5.78571429 21.21428571],0
r1,1,0.113415,2.505978,[ 2 14] ; [ 9 17],[ 4.19047619 11.80952381] ; [ 6.80952381 19.19047619],0
s8,1,0.115776,2.473558,[ 3 13] ; [11 15],[ 5.33333333 10.66666667] ; [ 8.66666667 17.33333333],0
p3,1,0.122454,2.385643,[ 5 11] ; [15 12],[7.44186047 8.55813953] ; [12.55813953 14.44186047],0
p4,1,0.129588,2.297436,[8 8] ; [19  7],[10.28571429  5.71428571] ; [16.71428571  9.28571429],0
v2,1,0.170398,1.879438,[ 4 12] ; [12 14],[6.0952381 9.9047619] ; [ 9.9047619 16.0952381],0
d4,1,0.181623,1.784294,[8 8] ; [19  8],[10.04651163  5.95348837] ; [16.95348837 10.04651163],0
b1,1,0.252252,1.310786,[ 6 10] ; [15 12],[7.81395349 8.18604651] ; [13.18604651 13.81395349],0
p6,1,0.255623,1.292308,[ 4 11] ; [12 15],[5.71428571 9.28571429] ; [10.28571429 16.71428571],0
s1,1,0.262062,1.257834,[ 3 13] ; [ 2 25],[ 1.86046512 14.13953488] ; [ 3.13953488 23.86046512],0
b5,1,0.279932,1.167421,[8 8] ; [18  9],[9.6744186 6.3255814] ; [16.3255814 10.6744186],0
v3,1,0.31125,1.025365,[ 2 13] ; [ 7 19],[ 3.29268293 11.70731707] ; [ 5.70731707 20.29268293],0
s4,1,0.389601,0.740187,[ 3 13] ; [ 8 18],[ 4.19047619 11.80952381] ; [ 6.80952381 19.19047619],0
d5,1,0.404921,0.693663,[8 8] ; [17 10],[9.30232558 6.69767442] ; [15.69767442 11.30232558],0
n3,1,0.428539,0.626781,[5 4] ; [5 8],[4.09090909 4.90909091] ; [5.90909091 7.09090909],0
r2,1,0.440059,0.596128,[10  5] ; [13 11],[8.84615385 6.15384615] ; [14.15384615  9.84615385],0
b4,1,0.454107,0.560381,[7 9] ; [15 12],[8.18604651 7.81395349] ; [13.81395349 13.18604651],0
p7,1,0.481582,0.495278,[11  3] ; [17  8],[10.05128205  3.94871795] ; [17.94871795  7.05128205],0
d3,1,0.554536,0.349253,[8 8] ; [16 11],[8.93023256 7.06976744] ; [15.06976744 11.93023256],0
v1,1,0.570435,0.321955,[ 5 11] ; [10 15],[ 5.85365854 10.14634146] ; [ 9.14634146 15.85365854],0
s3,1,0.571257,0.320584,[7 8] ; [ 9 15],[6.15384615 8.84615385] ; [ 9.84615385 14.15384615],0
u3,1,0.63904,0.22,[6 6] ; [4 6],[5.45454545 6.54545455] ; [4.54545455 5.45454545],0
a7,1,0.655469,0.199074,[10  6] ; [15 12],[9.30232558 6.69767442] ; [15.69767442 11.30232558],0
v4,1,0.674012,0.176944,[11  4] ; [19  5],[11.53846154  3.46153846] ; [18.46153846  5.53846154],0
u2,1,0.695895,0.152778,[7 5] ; [5 5],[6.54545455 5.45454545] ; [5.45454545 4.54545455],0
r3,1,0.717146,0.131243,[10  6] ; [17  8],[10.53658537  5.46341463] ; [16.46341463  8.53658537],0
n1,1,0.805803,0.06044,[3 6] ; [5 8],[3.27272727 5.72727273] ; [4.72727273 8.27272727],0
p1,1,0.83126,0.045405,[ 2 13] ; [ 3 24],[ 1.78571429 13.21428571] ; [ 3.21428571 23.78571429],0
p11,1,0.83491,0.043434,[12  4] ; [21  6],[12.27906977  3.72093023] ; [20.72093023  6.27906977],0
p12,1,0.860095,0.031065,[ 1 15] ; [ 2 24],[ 1.14285714 14.85714286] ; [ 1.85714286 24.14285714],0
s6,1,0.87282,0.025625,[ 6 10] ; [10 15],[6.24390244 9.75609756] ; [ 9.75609756 15.24390244],0
a1,1,0.885498,0.020737,[ 1 15] ; [ 2 25],[ 1.11627907 14.88372093] ; [ 1.88372093 25.11627907],0
s2,1,0.89611,0.01705,[7 9] ; [10 14],[6.8 9.2] ; [10.2 13.8],0
s5,1,0.939633,0.005735,[ 2 13] ; [ 3 21],[ 1.92307692 13.07692308] ; [ 3.07692308 20.92307692],0
b2,1,0.946969,0.004424,[2 8] ; [ 4 15],[2.06896552 7.93103448] ; [ 3.93103448 15.06896552],0
b3,1,0.946969,0.004424,[2 8] ; [ 4 15],[2.06896552 7.93103448] ; [ 3.93103448 15.06896552],0
p2,1,0.958276,0.002737,[11  4] ; [20  7],[11.07142857  3.92857143] ; [19.92857143  7.07142857],0
a6,1,0.964647,0.001965,[9 7] ; [15 12],[8.93023256 7.06976744] ; [15.06976744 11.93023256],0
