Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,3.5e-05,17.150928,[3 6] ; [53  6],[7.41176471 1.58823529] ; [48.58823529 10.41176471],1
s2,1,0.000304,13.046624,[1 8] ; [43 16],[5.82352941 3.17647059] ; [38.17647059 20.82352941],1
p9,1,0.00068,11.543238,[2 6] ; [47 11],[5.93939394 2.06060606] ; [43.06060606 14.93939394],1
s8,1,0.001249,10.417014,[2 7] ; [44 14],[6.17910448 2.82089552] ; [39.82089552 18.17910448],0
s6,1,0.005349,7.757471,[4 5] ; [50  9],[7.14705882 1.85294118] ; [46.85294118 12.14705882],0
r3,1,0.005384,7.74558,[6 3] ; [56  3],[8.20588235 0.79411765] ; [53.79411765  5.20588235],0
p10,1,0.008455,6.934463,[3 6] ; [45 14],[6.35294118 2.64705882] ; [41.64705882 17.35294118],0
r1,1,0.009273,6.769475,[4 5] ; [49 10],[7.01470588 1.98529412] ; [45.98529412 13.01470588],0
p1,1,0.014614,5.96245,[3 6] ; [ 4 55],[0.92647059 8.07352941] ; [ 6.07352941 52.92647059],0
a7,1,0.045787,3.989405,[3 6] ; [40 19],[5.69117647 3.30882353] ; [37.30882353 21.69117647],0
s3,1,0.051705,3.785273,[4 5] ; [44 14],[6.44776119 2.55223881] ; [41.55223881 16.44776119],0
a6,1,0.076092,3.146453,[4 5] ; [42 15],[6.27272727 2.72727273] ; [39.72727273 17.27272727],0
a5,1,0.082074,3.02335,[5 4] ; [48 11],[7.01470588 1.98529412] ; [45.98529412 13.01470588],0
n5,1,0.085435,2.958361,[4 5] ; [43 16],[6.22058824 2.77941176] ; [40.77941176 18.22058824],0
v1,1,0.108025,2.582879,[2 6] ; [31 25],[4.125 3.875] ; [28.875 27.125],0
p3,1,0.114872,2.485878,[1 8] ; [22 36],[3.08955224 5.91044776] ; [19.91044776 38.08955224],0
p4,1,0.135801,2.224906,[1 8] ; [21 37],[2.95522388 6.04477612] ; [19.04477612 38.95522388],0
p6,1,0.143637,2.138556,[1 8] ; [21 38],[2.91176471 6.08823529] ; [19.08823529 39.91176471],0
n4,1,0.148106,2.091651,[5 4] ; [46 13],[6.75 2.25] ; [44.25 14.75],0
d5,1,0.148829,2.084211,[6 3] ; [49  8],[7.5 1.5] ; [47.5  9.5],0
d3,1,0.160653,1.96807,[4 5] ; [39 18],[5.86363636 3.13636364] ; [37.13636364 19.86363636],0
a2,1,0.195814,1.673321,[1 8] ; [19 40],[2.64705882 6.35294118] ; [17.35294118 41.64705882],0
b5,1,0.251012,1.31766,[4 5] ; [38 21],[5.55882353 3.44117647] ; [36.44117647 22.55882353],0
s5,1,0.28065,1.163938,[2 7] ; [23 33],[3.46153846 5.53846154] ; [21.53846154 34.46153846],0
p7,1,0.297449,1.085597,[2 7] ; [23 34],[3.40909091 5.59090909] ; [21.59090909 35.40909091],0
u1,1,0.301586,1.067169,[1 8] ; [16 43],[2.25 6.75] ; [14.75 44.25],0
n6,1,0.323928,0.973023,[6 3] ; [47 11],[7.11940299 1.88059701] ; [45.88059701 12.11940299],0
b4,1,0.331355,0.943596,[7 2] ; [36 23],[5.69117647 3.30882353] ; [37.30882353 21.69117647],0
a8,1,0.341431,0.905051,[2 7] ; [ 6 49],[1.125 7.875] ; [ 6.875 48.125],0
a3,1,0.39513,0.723098,[8 1] ; [45 14],[7.01470588 1.98529412] ; [45.98529412 13.01470588],0
n3,1,0.404657,0.694444,[4 1] ; [12  8],[3.2 1.8] ; [12.8  7.2],0
n2,1,0.496587,0.462222,[4 2] ; [16  4],[4.61538462 1.38461538] ; [15.38461538  4.61538462],0
v3,1,0.573216,0.31733,[3 5] ; [26 28],[3.74193548 4.25806452] ; [25.25806452 28.74193548],0
a4,1,0.583515,0.300586,[4 5] ; [32 27],[4.76470588 4.23529412] ; [31.23529412 27.76470588],0
d2,1,0.587625,0.294069,[5 4] ; [37 20],[5.72727273 3.27272727] ; [36.27272727 20.72727273],0
d4,1,0.630356,0.231579,[7 2] ; [48  9],[7.5 1.5] ; [47.5  9.5],0
b2,1,0.646184,0.210745,[4 4] ; [19 27],[3.40740741 4.59259259] ; [19.59259259 26.40740741],0
b3,1,0.646184,0.210745,[4 4] ; [19 27],[3.40740741 4.59259259] ; [19.59259259 26.40740741],0
n1,1,0.702195,0.146199,[4 2] ; [11  8],[3.6 2.4] ; [11.4  7.6],0
s1,1,0.795053,0.067473,[1 8] ; [ 5 54],[0.79411765 8.20588235] ; [ 5.20588235 53.79411765],0
d1,1,0.864334,0.029193,[6 3] ; [41 18],[6.22058824 2.77941176] ; [40.77941176 18.22058824],0
v2,1,0.882427,0.021872,[5 4] ; [32 23],[5.203125 3.796875] ; [31.796875 23.203125],0
b1,1,0.941039,0.005471,[5 4] ; [32 27],[4.89705882 4.10294118] ; [32.10294118 26.89705882],0
p11,1,0.973379,0.001114,[6 3] ; [39 20],[5.95588235 3.04411765] ; [39.04411765 19.95588235],0
s4,1,0.989874,0.000161,[2 7] ; [13 46],[1.98529412 7.01470588] ; [13.01470588 45.98529412],0
