Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.4e-05,17.877374,[23  6] ; [15 35],[13.94936709 15.05063291] ; [24.05063291 25.94936709],1
a3,1,0.001016,10.798288,[ 7 24] ; [30 20],[14.16049383 16.83950617] ; [22.83950617 27.16049383],0
p11,1,0.001534,10.037706,[25  6] ; [23 28],[18.14634146 12.85365854] ; [29.85365854 21.14634146],0
p6,1,0.004131,8.225371,[14 17] ; [ 8 42],[ 8.41975309 22.58024691] ; [13.58024691 36.41975309],0
s6,1,0.008692,6.885,[19 11] ; [17 34],[13.33333333 16.66666667] ; [22.66666667 28.33333333],0
p4,1,0.022091,5.238586,[17 14] ; [15 36],[12.09756098 18.90243902] ; [19.90243902 31.09756098],0
b1,1,0.030515,4.680024,[10 21] ; [29 22],[14.74390244 16.25609756] ; [24.25609756 26.74390244],0
p10,1,0.040131,4.212336,[22  8] ; [25 25],[17.625 12.375] ; [29.375 20.625],0
b5,1,0.055745,3.659658,[23  8] ; [27 24],[18.90243902 12.09756098] ; [31.09756098 19.90243902],0
s8,1,0.068181,3.326278,[11 20] ; [ 9 42],[ 7.56097561 23.43902439] ; [12.43902439 38.56097561],0
p3,1,0.075389,3.161613,[14 17] ; [13 37],[10.33333333 20.66666667] ; [16.66666667 33.33333333],0
p5,1,0.106832,2.600477,[ 3 27] ; [ 1 50],[ 1.48148148 28.51851852] ; [ 2.51851852 48.48148148],0
a4,1,0.122765,2.38169,[ 4 27] ; [14 37],[ 6.80487805 24.19512195] ; [11.19512195 39.80487805],0
p2,1,0.138246,2.19737,[22  8] ; [29 22],[18.88888889 11.11111111] ; [32.11111111 18.88888889],0
d2,1,0.214364,1.541707,[ 8 23] ; [20 31],[10.58536585 20.41463415] ; [17.41463415 33.58536585],0
s2,1,0.241058,1.374398,[15 16] ; [18 33],[12.47560976 18.52439024] ; [20.52439024 30.47560976],0
n1,1,0.329111,0.952393,[4 7] ; [ 5 19],[2.82857143 8.17142857] ; [ 6.17142857 17.82857143],0
v3,1,0.351319,0.868687,[ 6 24] ; [ 6 43],[ 4.55696203 25.44303797] ; [ 7.44303797 41.55696203],0
n3,1,0.386671,0.749384,[7 4] ; [12 13],[5.80555556 5.19444444] ; [13.19444444 11.80555556],0
a2,1,0.396832,0.717905,[ 1 30] ; [ 4 47],[ 1.8902439 29.1097561] ; [ 3.1097561 47.8902439],0
a1,1,0.396832,0.717905,[ 1 30] ; [ 4 47],[ 1.8902439 29.1097561] ; [ 3.1097561 47.8902439],0
b2,1,0.415529,0.662926,[ 4 12] ; [10 17],[ 5.20930233 10.79069767] ; [ 8.79069767 18.20930233],0
