Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,28.356923,[ 6 54] ; [19 11],[16.66666667 43.33333333] ; [ 8.33333333 21.66666667],1
s7,1,0.000578,11.845312,[ 7 49] ; [13 15],[13.33333333 42.66666667] ; [ 6.66666667 21.33333333],1
s6,1,0.001114,10.627299,[18 41] ; [20 10],[25.19101124 33.80898876] ; [12.80898876 17.19101124],0
s5,1,0.009346,6.755532,[ 5 53] ; [ 9 21],[ 9.22727273 48.77272727] ; [ 4.77272727 25.22727273],0
p3,1,0.015134,5.900753,[ 9 51] ; [11 18],[13.48314607 46.51685393] ; [ 6.51685393 22.48314607],0
v1,1,0.016869,5.709976,[13 46] ; [14 16],[17.8988764 41.1011236] ; [ 9.1011236 20.8988764],0
p7,1,0.049527,3.857393,[11 48] ; [11 18],[14.75 44.25] ; [ 7.25 21.75],0
s1,1,0.052365,3.764058,[ 5 54] ; [ 7 23],[ 7.95505618 51.04494382] ; [ 4.04494382 25.95505618],0
s4,1,0.052365,3.764058,[ 5 54] ; [ 7 23],[ 7.95505618 51.04494382] ; [ 4.04494382 25.95505618],0
p5,1,0.064015,3.430171,[ 1 59] ; [ 3 26],[ 2.69662921 57.30337079] ; [ 1.30337079 27.69662921],0
a8,1,0.080188,3.061084,[ 3 54] ; [ 5 25],[ 5.24137931 51.75862069] ; [ 2.75862069 27.24137931],0
r3,1,0.096855,2.756587,[37 22] ; [24  6],[40.43820225 18.56179775] ; [20.56179775  9.43820225],0
v2,1,0.106329,2.607949,[15 42] ; [13 17],[18.34482759 38.65517241] ; [ 9.65517241 20.34482759],0
r1,1,0.114184,2.495334,[31 28] ; [21  9],[34.47191011 24.52808989] ; [17.52808989 12.47191011],0
v3,1,0.165753,1.920939,[15 43] ; [11 16],[17.74117647 40.25882353] ; [ 8.25882353 18.74117647],0
a5,1,0.170904,1.875,[33 27] ; [21  9],[36. 24.] ; [18. 12.],0
r4,1,0.22733,1.45749,[32 28] ; [20 10],[34.66666667 25.33333333] ; [17.33333333 12.66666667],0
a2,1,0.230139,1.44,[12 48] ; [ 3 27],[10. 50.] ; [ 5. 25.],0
b4,1,0.230139,1.44,[36 24] ; [14 16],[33.33333333 26.66666667] ; [16.66666667 13.33333333],0
p8,1,0.258626,1.276095,[ 7 53] ; [ 6 23],[ 8.76404494 51.23595506] ; [ 4.23595506 24.76404494],0
a3,1,0.260725,1.264902,[32 27] ; [20 10],[34.47191011 24.52808989] ; [17.52808989 12.47191011],0
p9,1,0.261487,1.26087,[10 48] ; [ 8 21],[12. 46.] ; [ 6. 23.],0
p11,1,0.27221,1.205577,[23 37] ; [ 8 22],[20.66666667 39.33333333] ; [10.33333333 19.66666667],0
u2,1,0.296505,1.089847,[11 16] ; [6 4],[12.40540541 14.59459459] ; [4.59459459 5.40540541],0
n1,1,0.306504,1.045679,[10 17] ; [8 7],[11.57142857 15.42857143] ; [6.42857143 8.57142857],0
a1,1,0.342782,0.9,[ 8 52] ; [ 2 28],[ 6.66666667 53.33333333] ; [ 3.33333333 26.66666667],0
n6,1,0.353059,0.862432,[35 23] ; [15 15],[32.95454545 25.04545455] ; [17.04545455 12.95454545],0
u1,1,0.362695,0.828539,[ 6 54] ; [ 5 25],[ 7.33333333 52.66666667] ; [ 3.66666667 26.33333333],0
p1,1,0.370028,0.803571,[ 3 57] ; [ 3 27],[ 4. 56.] ; [ 2. 28.],0
p4,1,0.385842,0.752005,[13 47] ; [ 9 21],[14.66666667 45.33333333] ; [ 7.33333333 22.66666667],0
s8,1,0.430174,0.622354,[ 8 51] ; [ 6 24],[ 9.28089888 49.71910112] ; [ 4.71910112 25.28089888],0
a6,1,0.451914,0.565847,[32 28] ; [13 16],[30.33707865 29.66292135] ; [14.66292135 14.33707865],0
n2,1,0.46118,0.54303,[13 14] ; [9 6],[14.14285714 12.85714286] ; [7.85714286 7.14285714],0
u4,1,0.469456,0.523256,[ 2 58] ; [ 2 28],[ 2.66666667 57.33333333] ; [ 1.33333333 28.66666667],0
v4,1,0.495121,0.465379,[37 22] ; [21  9],[38.4494382 20.5505618] ; [19.5505618 10.4494382],0
a4,1,0.589245,0.291524,[24 35] ; [14 16],[25.19101124 33.80898876] ; [12.80898876 17.19101124],0
p6,1,0.647264,0.209367,[ 8 51] ; [ 5 24],[ 8.71590909 50.28409091] ; [ 4.28409091 24.71590909],0
b1,1,0.651815,0.20362,[33 27] ; [18 12],[34. 26.] ; [17. 13.],0
b2,1,0.711661,0.136624,[17 25] ; [ 6 11],[16.37288136 25.62711864] ; [ 6.62711864 10.37288136],0
b3,1,0.711661,0.136624,[17 25] ; [ 6 11],[16.37288136 25.62711864] ; [ 6.62711864 10.37288136],0
u3,1,0.725622,0.123169,[15 13] ; [6 4],[15.47368421 12.52631579] ; [5.52631579 4.47368421],0
