Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,104.382928,[340  63] ; [44 74],[297.02879079 105.97120921] ; [86.97120921 31.02879079],1
d3,1,0.0,56.097514,[381  23] ; [82 36],[358.33716475  45.66283525] ; [104.66283525  13.33716475],1
a2,1,0.0,32.49009,[171 235] ; [ 16 102],[144.88931298 261.11068702] ; [42.11068702 75.88931298],1
b5,1,1e-06,24.435649,[274 132] ; [50 68],[251.03816794 154.96183206] ; [72.96183206 45.03816794],1
u1,1,1e-06,23.719921,[134 272] ; [ 12 106],[113.1221374 292.8778626] ; [32.8778626 85.1221374],1
b1,1,2.9e-05,17.497202,[131 275] ; [63 55],[150.3129771 255.6870229] ; [43.6870229 74.3129771],1
r1,1,0.010349,6.573868,[356  48] ; [93 25],[347.50191571  56.49808429] ; [101.49808429  16.50191571],0
s5,1,0.020747,5.347953,[134 255] ; [52 60],[144.41916168 244.58083832] ; [41.58083832 70.41916168],0
d2,1,0.05374,3.720748,[281 122] ; [93 25],[289.29366603 113.70633397] ; [84.70633397 33.29366603],0
s8,1,0.082605,3.012887,[197 205] ; [68 49],[205.26011561 196.73988439] ; [59.73988439 57.26011561],0
p12,1,0.096371,2.764604,[ 42 363] ; [  6 108],[ 37.4566474 367.5433526] ; [ 10.5433526 103.4566474],0
r4,1,0.107475,2.590963,[382  24] ; [106  12],[378.10687023  27.89312977] ; [109.89312977   8.10687023],0
s7,1,0.111009,2.539797,[200 189] ; [66 44],[207.36272545 181.63727455] ; [58.63727455 51.36272545],0
b4,1,0.134191,2.243334,[248 158] ; [63 55],[240.96564885 165.03435115] ; [70.03435115 47.96564885],0
s4,1,0.146698,2.106259,[ 63 336] ; [25 91],[ 68.17864078 330.82135922] ; [19.82135922 96.17864078],0
v2,1,0.156229,2.010355,[245 144] ; [64 51],[238.49404762 150.50595238] ; [70.50595238 44.49404762],0
n5,1,0.165481,1.923415,[303 102] ; [94 22],[308.6084453  96.3915547] ; [88.3915547 27.6084453],0
n4,1,0.177924,1.814882,[320  86] ; [98 18],[325.11111111  80.88888889] ; [92.88888889 23.11111111],0
a3,1,0.181975,1.781417,[320  84] ; [100  18],[325.05747126  78.94252874] ; [94.94252874 23.05747126],0
r2,1,0.21742,1.52132,[394   9] ; [110   5],[392.10810811  10.89189189] ; [111.89189189   3.10810811],0
a4,1,0.232292,1.426771,[229 176] ; [74 44],[234.63671128 170.36328872] ; [68.36328872 49.63671128],0
p6,1,0.260588,1.265632,[155 245] ; [50 62],[160.15625 239.84375] ; [44.84375 67.15625],0
u3,1,0.286682,1.135136,[59 27] ; [10  8],[57.05769231 28.94230769] ; [11.94230769  6.05769231],0
p5,1,0.296232,1.091079,[ 45 357] ; [17 98],[ 48.20889749 353.79110251] ; [ 13.79110251 101.20889749],0
a8,1,0.315694,1.006702,[ 47 306] ; [ 11 102],[ 43.93562232 309.06437768] ; [14.06437768 98.93562232],0
p7,1,0.319191,0.992257,[252 142] ; [78 35],[256.44970414 137.55029586] ; [73.55029586 39.44970414],0
p10,1,0.345641,0.889395,[341  63] ; [92 22],[337.70656371  66.29343629] ; [95.29343629 18.70656371],0
a5,1,0.380615,0.768713,[341  65] ; [103  15],[344.01526718  61.98473282] ; [99.98473282 18.01526718],0
d5,1,0.410626,0.676988,[396   8] ; [116   1],[397.02111324   6.97888676] ; [114.97888676   2.02111324],0
a1,1,0.430666,0.621026,[ 20 386] ; [  8 110],[ 21.69465649 384.30534351] ; [  6.30534351 111.69465649],0
p1,1,0.477585,0.504373,[ 36 368] ; [  8 109],[ 34.11900192 369.88099808] ; [  9.88099808 107.11900192],0
u4,1,0.489142,0.478413,[ 12 394] ; [  5 113],[ 13.17175573 392.82824427] ; [  3.82824427 114.17175573],0
n1,1,0.505831,0.442681,[31 57] ; [13 18],[32.53781513 55.46218487] ; [11.46218487 19.53781513],0
n3,1,0.515008,0.423879,[63 26] ; [20 11],[61.55833333 27.44166667] ; [21.44166667  9.55833333],0
b2,1,0.527392,0.399415,[ 98 153] ; [34 45],[100.4 150.6] ; [31.6 47.4],0
b3,1,0.527392,0.399415,[ 98 153] ; [34 45],[100.4 150.6] ; [31.6 47.4],0
p4,1,0.57268,0.318219,[266 137] ; [72 42],[263.47001934 139.52998066] ; [74.52998066 39.47001934],0
n2,1,0.595749,0.281455,[62 27] ; [20 11],[60.81666667 28.18333333] ; [21.18333333  9.81666667],0
p2,1,0.595821,0.281346,[342  62] ; [95 20],[340.16955684  63.83044316] ; [96.83044316 18.16955684],0
p8,1,0.633764,0.226991,[220 180] ; [65 48],[222.22222222 177.77777778] ; [62.77777778 50.22222222],0
p3,1,0.677353,0.173121,[213 189] ; [64 52],[214.96911197 187.03088803] ; [62.03088803 53.96911197],0
r3,1,0.67778,0.172635,[391  14] ; [112   5],[390.25862069  14.74137931] ; [112.74137931   4.25862069],0
s6,1,0.683946,0.165718,[278 123] ; [82 33],[279.76744186 121.23255814] ; [80.23255814 34.76744186],0
s1,1,0.716502,0.131869,[ 13 387] ; [  3 113],[ 12.40310078 387.59689922] ; [  3.59689922 112.40310078],0
d4,1,0.732464,0.116861,[399   5] ; [116   1],[399.34740883   4.65259117] ; [115.65259117   1.34740883],0
s3,1,0.75792,0.094995,[234 166] ; [66 50],[232.55813953 167.44186047] ; [67.44186047 48.55813953],0
v1,1,0.767036,0.087767,[226 169] ; [67 47],[227.37721022 167.62278978] ; [65.62278978 48.37721022],0
v3,1,0.77344,0.082874,[167 216] ; [51 62],[168.33467742 214.66532258] ; [49.66532258 63.33467742],0
p11,1,0.842545,0.039457,[320  86] ; [92 26],[319.22137405  86.77862595] ; [92.77862595 25.22137405],0
n6,1,0.905512,0.01409,[350  54] ; [100  16],[349.61538462  54.38461538] ; [100.38461538  15.61538462],0
u2,1,0.952886,0.003491,[55 31] ; [11  6],[55.10679612 30.89320388] ; [10.89320388  6.10679612],0
p9,1,0.957493,0.002841,[349  52] ; [99 15],[348.83106796  52.16893204] ; [99.16893204 14.83106796],0
s2,1,0.974649,0.00101,[228 175] ; [66 51],[227.85 175.15] ; [66.15 50.85],0
