Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,47.118285,[155 118] ; [ 43 136],[119.58849558 153.41150442] ; [ 78.41150442 100.58849558],1
v1,1,0.0,30.212879,[190  81] ; [78 99],[162.11607143 108.88392857] ; [105.88392857  71.11607143],1
d1,1,0.00458,8.038413,[179  99] ; [93 89],[164.3826087 113.6173913] ; [107.6173913  74.3826087],0
d5,1,0.005404,7.738883,[239  38] ; [137  43],[227.90371991  49.09628009] ; [148.09628009  31.90371991],0
b1,1,0.005557,7.68854,[ 94 184] ; [85 97],[108.17826087 169.82173913] ; [ 70.82173913 111.17826087],0
r3,1,0.007878,7.060978,[272   5] ; [170  12],[266.74074074  10.25925926] ; [175.25925926   6.74074074],0
a5,1,0.010942,6.474646,[222  55] ; [127  55],[210.61655773  66.38344227] ; [138.38344227  43.61655773],0
s7,1,0.015057,5.909741,[173  93] ; [93 81],[160.80909091 105.19090909] ; [105.19090909  68.80909091],0
p3,1,0.015349,5.875988,[157 119] ; [82 99],[144.34135667 131.65864333] ; [94.65864333 86.34135667],0
a6,1,0.053942,3.714507,[194  81] ; [112  69],[184.53947368  90.46052632] ; [121.46052632  59.53947368],0
u1,1,0.055379,3.670637,[ 63 215] ; [ 28 154],[ 54.99565217 223.00434783] ; [ 36.00434783 145.99565217],0
s1,1,0.056881,3.626074,[  7 266] ; [ 11 168],[ 10.87168142 262.12831858] ; [  7.12831858 171.87168142],0
d2,1,0.057506,3.607894,[144 132] ; [ 78 103],[134.07439825 141.92560175] ; [87.92560175 93.07439825],0
a3,1,0.063226,3.450672,[208  68] ; [122  59],[199.29978118  76.70021882] ; [130.70021882  50.29978118],0
d4,1,0.06537,3.395615,[240  36] ; [145  35],[233.02631579  42.97368421] ; [151.97368421  28.02631579],0
p12,1,0.07233,3.229337,[ 36 240] ; [ 14 168],[ 30.13100437 245.86899563] ; [ 19.86899563 162.13100437],0
d3,1,0.076015,3.148113,[200  76] ; [117  64],[191.44857768  84.55142232] ; [125.55142232  55.44857768],0
s2,1,0.081467,3.035382,[180  96] ; [104  78],[171.1441048 104.8558952] ; [112.8558952  69.1441048],0
n2,1,0.082518,3.014592,[44 10] ; [27 14],[40.35789474 13.64210526] ; [30.64210526 10.35789474],0
a7,1,0.086419,2.939851,[211  65] ; [126  56],[203.08296943  72.91703057] ; [133.91703057  48.08296943],0
p10,1,0.091022,2.856201,[236  39] ; [142  36],[229.47019868  45.52980132] ; [148.52980132  29.47019868],0
n5,1,0.138119,2.198791,[224  51] ; [137  44],[217.70833333  57.29166667] ; [143.29166667  37.70833333],0
b4,1,0.150489,2.067284,[170 108] ; [99 83],[162.56956522 115.43043478] ; [106.43043478  75.56956522],0
a2,1,0.16837,1.897399,[ 77 201] ; [ 40 142],[ 70.70869565 207.29130435] ; [ 46.29130435 135.70869565],0
r1,1,0.188269,1.731114,[235  42] ; [145  36],[229.82532751  47.17467249] ; [150.17467249  30.82532751],0
p6,1,0.200585,1.638109,[115 158] ; [ 65 115],[108.47682119 164.52317881] ; [ 71.52317881 108.47682119],0
p9,1,0.210745,1.566298,[244  30] ; [154  27],[239.67472527  34.32527473] ; [158.32527473  22.67472527],0
