Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.000551,11.934625,[ 1 24] ; [10 11],[ 5.97826087 19.02173913] ; [ 5.02173913 15.97826087],1
d3,1,0.038757,4.271485,[ 3 22] ; [ 8 13],[ 5.97826087 19.02173913] ; [ 5.02173913 15.97826087],0
d5,1,0.045549,3.998195,[ 7 18] ; [12  9],[10.32608696 14.67391304] ; [ 8.67391304 12.32608696],0
a6,1,0.045549,3.998195,[ 7 18] ; [12  9],[10.32608696 14.67391304] ; [ 8.67391304 12.32608696],0
v3,1,0.080586,3.053037,[ 3 22] ; [ 7 14],[ 5.43478261 19.56521739] ; [ 4.56521739 16.43478261],0
v2,1,0.10487,2.62987,[ 4 20] ; [ 8 13],[ 6.4 17.6] ; [ 5.6 15.4],0
a8,1,0.127538,2.322222,[ 5 19] ; [ 1 19],[ 3.27272727 20.72727273] ; [ 2.72727273 17.27272727],0
r3,1,0.160581,1.96875,[11 13] ; [14  7],[13.33333333 10.66666667] ; [11.66666667  9.33333333],0
s6,1,0.174158,1.846783,[ 6 19] ; [ 9 12],[ 8.15217391 16.84782609] ; [ 6.84782609 14.15217391],0
p7,1,0.178663,1.808707,[12 13] ; [ 6 15],[ 9.7826087 15.2173913] ; [ 8.2173913 12.7826087],0
u3,1,0.238271,1.390797,[ 1 12] ; [3 9],[ 2.08 10.92] ; [ 1.92 10.08],0
r1,1,0.264277,1.246212,[ 9 16] ; [11 10],[10.86956522 14.13043478] ; [ 9.13043478 11.86956522],0
v1,1,0.291958,1.110571,[ 7 18] ; [ 9 12],[ 8.69565217 16.30434783] ; [ 7.30434783 13.69565217],0
a5,1,0.374532,0.788571,[14 11] ; [ 9 12],[12.5 12.5] ; [10.5 10.5],0
a7,1,0.401067,0.705125,[10 15] ; [11 10],[11.41304348 13.58695652] ; [ 9.58695652 11.41304348],0
a4,1,0.408084,0.684376,[ 6 19] ; [ 3 18],[ 4.89130435 20.10869565] ; [ 4.10869565 16.89130435],0
s8,1,0.408084,0.684376,[ 6 19] ; [ 3 18],[ 4.89130435 20.10869565] ; [ 4.10869565 16.89130435],0
a2,1,0.449774,0.571222,[ 1 24] ; [ 2 19],[ 1.63043478 23.36956522] ; [ 1.36956522 19.63043478],0
p11,1,0.460292,0.545185,[11 14] ; [ 7 14],[ 9.7826087 15.2173913] ; [ 8.2173913 12.7826087],0
a1,1,0.495088,0.465449,[ 2 23] ; [ 3 18],[ 2.7173913 22.2826087] ; [ 2.2826087 18.7173913],0
s1,1,0.515925,0.422032,[ 4 21] ; [ 2 19],[ 3.26086957 21.73913043] ; [ 2.73913043 18.26086957],0
b5,1,0.536355,0.382338,[13 12] ; [ 9 12],[11.95652174 13.04347826] ; [10.04347826 10.95652174],0
p8,1,0.53835,0.378606,[ 6 18] ; [ 7 14],[ 6.93333333 17.06666667] ; [ 6.06666667 14.93333333],0
p2,1,0.570846,0.32127,[11 14] ; [11 10],[11.95652174 13.04347826] ; [10.04347826 10.95652174],0
n5,1,0.592408,0.286599,[16  9] ; [15  6],[16.84782609  8.15217391] ; [14.15217391  6.84782609],0
p10,1,0.60006,0.274906,[11 13] ; [ 8 13],[10.13333333 13.86666667] ; [ 8.86666667 12.13333333],0
a3,1,0.631827,0.229592,[12 12] ; [ 9 12],[11.2 12.8] ; [ 9.8 11.2],0
p5,1,0.631827,0.229592,[ 2 22] ; [ 1 20],[ 1.6 22.4] ; [ 1.4 19.6],0
p9,1,0.631827,0.229592,[12 12] ; [12  9],[12.8 11.2] ; [11.2  9.8],0
s2,1,0.725058,0.123697,[ 6 19] ; [ 6 15],[ 6.52173913 18.47826087] ; [ 5.47826087 15.52173913],0
p3,1,0.725058,0.123697,[ 6 19] ; [ 6 15],[ 6.52173913 18.47826087] ; [ 5.47826087 15.52173913],0
d2,1,0.755028,0.097354,[ 5 20] ; [ 5 16],[ 5.43478261 19.56521739] ; [ 4.56521739 16.43478261],0
s3,1,0.763256,0.090726,[ 7 17] ; [ 7 14],[ 7.46666667 16.53333333] ; [ 6.53333333 14.46666667],0
s5,1,0.788114,0.072232,[ 3 22] ; [ 2 19],[ 2.7173913 22.2826087] ; [ 2.2826087 18.7173913],0
p1,1,0.788114,0.072232,[ 3 22] ; [ 2 19],[ 2.7173913 22.2826087] ; [ 2.2826087 18.7173913],0
s4,1,0.818648,0.052571,[ 3 22] ; [ 3 18],[ 3.26086957 21.73913043] ; [ 2.73913043 18.26086957],0
p6,1,0.834906,0.043436,[ 4 20] ; [ 4 17],[ 4.26666667 19.73333333] ; [ 3.73333333 17.26666667],0
b4,1,0.844583,0.038429,[15 10] ; [12  9],[14.67391304 10.32608696] ; [12.32608696  8.67391304],0
n1,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
n3,1,0.857596,0.032197,[6 5] ; [3 3],[5.82352941 5.17647059] ; [3.17647059 2.82352941],0
n2,1,0.857596,0.032197,[5 6] ; [3 3],[5.17647059 5.82352941] ; [2.82352941 3.17647059],0
n6,1,0.873351,0.025409,[12 12] ; [11 10],[12.26666667 11.73333333] ; [10.73333333 10.26666667],0
n4,1,0.883412,0.021505,[16  9] ; [13  8],[15.76086957  9.23913043] ; [13.23913043  7.76086957],0
u2,1,0.890787,0.018854,[4 9] ; [4 8],[4.16 8.84] ; [3.84 8.16],0
p4,1,0.92345,0.009233,[ 8 17] ; [ 7 14],[ 8.15217391 16.84782609] ; [ 6.84782609 14.15217391],0
b2,1,0.954001,0.003327,[ 6 11] ; [4 7],[ 6.07142857 10.92857143] ; [3.92857143 7.07142857],0
