Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,23.367273,[ 2 23] ; [49 28],[12.5 12.5] ; [38.5 38.5],1
d4,1,6e-06,20.396957,[10 15] ; [65 11],[18.56435644  6.43564356] ; [56.43564356 19.56435644],1
a7,1,4.3e-05,16.729504,[ 7 18] ; [56 20],[15.59405941  9.40594059] ; [47.40594059 28.59405941],1
d3,1,0.000505,12.095346,[ 7 18] ; [52 25],[14.46078431 10.53921569] ; [44.53921569 32.46078431],1
d2,1,0.001213,10.470085,[ 6 19] ; [46 29],[13. 12.] ; [39. 36.],0
p2,1,0.003241,8.666404,[ 4 21] ; [38 39],[10.29411765 14.70588235] ; [31.70588235 45.29411765],0
a4,1,0.004405,8.108688,[ 5 20] ; [40 36],[11.13861386 13.86138614] ; [33.86138614 42.13861386],0
a3,1,0.007859,7.065273,[10 14] ; [55 22],[15.44554455  8.55445545] ; [49.55445545 27.44554455],0
r3,1,0.016086,5.79342,[14 11] ; [61 15],[18.56435644  6.43564356] ; [56.43564356 19.56435644],0
u3,1,0.027176,4.879568,[ 4 11] ; [14  8],[7.2972973 7.7027027] ; [10.7027027 11.2972973],0
b5,1,0.028892,4.774048,[ 8 17] ; [44 33],[12.74509804 12.25490196] ; [39.25490196 37.74509804],0
a6,1,0.035406,4.425483,[11 14] ; [52 25],[15.44117647  9.55882353] ; [47.55882353 29.44117647],0
v4,1,0.036085,4.393094,[14 11] ; [59 17],[18.06930693  6.93069307] ; [54.93069307 21.06930693],0
p4,1,0.044362,4.042723,[ 3 21] ; [26 51],[ 6.89108911 17.10891089] ; [22.10891089 54.89108911],0
a2,1,0.045128,4.013861,[ 2 23] ; [21 56],[ 5.6372549 19.3627451] ; [17.3627451 59.6372549],0
a5,1,0.047889,3.91386,[11 14] ; [51 26],[15.19607843  9.80392157] ; [46.80392157 30.19607843],0
v2,1,0.075797,3.152793,[ 5 19] ; [31 45],[ 8.64 15.36] ; [27.36 48.64],0
a8,1,0.082324,3.018409,[ 3 22] ; [ 2 67],[ 1.32978723 23.67021277] ; [ 3.67021277 65.32978723],0
b2,1,0.088342,2.904326,[9 8] ; [15 35],[ 6.08955224 10.91044776] ; [17.91044776 32.08955224],0
b3,1,0.088342,2.904326,[9 8] ; [15 35],[ 6.08955224 10.91044776] ; [17.91044776 32.08955224],0
p1,1,0.091918,2.840457,[ 5 20] ; [ 6 70],[ 2.72277228 22.27722772] ; [ 8.27722772 67.72277228],0
u1,1,0.103862,2.645222,[ 1 24] ; [13 64],[ 3.43137255 21.56862745] ; [10.56862745 66.43137255],0
n5,1,0.104086,2.641787,[17  8] ; [38 39],[13.48039216 11.51960784] ; [41.51960784 35.48039216],0
v1,1,0.112756,2.515169,[ 4 21] ; [25 52],[ 7.10784314 17.89215686] ; [21.89215686 55.10784314],0
r2,1,0.125276,2.350084,[18  7] ; [65 11],[20.54455446  4.45544554] ; [62.45544554 13.54455446],0
r4,1,0.131843,2.270664,[12 13] ; [50 27],[15.19607843  9.80392157] ; [46.80392157 30.19607843],0
b1,1,0.168302,1.898004,[10 15] ; [43 34],[12.99019608 12.00980392] ; [40.00980392 36.99019608],0
r1,1,0.181132,1.788312,[15 10] ; [57 20],[17.64705882  7.35294118] ; [54.35294118 22.64705882],0
n2,1,0.183335,1.770379,[11  5] ; [15 16],[8.85106383 7.14893617] ; [17.14893617 13.85106383],0
n1,1,0.239121,1.385771,[7 8] ; [ 9 22],[5.2173913 9.7826087] ; [10.7826087 20.2173913],0
n4,1,0.254546,1.298182,[19  6] ; [49 28],[16.66666667  8.33333333] ; [51.33333333 25.66666667],0
n3,1,0.275787,1.187735,[9 5] ; [14 16],[7.31818182 6.68181818] ; [15.68181818 14.31818182],0
p11,1,0.359683,0.839,[12 13] ; [29 48],[10.04901961 14.95098039] ; [30.95098039 46.04901961],0
s8,1,0.380567,0.768868,[ 3 22] ; [15 61],[ 4.45544554 20.54455446] ; [13.54455446 62.45544554],0
p5,1,0.397332,0.716384,[ 1 24] ; [ 1 76],[ 0.49019608 24.50980392] ; [ 1.50980392 75.49019608],0
u2,1,0.460937,0.543618,[ 5 10] ; [10 12],[6.08108108 8.91891892] ; [ 8.91891892 13.08108108],0
p8,1,0.501313,0.452156,[ 2 23] ; [10 67],[ 2.94117647 22.05882353] ; [ 9.05882353 67.94117647],0
a1,1,0.519267,0.41535,[ 3 22] ; [ 6 71],[ 2.20588235 22.79411765] ; [ 6.79411765 70.20588235],0
s3,1,0.539265,0.376903,[ 7 18] ; [26 49],[ 8.25 16.75] ; [24.75 50.25],0
s2,1,0.566975,0.32777,[ 5 20] ; [19 55],[ 6.06060606 18.93939394] ; [17.93939394 56.06060606],0
v3,1,0.570618,0.32165,[ 6 18] ; [23 51],[ 7.10204082 16.89795918] ; [21.89795918 52.10204082],0
p6,1,0.655047,0.199597,[ 1 23] ; [ 5 70],[ 1.45454545 22.54545455] ; [ 4.54545455 70.45454545],0
n6,1,0.655252,0.199342,[14 11] ; [47 30],[14.95098039 10.04901961] ; [46.04901961 30.95098039],0
b4,1,0.65566,0.198839,[15 10] ; [50 27],[15.93137255  9.06862745] ; [49.06862745 27.93137255],0
p10,1,0.710627,0.137651,[ 3 21] ; [12 65],[ 3.56435644 20.43564356] ; [11.43564356 65.56435644],0
s5,1,0.763753,0.090334,[ 5 20] ; [13 62],[ 4.5 20.5] ; [13.5 61.5],0
s6,1,0.846803,0.037326,[ 9 16] ; [29 47],[ 9.40594059 15.59405941] ; [28.59405941 47.40594059],0
s4,1,0.877846,0.023624,[ 4 21] ; [13 62],[ 4.25 20.75] ; [12.75 62.25],0
p3,1,0.887279,0.020092,[ 5 20] ; [16 59],[ 5.25 19.75] ; [15.75 59.25],0
s7,1,0.916517,0.010988,[ 6 18] ; [18 51],[ 6.19354839 17.80645161] ; [17.80645161 51.19354839],0
s1,1,0.986512,0.000286,[ 2 23] ; [ 6 70],[ 1.98019802 23.01980198] ; [ 6.01980198 69.98019802],0
