Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.6e-05,17.661993,[10 21] ; [34  8],[18.68493151 12.31506849] ; [25.31506849 16.68493151],1
p4,1,0.000212,13.717532,[12 21] ; [33  9],[19.8 13.2] ; [25.2 16.8],1
p6,1,0.003693,8.428793,[ 9 23] ; [25 15],[15.11111111 16.88888889] ; [18.88888889 21.11111111],0
r3,1,0.003828,8.363669,[25  8] ; [41  1],[29.04  3.96] ; [36.96  5.04],0
v1,1,0.01355,6.095857,[ 9 20] ; [25 16],[14.08571429 14.91428571] ; [19.91428571 21.08571429],0
p9,1,0.027575,4.85445,[23  8] ; [39  3],[26.32876712  4.67123288] ; [35.67123288  6.32876712],0
s6,1,0.029489,4.738846,[19 13] ; [33  7],[23.11111111  8.88888889] ; [28.88888889 11.11111111],0
p5,1,0.031066,4.649302,[ 1 32] ; [ 8 33],[ 4.01351351 28.98648649] ; [ 4.98648649 36.01351351],0
p8,1,0.035132,4.438726,[10 21] ; [24 18],[14.43835616 16.56164384] ; [19.56164384 22.43835616],0
r4,1,0.042832,4.102007,[16 17] ; [30 12],[20.24 12.76] ; [25.76 16.24],0
p2,1,0.04801,3.909632,[23 10] ; [37  5],[26.4  6.6] ; [33.6  8.4],0
d4,1,0.050494,3.824978,[22 11] ; [36  6],[25.52  7.48] ; [32.48  9.52],0
n6,1,0.050494,3.824978,[22 11] ; [36  6],[25.52  7.48] ; [32.48  9.52],0
v2,1,0.067106,3.35242,[11 20] ; [24 18],[14.8630137 16.1369863] ; [20.1369863 21.8630137],0
s8,1,0.076756,3.132278,[17 16] ; [30 12],[20.68 12.32] ; [26.32 15.68],0
s4,1,0.086263,2.942768,[14 19] ; [10 32],[10.56 22.44] ; [13.44 28.56],0
a5,1,0.130524,2.286255,[18 15] ; [30 12],[21.12 11.88] ; [26.88 15.12],0
d5,1,0.157942,1.993824,[22 11] ; [34  8],[24.64  8.36] ; [31.36 10.64],0
p1,1,0.160602,1.968549,[ 2 31] ; [ 7 35],[ 3.96 29.04] ; [ 5.04 36.96],0
p11,1,0.162797,1.948052,[24  9] ; [36  6],[26.4  6.6] ; [33.6  8.4],0
p10,1,0.178689,1.80849,[23 10] ; [34  7],[25.41891892  7.58108108] ; [31.58108108  9.41891892],0
u3,1,0.224839,1.473214,[9 3] ; [5 5],[7.63636364 4.36363636] ; [6.36363636 3.63636364],0
