Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,40.603458,[ 34 204] ; [25 19],[ 49.79432624 188.20567376] ; [ 9.20567376 34.79432624],1
v3,1,4e-06,21.241429,[ 63 184] ; [27 18],[ 76.13013699 170.86986301] ; [13.86986301 31.13013699],1
s2,1,0.000214,13.7083,[ 34 222] ; [16 29],[ 42.52491694 213.47508306] ; [ 7.47508306 37.52491694],1
v2,1,0.002094,9.46558,[102 142] ; [30 15],[111.44636678 132.55363322] ; [20.55363322 24.44636678],0
p3,1,0.00279,8.939811,[ 80 174] ; [25 21],[ 88.9 165.1] ; [16.1 29.9],0
p4,1,0.00311,8.741677,[ 95 158] ; [28 18],[104.07692308 148.92307692] ; [18.92307692 27.07692308],0
p9,1,0.00394,8.311423,[163  88] ; [39  6],[171.29054054  79.70945946] ; [30.70945946 14.29054054],0
a3,1,0.006841,7.314277,[158  97] ; [38  8],[166.04651163  88.95348837] ; [29.95348837 16.04651163],0
n6,1,0.008358,6.955107,[172  82] ; [40  6],[179.49333333  74.50666667] ; [32.50666667 13.49333333],0
p7,1,0.010593,6.532323,[122 131] ; [31 14],[129.89597315 123.10402685] ; [23.10402685 21.89597315],0
p11,1,0.011861,6.331499,[170  87] ; [39  7],[177.27062706  79.72937294] ; [31.72937294 14.27062706],0
p8,1,0.012302,6.266796,[ 98 154] ; [27 19],[105.70469799 146.29530201] ; [19.29530201 26.70469799],0
p10,1,0.016541,5.744457,[156  98] ; [36  9],[163.10367893  90.89632107] ; [28.89632107 16.10367893],0
d1,1,0.019388,5.46622,[114 143] ; [29 17],[121.29042904 135.70957096] ; [21.70957096 24.29042904],0
p2,1,0.020491,5.369556,[173  82] ; [39  7],[179.6013289  75.3986711] ; [32.3986711 13.6013289],0
p6,1,0.021163,5.313322,[ 50 200] ; [16 29],[ 55.93220339 194.06779661] ; [10.06779661 34.93220339],0
v1,1,0.021506,5.285354,[ 92 161] ; [25 21],[ 99. 154.] ; [18. 28.],0
s3,1,0.023571,5.125934,[ 56 198] ; [17 28],[ 62.01337793 191.98662207] ; [10.98662207 34.01337793],0
p5,1,0.023862,5.104624,[  6 250] ; [ 4 41],[  8.50498339 247.49501661] ; [ 1.49501661 43.50498339],0
d2,1,0.027037,4.888461,[100 156] ; [26 20],[106.80794702 149.19205298] ; [19.19205298 26.80794702],0
a8,1,0.040464,4.198316,[ 21 215] ; [ 8 33],[ 24.70758123 211.29241877] ; [ 4.29241877 36.70758123],0
p12,1,0.040847,4.182344,[  4 250] ; [ 3 43],[  5.92666667 248.07333333] ; [ 1.07333333 44.92666667],0
a6,1,0.06895,3.307833,[170  87] ; [24 22],[164.54785479  92.45214521] ; [29.45214521 16.54785479],0
d4,1,0.070379,3.274149,[178  78] ; [38  8],[183.09933775  72.90066225] ; [32.90066225 13.09933775],0
n5,1,0.088266,2.905713,[159  96] ; [34 11],[164.05  90.95] ; [28.95 16.05],0
a5,1,0.097037,2.753586,[157 100] ; [34 12],[162.00330033  94.99669967] ; [28.99669967 17.00330033],0
r4,1,0.098629,2.727573,[182  75] ; [38  8],[186.60066007  70.39933993] ; [33.39933993 12.60066007],0
v4,1,0.100348,2.700012,[214  40] ; [43  3],[217.59333333  36.40666667] ; [39.40666667  6.59333333],0
r1,1,0.13241,2.264017,[165  90] ; [35 11],[169.43521595  85.56478405] ; [30.56478405 15.43521595],0
n4,1,0.14987,2.073574,[167  89] ; [35 11],[171.23178808  84.76821192] ; [30.76821192 15.23178808],0
n1,1,0.168151,1.899355,[24 56] ; [6 6],[26.08695652 53.91304348] ; [3.91304348 8.08695652],0
u4,1,0.168585,1.895484,[  1 256] ; [ 1 45],[  1.69636964 255.30363036] ; [ 0.30363036 45.69636964],0
b3,1,0.18399,1.765095,[50 92] ; [17 19],[53.4494382 88.5505618] ; [13.5505618 22.4494382],0
b2,1,0.18399,1.765095,[50 92] ; [17 19],[53.4494382 88.5505618] ; [13.5505618 22.4494382],0
b5,1,0.190764,1.711706,[155 102] ; [23 23],[150.97689769 106.02310231] ; [27.02310231 18.97689769],0
b1,1,0.231105,1.43405,[108 149] ; [15 31],[104.32673267 152.67326733] ; [18.67326733 27.32673267],0
n2,1,0.242756,1.364517,[48 32] ; [10  3],[49.89247312 30.10752688] ; [8.10752688 4.89247312],0
r3,1,0.306828,1.044281,[212  43] ; [41  5],[214.33554817  40.66445183] ; [38.66445183  7.33554817],0
d3,1,0.319608,0.990551,[152 103] ; [31 15],[155.03322259  99.96677741] ; [27.96677741 18.03322259],0
n3,1,0.383719,0.758755,[49 30] ; [9 3],[50.35164835 28.64835165] ; [7.64835165 4.35164835],0
s4,1,0.408419,0.6834,[ 20 237] ; [ 2 44],[ 18.66006601 238.33993399] ; [ 3.33993399 42.66006601],0
a4,1,0.44277,0.589093,[ 96 160] ; [20 26],[ 98.33112583 157.66887417] ; [17.66887417 28.33112583],0
s1,1,0.494758,0.466162,[ 11 244] ; [ 1 45],[ 10.16611296 244.83388704] ; [ 1.83388704 44.16611296],0
b4,1,0.499397,0.456217,[137 120] ; [27 19],[139.10231023 117.89768977] ; [24.89768977 21.10231023],0
r2,1,0.53016,0.394085,[215  36] ; [41  5],[216.35016835  34.64983165] ; [39.64983165  6.35016835],0
u3,1,0.677169,0.17333,[42 57] ; [4 4],[42.56074766 56.43925234] ; [3.43925234 4.56074766],0
a2,1,0.750682,0.100959,[ 44 213] ; [ 7 39],[ 43.25742574 213.74257426] ; [ 7.74257426 38.25742574],0
u2,1,0.761202,0.092357,[44 55] ; [4 4],[44.41121495 54.58878505] ; [3.58878505 4.41121495],0
u1,1,0.811246,0.057034,[ 25 232] ; [ 5 41],[ 25.44554455 231.55445545] ; [ 4.55445545 41.44554455],0
p1,1,0.900459,0.015645,[ 18 238] ; [ 3 43],[ 17.8013245 238.1986755] ; [ 3.1986755 42.8013245],0
a7,1,0.923488,0.009224,[170  85] ; [31 15],[170.28239203  84.71760797] ; [30.71760797 15.28239203],0
a1,1,0.923805,0.009147,[ 12 245] ; [ 2 44],[ 11.87458746 245.12541254] ; [ 2.12541254 43.87458746],0
d5,1,0.996323,2.1e-05,[178  78] ; [32 14],[178.01324503  77.98675497] ; [31.98675497 14.01324503],0
