Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,46.786667,[86 14] ; [ 1 15],[75. 25.] ; [12.  4.],1
r2,1,0.0,46.274725,[99  1] ; [8 8],[92.24137931  7.75862069] ; [14.75862069  1.24137931],1
r3,1,0.0,25.732667,[99  1] ; [11  5],[94.82758621  5.17241379] ; [15.17241379  0.82758621],1
v4,1,1.3e-05,19.061065,[98  1] ; [12  4],[94.69565217  4.30434783] ; [15.30434783  0.69565217],1
p9,1,3.8e-05,16.97316,[95  5] ; [10  6],[90.51724138  9.48275862] ; [14.48275862  1.51724138],1
n6,1,8.5e-05,15.450705,[91  8] ; [9 7],[86.08695652 12.91304348] ; [13.91304348  2.08695652],1
a5,1,0.000658,11.604365,[74 26] ; [ 5 11],[68.10344828 31.89655172] ; [10.89655172  5.10344828],1
d1,1,0.001604,9.955156,[61 39] ; [ 3 13],[55.17241379 44.82758621] ; [8.82758621 7.17241379],0
a3,1,0.001897,9.646697,[71 29] ; [ 5 11],[65.51724138 34.48275862] ; [10.48275862  5.51724138],0
p10,1,0.006195,7.492786,[92  8] ; [11  5],[88.79310345 11.20689655] ; [14.20689655  1.79310345],0
d5,1,0.017556,5.639938,[78 22] ; [8 8],[74.13793103 25.86206897] ; [11.86206897  4.13793103],0
v1,1,0.034162,4.486593,[53 46] ; [ 4 12],[49.06956522 49.93043478] ; [7.93043478 8.06956522],0
s6,1,0.034307,4.479319,[86 11] ; [11  5],[83.26548673 13.73451327] ; [13.73451327  2.26548673],0
n4,1,0.050208,3.834491,[74 26] ; [8 8],[70.68965517 29.31034483] ; [11.31034483  4.68965517],0
a6,1,0.072386,3.228069,[67 33] ; [7 9],[63.79310345 36.20689655] ; [10.20689655  5.79310345],0
s3,1,0.087623,2.917511,[75 23] ; [9 7],[72.21052632 25.78947368] ; [11.78947368  4.21052632],0
s8,1,0.091013,2.856366,[54 46] ; [ 5 11],[50.86206897 49.13793103] ; [8.13793103 7.86206897],0
d4,1,0.094727,2.792158,[81 19] ; [10  6],[78.44827586 21.55172414] ; [12.55172414  3.44827586],0
d2,1,0.151932,2.052745,[44 56] ; [ 4 12],[41.37931034 58.62068966] ; [6.62068966 9.37931034],0
a7,1,0.15959,1.978105,[68 32] ; [8 8],[65.51724138 34.48275862] ; [10.48275862  5.51724138],0
s5,1,0.16416,1.935484,[49 44] ; [ 5 10],[46.5 46.5] ; [7.5 7.5],0
b3,1,0.164814,1.929493,[14 41] ; [ 1 12],[12.13235294 42.86764706] ; [ 2.86764706 10.13235294],0
b2,1,0.164814,1.929493,[14 41] ; [ 1 12],[12.13235294 42.86764706] ; [ 2.86764706 10.13235294],0
s2,1,0.167227,1.907631,[71 26] ; [9 7],[68.67256637 28.32743363] ; [11.32743363  4.67256637],0
d3,1,0.171735,1.867733,[73 27] ; [9 7],[70.68965517 29.31034483] ; [11.31034483  4.68965517],0
a4,1,0.196824,1.665789,[42 58] ; [ 4 12],[39.65517241 60.34482759] ; [6.34482759 9.65517241],0
v2,1,0.215206,1.536055,[46 50] ; [ 5 11],[43.71428571 52.28571429] ; [7.28571429 8.71428571],0
p6,1,0.255699,1.291893,[46 53] ; [ 5 11],[43.90434783 55.09565217] ; [7.09565217 8.90434783],0
u2,1,0.28809,1.128527,[13 16] ; [7 4],[14.5 14.5] ; [5.5 5.5],0
b4,1,0.405317,0.692495,[61 39] ; [8 8],[59.48275862 40.51724138] ; [9.51724138 6.48275862],0
u3,1,0.522166,0.409613,[19 10] ; [6 5],[18.125 10.875] ; [6.875 4.125],0
p8,1,0.532449,0.389716,[57 41] ; [10  5],[58.10619469 39.89380531] ; [8.89380531 6.10619469],0
p4,1,0.551222,0.355132,[64 36] ; [9 7],[62.93103448 37.06896552] ; [10.06896552  5.93103448],0
p2,1,0.588676,0.292417,[82 18] ; [14  2],[82.75862069 17.24137931] ; [13.24137931  2.75862069],0
b1,1,0.604493,0.268272,[31 69] ; [ 6 10],[31.89655172 68.10344828] ; [ 5.10344828 10.89655172],0
n3,1,0.686494,0.162907,[15  5] ; [4 2],[14.61538462  5.38461538] ; [4.38461538 1.61538462],0
n5,1,0.717881,0.130532,[79 21] ; [12  4],[78.44827586 21.55172414] ; [12.55172414  3.44827586],0
b5,1,0.718381,0.13005,[61 39] ; [9 7],[60.34482759 39.65517241] ; [9.65517241 6.34482759],0
p7,1,0.738359,0.111574,[67 30] ; [11  4],[67.55357143 29.44642857] ; [10.44642857  4.55357143],0
p3,1,0.765839,0.088698,[54 46] ; [8 8],[53.44827586 46.55172414] ; [8.55172414 7.44827586],0
n1,1,0.768458,0.086667,[ 8 12] ; [2 4],[ 7.69230769 12.30769231] ; [2.30769231 3.69230769],0
s1,1,0.841334,0.040075,[ 5 94] ; [ 1 15],[ 5.16521739 93.83478261] ; [ 0.83478261 15.16521739],0
n2,1,0.920948,0.009848,[17  3] ; [5 1],[16.92307692  3.07692308] ; [5.07692308 0.92307692],0
s7,1,0.969472,0.001465,[62 38] ; [10  6],[62.06896552 37.93103448] ; [9.93103448 6.06896552],0
