Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.000265,13.301843,[88 15] ; [15 13],[80.98473282 22.01526718] ; [22.01526718  5.98473282],1
p3,1,0.000854,11.11975,[72 33] ; [10 19],[64.25373134 40.74626866] ; [17.74626866 11.25373134],1
p9,1,0.004373,8.12222,[94 11] ; [19  9],[89.21052632 15.78947368] ; [23.78947368  4.21052632],0
p11,1,0.008556,6.913299,[91 14] ; [19 10],[86.19402985 18.80597015] ; [23.80597015  5.19402985],0
b5,1,0.009248,6.774271,[55 50] ; [23  6],[61.11940299 43.88059701] ; [16.88059701 12.11940299],0
p8,1,0.010617,6.528261,[78 26] ; [14 14],[72.48484848 31.51515152] ; [19.51515152  8.48484848],0
d2,1,0.028443,4.800985,[53 52] ; [ 8 21],[47.79850746 57.20149254] ; [13.20149254 15.79850746],0
a5,1,0.034912,4.449477,[76 29] ; [15 14],[71.30597015 33.69402985] ; [19.69402985  9.30597015],0
p5,1,0.050064,3.839303,[19 86] ; [ 1 28],[15.67164179 89.32835821] ; [ 4.32835821 24.67164179],0
s8,1,0.083106,3.003084,[41 64] ; [ 6 22],[37.10526316 67.89473684] ; [ 9.89473684 18.10526316],0
s4,1,0.088682,2.898134,[16 88] ; [ 1 28],[13.29323308 90.70676692] ; [ 3.70676692 25.29323308],0
s5,1,0.092983,2.821955,[27 75] ; [ 3 24],[23.72093023 78.27906977] ; [ 6.27906977 20.72093023],0
v1,1,0.098837,2.724216,[65 40] ; [13 16],[61.11940299 43.88059701] ; [16.88059701 12.11940299],0
s3,1,0.107494,2.590675,[21 83] ; [10 19],[24.2406015 79.7593985] ; [ 6.7593985 22.2406015],0
d3,1,0.112926,2.512782,[73 32] ; [15 13],[69.47368421 35.52631579] ; [18.52631579  9.47368421],0
r1,1,0.130331,2.288557,[83 22] ; [19 10],[79.92537313 25.07462687] ; [22.07462687  6.92537313],0
s6,1,0.13429,2.242197,[56 46] ; [10 16],[52.59375 49.40625] ; [13.40625 12.59375],0
b4,1,0.139145,2.187385,[70 35] ; [15 14],[66.60447761 38.39552239] ; [18.39552239 10.60447761],0
u1,1,0.141977,2.156396,[19 86] ; [ 2 27],[16.45522388 88.54477612] ; [ 4.54477612 24.45522388],0
a4,1,0.145699,2.116711,[48 56] ; [ 9 20],[44.57142857 59.42857143] ; [12.42857143 16.57142857],0
u3,1,0.15025,2.069709,[19 14] ; [4 8],[16.86666667 16.13333333] ; [6.13333333 5.86666667],0
n5,1,0.172718,1.859191,[81 23] ; [19 10],[78.19548872 25.80451128] ; [21.80451128  7.19548872],0
p2,1,0.176643,1.825644,[96  9] ; [24  5],[94.02985075 10.97014925] ; [25.97014925  3.02985075],0
s7,1,0.185761,1.750924,[39 59] ; [ 7 20],[36.064 61.936] ; [ 9.936 17.064],0
a7,1,0.237161,1.39739,[77 28] ; [18 11],[74.44029851 30.55970149] ; [20.55970149  8.44029851],0
d5,1,0.259349,1.27223,[86 19] ; [21  8],[83.84328358 21.15671642] ; [23.15671642  5.84328358],0
n4,1,0.260534,1.265917,[89 16] ; [22  7],[86.97761194 18.02238806] ; [24.02238806  4.97761194],0
r4,1,0.302666,1.06241,[97  8] ; [25  4],[95.59701493  9.40298507] ; [26.40298507  2.59701493],0
a3,1,0.331508,0.942999,[71 33] ; [17 12],[68.81203008 35.18796992] ; [19.18796992  9.81203008],0
n1,1,0.353588,0.860537,[ 9 13] ; [3 9],[ 7.76470588 14.23529412] ; [4.23529412 7.76470588],0
v2,1,0.366748,0.814654,[60 44] ; [14 15],[57.86466165 46.13533835] ; [16.13533835 12.86466165],0
u2,1,0.396695,0.718323,[19 15] ; [5 7],[17.73913043 16.26086957] ; [6.26086957 5.73913043],0
p7,1,0.425567,0.63489,[88 15] ; [23  6],[86.61363636 16.38636364] ; [24.38636364  4.61363636],0
a8,1,0.443629,0.586878,[11 78] ; [ 2 26],[ 9.88888889 79.11111111] ; [ 3.11111111 24.88888889],0
p12,1,0.471599,0.518226,[ 8 97] ; [ 1 26],[ 7.15909091 97.84090909] ; [ 1.84090909 25.15909091],0
d4,1,0.52071,0.412487,[82 23] ; [21  8],[80.70895522 24.29104478] ; [22.29104478  6.70895522],0
n2,1,0.548585,0.359859,[13  9] ; [9 4],[13.82857143  8.17142857] ; [8.17142857 4.82857143],0
n3,1,0.554915,0.348586,[16  5] ; [11  2],[16.67647059  4.32352941] ; [10.32352941  2.67647059],0
p1,1,0.581701,0.303494,[15 90] ; [ 3 26],[14.10447761 90.89552239] ; [ 3.89552239 25.10447761],0
n6,1,0.593309,0.285207,[91 14] ; [24  5],[90.1119403 14.8880597] ; [24.8880597  4.1119403],0
a6,1,0.606518,0.265277,[67 38] ; [20  9],[68.17164179 36.82835821] ; [18.82835821 10.17164179],0
v3,1,0.606645,0.26509,[45 59] ; [11 18],[43.78947368 60.21052632] ; [12.21052632 16.78947368],0
v4,1,0.64744,0.209143,[100   5] ; [27  2],[99.51492537  5.48507463] ; [27.48507463  1.51492537],0
a2,1,0.659195,0.194503,[22 83] ; [ 5 24],[21.15671642 83.84328358] ; [ 5.84328358 23.15671642],0
d1,1,0.668535,0.183321,[59 46] ; [15 14],[57.98507463 47.01492537] ; [16.01492537 12.98507463],0
b1,1,0.700179,0.148285,[44 61] ; [11 18],[43.09701493 61.90298507] ; [11.90298507 17.09701493],0
a1,1,0.762052,0.09168,[  5 100] ; [ 1 28],[  4.70149254 100.29850746] ; [ 1.29850746 27.70149254],0
r2,1,0.830873,0.045617,[97  6] ; [27  2],[96.75757576  6.24242424] ; [27.24242424  1.75757576],0
r3,1,0.927604,0.008255,[101   4] ; [28  1],[101.08208955   3.91791045] ; [27.91791045  1.08208955],0
b2,1,0.978353,0.000736,[31 42] ; [6 8],[31.04597701 41.95402299] ; [5.95402299 8.04597701],0
b3,1,0.978353,0.000736,[31 42] ; [6 8],[31.04597701 41.95402299] ; [5.95402299 8.04597701],0
