Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,5.6e-05,16.226054,[4 2] ; [ 1 28],[0.85714286 5.14285714] ; [ 4.14285714 24.85714286],1
p7,1,0.000137,14.539144,[6 1] ; [ 4 25],[1.94444444 5.05555556] ; [ 8.05555556 20.94444444],1
p3,1,0.001367,10.250246,[4 3] ; [ 2 27],[1.16666667 5.83333333] ; [ 4.83333333 24.16666667],0
d3,1,0.008445,6.936524,[6 1] ; [ 9 20],[2.91666667 4.08333333] ; [12.08333333 16.91666667],0
n6,1,0.027737,4.844349,[5 1] ; [10 19],[2.57142857 3.42857143] ; [12.42857143 16.57142857],0
p6,1,0.034573,4.466146,[2 5] ; [ 1 27],[0.6 6.4] ; [ 2.4 25.6],0
a5,1,0.03524,4.433498,[6 1] ; [12 17],[3.5 3.5] ; [14.5 14.5],0
s2,1,0.038301,4.291626,[3 4] ; [ 3 26],[1.16666667 5.83333333] ; [ 4.83333333 24.16666667],0
a7,1,0.049112,3.871537,[5 2] ; [ 9 20],[2.72222222 4.27777778] ; [11.27777778 17.72222222],0
a3,1,0.087669,2.916667,[6 1] ; [14 14],[4. 3.] ; [16. 12.],0
b5,1,0.109421,2.562562,[5 2] ; [11 18],[3.11111111 3.88888889] ; [12.88888889 16.11111111],0
a6,1,0.15291,2.042978,[5 2] ; [12 17],[3.30555556 3.69444444] ; [13.69444444 15.30555556],0
n1,1,0.161749,1.957794,[3 1] ; [ 7 12],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
n3,1,0.189526,1.721296,[3 1] ; [ 7 11],[1.81818182 2.18181818] ; [8.18181818 9.81818182],0
d5,1,0.206463,1.596059,[2 5] ; [16 13],[3.5 3.5] ; [14.5 14.5],0
s1,1,0.210743,1.566312,[2 5] ; [ 3 26],[0.97222222 6.02777778] ; [ 4.02777778 24.97222222],0
p2,1,0.224114,1.477833,[3 4] ; [ 6 23],[1.75 5.25] ; [ 7.25 21.75],0
s3,1,0.245952,1.346154,[3 4] ; [ 6 22],[1.8 5.2] ; [ 7.2 20.8],0
s8,1,0.261227,1.262243,[1 6] ; [ 1 28],[0.38888889 6.61111111] ; [ 1.61111111 27.38888889],0
d2,1,0.308711,1.036184,[2 5] ; [14 14],[3.2 3.8] ; [12.8 15.2],0
v2,1,0.346373,0.8867,[2 5] ; [ 4 25],[1.16666667 5.83333333] ; [ 4.83333333 24.16666667],0
v1,1,0.346373,0.8867,[2 5] ; [ 4 25],[1.16666667 5.83333333] ; [ 4.83333333 24.16666667],0
s7,1,0.394881,0.72386,[2 5] ; [ 4 23],[1.23529412 5.76470588] ; [ 4.76470588 22.23529412],0
b4,1,0.451259,0.567488,[3 4] ; [17 12],[3.88888889 3.11111111] ; [16.11111111 12.88888889],0
s4,1,0.465759,0.53202,[1 6] ; [ 8 21],[1.75 5.25] ; [ 7.25 21.75],0
a4,1,0.490153,0.47619,[2 5] ; [12 16],[2.8 4.2] ; [11.2 16.8],0
p11,1,0.496629,0.462132,[2 5] ; [ 5 24],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
v3,1,0.496629,0.462132,[2 5] ; [ 5 24],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
r4,1,0.525521,0.403045,[1 6] ; [ 2 27],[0.58333333 6.41666667] ; [ 2.41666667 26.58333333],0
b2,1,0.61193,0.257374,[2 4] ; [ 9 11],[2.53846154 3.46153846] ; [ 8.46153846 11.53846154],0
b3,1,0.61193,0.257374,[2 4] ; [ 9 11],[2.53846154 3.46153846] ; [ 8.46153846 11.53846154],0
r1,1,0.643563,0.214113,[2 5] ; [11 18],[2.52777778 4.47222222] ; [10.47222222 18.52777778],0
d4,1,0.673669,0.17734,[3 4] ; [15 14],[3.5 3.5] ; [14.5 14.5],0
n4,1,0.678863,0.171409,[4 3] ; [19 10],[4.47222222 2.52777778] ; [18.52777778 10.47222222],0
s6,1,0.700803,0.147638,[1 6] ; [ 6 23],[1.36111111 5.63888889] ; [ 5.63888889 23.36111111],0
a2,1,0.765875,0.08867,[1 6] ; [ 3 26],[0.77777778 6.22222222] ; [ 3.22222222 25.77777778],0
n2,1,0.772205,0.083806,[2 2] ; [ 8 11],[1.73913043 2.26086957] ; [ 8.26086957 10.73913043],0
n5,1,0.898963,0.016122,[5 2] ; [20  9],[4.86111111 2.13888889] ; [20.13888889  8.86111111],0
d1,1,0.898963,0.016122,[2 5] ; [ 9 20],[2.13888889 4.86111111] ; [ 8.86111111 20.13888889],0
b1,1,0.943253,0.005067,[4 3] ; [17 12],[4.08333333 2.91666667] ; [16.91666667 12.08333333],0
v4,1,0.943253,0.005067,[3 4] ; [12 17],[2.91666667 4.08333333] ; [12.08333333 16.91666667],0
p10,1,0.973017,0.001144,[1 6] ; [ 4 25],[0.97222222 6.02777778] ; [ 4.02777778 24.97222222],0
r2,1,1.0,0.0,[4 3] ; [16 12],[4. 3.] ; [16. 12.],0
