Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5.4e-05,16.296196,[114  11] ; [34 17],[105.11363636  19.88636364] ; [42.88636364  8.11363636],1
p9,1,6.3e-05,16.019047,[107  17] ; [28 20],[97.3255814 26.6744186] ; [37.6744186 10.3255814],1
p10,1,0.000101,15.123428,[99 24] ; [25 24],[88.6744186 34.3255814] ; [35.3255814 13.6744186],1
n6,1,0.000135,14.577373,[103  22] ; [26 22],[93.20809249 31.79190751] ; [35.79190751 12.20809249],1
r3,1,0.000563,11.893951,[119   5] ; [39 10],[113.24855491  10.75144509] ; [44.75144509  4.24855491],1
v4,1,0.01973,5.435585,[118   5] ; [43  7],[114.46820809   8.53179191] ; [46.53179191  3.46820809],0
s1,1,0.021125,5.316415,[  4 121] ; [ 6 43],[  7.18390805 117.81609195] ; [ 2.81609195 46.18390805],0
b1,1,0.033804,4.504594,[40 85] ; [25 26],[46.16477273 78.83522727] ; [18.83522727 32.16477273],0
p2,1,0.035427,4.424451,[97 28] ; [31 19],[91.42857143 33.57142857] ; [36.57142857 13.42857143],0
a1,1,0.071178,3.25565,[  4 121] ; [ 5 46],[  6.39204545 118.60795455] ; [ 2.60795455 48.39204545],0
p8,1,0.103064,2.657486,[45 77] ; [12 38],[40.43023256 81.56976744] ; [16.56976744 33.43023256],0
p7,1,0.132771,2.2598,[63 55] ; [19 28],[58.64242424 59.35757576] ; [23.35757576 23.64242424],0
v3,1,0.149963,2.072626,[55 66] ; [16 32],[50.83431953 70.16568047] ; [20.16568047 27.83431953],0
s3,1,0.160534,1.969185,[71 52] ; [23 27],[66.83236994 56.16763006] ; [27.16763006 22.83236994],0
s8,1,0.203448,1.617446,[53 72] ; [16 34],[49.28571429 75.71428571] ; [19.71428571 30.28571429],0
v2,1,0.232626,1.424735,[78 40] ; [27 21],[74.63855422 43.36144578] ; [30.36144578 17.63855422],0
n5,1,0.243914,1.357831,[88 37] ; [30 19],[84.77011494 40.22988506] ; [33.22988506 15.77011494],0
a4,1,0.26733,1.230396,[51 74] ; [25 25],[54.28571429 70.71428571] ; [21.71428571 28.28571429],0
p5,1,0.298835,1.079385,[  7 117] ; [ 1 49],[  5.70114943 118.29885057] ; [ 2.29885057 47.70114943],0
n4,1,0.308876,1.035478,[89 36] ; [31 18],[86.20689655 38.79310345] ; [33.79310345 15.20689655],0
b4,1,0.337052,0.921611,[76 49] ; [27 24],[73.15340909 51.84659091] ; [29.84659091 21.15340909],0
u3,1,0.351371,0.868501,[18 13] ; [7 9],[16.4893617 14.5106383] ; [8.5106383 7.4893617],0
u2,1,0.357467,0.846774,[20 11] ; [7 7],[18.6 12.4] ; [8.4 5.6],0
r1,1,0.367407,0.812415,[102  23] ; [37 12],[99.85632184 25.14367816] ; [39.14367816  9.85632184],0
a6,1,0.397127,0.717007,[79 45] ; [29 22],[76.52571429 47.47428571] ; [31.47428571 19.52571429],0
s6,1,0.410888,0.676231,[81 42] ; [29 20],[78.6627907 44.3372093] ; [31.3372093 17.6627907],0
