Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,9e-05,15.344542,[4 5] ; [ 10 142],[0.7826087 8.2173913] ; [ 13.2173913 138.7826087],1
p4,1,0.001644,9.909316,[8 1] ; [55 97],[3.52173913 5.47826087] ; [59.47826087 92.52173913],0
s8,1,0.008116,7.00771,[6 3] ; [ 39 112],[2.53125 6.46875] ; [ 42.46875 108.53125],0
s7,1,0.013659,6.081655,[7 2] ; [51 89],[3.5033557 5.4966443] ; [54.4966443 85.5033557],0
a6,1,0.026305,4.935855,[2 7] ; [91 61],[5.19875776 3.80124224] ; [87.80124224 64.19875776],0
p3,1,0.031579,4.62123,[6 3] ; [ 48 103],[3.0375 5.9625] ; [ 50.9625 100.0375],0
p12,1,0.035486,4.421635,[1 8] ; [  2 149],[0.16875 8.83125] ; [  2.83125 148.16875],0
p8,1,0.039703,4.230524,[5 4] ; [ 37 114],[2.3625 6.6375] ; [ 39.6375 111.3625],0
s6,1,0.042075,4.132197,[7 1] ; [76 74],[4.20253165 3.79746835] ; [78.79746835 71.20253165],0
s1,1,0.042653,4.109101,[2 7] ; [  8 142],[0.56603774 8.43396226] ; [  9.43396226 140.56603774],0
p9,1,0.05612,3.648486,[8 1] ; [82 63],[5.25974026 3.74025974] ; [84.74025974 60.25974026],0
d3,1,0.061437,3.498173,[8 1] ; [86 64],[5.32075472 3.67924528] ; [88.67924528 61.32075472],0
p2,1,0.088332,2.904513,[8 1] ; [92 60],[5.59006211 3.40993789] ; [94.40993789 57.59006211],0
a5,1,0.107031,2.597515,[3 6] ; [92 60],[5.31055901 3.68944099] ; [89.68944099 62.31055901],0
s2,1,0.116604,2.462353,[6 3] ; [61 91],[3.74534161 5.25465839] ; [63.25465839 88.74534161],0
n6,1,0.119003,2.430392,[8 1] ; [95 55],[5.83018868 3.16981132] ; [97.16981132 52.83018868],0
v2,1,0.145154,2.122449,[1 8] ; [51 96],[3. 6.] ; [49. 98.],0
r4,1,0.151895,2.05312,[8 1] ; [100  52],[6.03726708 2.96273292] ; [101.96273292  50.03726708],0
b1,1,0.185971,1.749247,[3 6] ; [85 67],[4.91925466 4.08074534] ; [83.08074534 68.91925466],0
p6,1,0.211632,1.560229,[4 5] ; [ 38 111],[2.39240506 6.60759494] ; [ 39.60759494 109.39240506],0
a4,1,0.212841,1.551995,[2 7] ; [65 85],[3.79245283 5.20754717] ; [63.20754717 86.79245283],0
v1,1,0.214913,1.53802,[5 4] ; [53 98],[3.2625 5.7375] ; [54.7375 96.2625],0
b3,1,0.226668,1.461647,[1 6] ; [30 51],[2.46590909 4.53409091] ; [28.53409091 52.46590909],0
b2,1,0.226668,1.461647,[1 6] ; [30 51],[2.46590909 4.53409091] ; [28.53409091 52.46590909],0
a3,1,0.227081,1.459049,[4 5] ; [96 53],[5.69620253 3.30379747] ; [94.30379747 54.69620253],0
d2,1,0.251803,1.313271,[6 3] ; [71 80],[4.33125 4.66875] ; [72.66875 78.33125],0
d4,1,0.287995,1.12897,[8 1] ; [110  41],[6.6375 2.3625] ; [111.3625  39.6375],0
n2,1,0.296446,1.090113,[1 2] ; [43 25],[1.85915493 1.14084507] ; [42.14084507 25.85915493],0
d1,1,0.312485,1.020144,[6 3] ; [75 77],[4.52795031 4.47204969] ; [76.47204969 75.52795031],0
u1,1,0.358961,0.841526,[2 7] ; [ 18 134],[1.11801242 7.88198758] ; [ 18.88198758 133.11801242],0
n3,1,0.364375,0.822758,[1 2] ; [40 27],[1.75714286 1.24285714] ; [39.24285714 27.75714286],0
r1,1,0.380126,0.770296,[7 2] ; [95 55],[5.77358491 3.22641509] ; [96.22641509 53.77358491],0
r3,1,0.394789,0.724142,[8 1] ; [115  35],[6.96226415 2.03773585] ; [116.03773585  33.96226415],0
s5,1,0.43869,0.599706,[1 6] ; [ 40 105],[1.88815789 5.11184211] ; [ 39.11184211 105.88815789],0
u3,1,0.481321,0.495868,[3 2] ; [24 31],[2.25 2.75] ; [24.75 30.25],0
a1,1,0.53078,0.392898,[1 8] ; [  9 143],[0.55900621 8.44099379] ; [  9.44099379 142.55900621],0
v4,1,0.573939,0.316136,[8 1] ; [123  28],[7.36875 1.63125] ; [123.63125  27.36875],0
d5,1,0.619085,0.247155,[6 3] ; [112  39],[6.6375 2.3625] ; [111.3625  39.6375],0
b5,1,0.676473,0.174123,[5 4] ; [95 57],[5.59006211 3.40993789] ; [94.40993789 57.59006211],0
b4,1,0.68867,0.160529,[5 4] ; [74 78],[4.41614907 4.58385093] ; [74.58385093 77.41614907],0
p10,1,0.701691,0.146719,[5 4] ; [72 75],[4.44230769 4.55769231] ; [72.55769231 74.44230769],0
a8,1,0.825391,0.048672,[1 7] ; [ 14 125],[0.81632653 7.18367347] ; [ 14.18367347 124.81632653],0
u2,1,0.93619,0.00641,[2 3] ; [21 34],[1.91666667 3.08333333] ; [21.08333333 33.91666667],0
s4,1,0.955571,0.003104,[2 7] ; [ 35 117],[2.06832298 6.93167702] ; [ 34.93167702 117.06832298],0
a7,1,0.956183,0.003019,[6 3] ; [102  49],[6.075 2.925] ; [101.925  49.075],0
p7,1,0.97249,0.001189,[4 5] ; [68 83],[4.05 4.95] ; [67.95 83.05],0
