Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,38.123069,[ 22 117] ; [22 10],[ 35.76608187 103.23391813] ; [ 8.23391813 23.76608187],1
p12,1,0.000283,13.180658,[  1 138] ; [ 4 27],[  4.08823529 134.91176471] ; [ 0.91176471 30.08823529],1
s8,1,0.002352,9.251981,[ 26 114] ; [14 18],[ 32.55813953 107.44186047] ; [ 7.44186047 24.55813953],0
p10,1,0.015995,5.803418,[96 43] ; [28  3],[101.38823529  37.61176471] ; [22.61176471  8.38823529],0
b5,1,0.052948,3.745551,[79 61] ; [12 20],[74.06976744 65.93023256] ; [16.93023256 15.06976744],0
s7,1,0.057066,3.620674,[ 28 104] ; [11 18],[ 31.97515528 100.02484472] ; [ 7.02484472 21.97515528],0
p11,1,0.060127,3.533888,[100  40] ; [28  4],[104.18604651  35.81395349] ; [23.81395349  8.18604651],0
n5,1,0.07158,3.246406,[90 49] ; [26  6],[94.29239766 44.70760234] ; [21.70760234 10.29239766],0
v3,1,0.083123,3.002755,[49 87] ; [15 13],[53.07317073 82.92682927] ; [10.92682927 17.07317073],0
v1,1,0.114184,2.495335,[59 80] ; [18 13],[62.95882353 76.04117647] ; [14.04117647 16.95882353],0
a6,1,0.174616,1.842857,[108  32] ; [21 11],[105.  35.] ; [24.  8.],0
p9,1,0.206545,1.595479,[100  37] ; [26  5],[102.75  34.25] ; [23.25  7.75],0
a1,1,0.212152,1.556681,[  3 137] ; [ 2 30],[  4.06976744 135.93023256] ; [ 0.93023256 31.06976744],0
s4,1,0.243455,1.360473,[  6 134] ; [ 3 29],[  7.3255814 132.6744186] ; [ 1.6744186 30.3255814],0
u4,1,0.251113,1.317101,[  1 139] ; [ 1 31],[  1.62790698 138.37209302] ; [ 0.37209302 31.62790698],0
p3,1,0.272732,1.202956,[54 84] ; [15 15],[56.67857143 81.32142857] ; [12.32142857 17.67857143],0
