Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.6e-05,17.07276,[18 15] ; [18 83],[ 8.86567164 24.13432836] ; [27.13432836 73.86567164],1
u1,1,0.002225,9.353994,[10 23] ; [ 9 92],[ 4.67910448 28.32089552] ; [14.32089552 86.67910448],0
a8,1,0.006654,7.364089,[ 7 19] ; [ 7 86],[ 3.05882353 22.94117647] ; [10.94117647 82.05882353],0
p6,1,0.015293,5.882374,[16 17] ; [25 72],[10.40769231 22.59230769] ; [30.59230769 66.40769231],0
n3,1,0.02367,5.118616,[2 3] ; [15  2],[3.86363636 1.13636364] ; [13.13636364  3.86363636],0
a6,1,0.030955,4.655445,[27  6] ; [62 39],[21.91791045 11.08208955] ; [67.08208955 33.91791045],0
p3,1,0.034788,4.455568,[22 11] ; [45 54],[16.75 16.25] ; [50.25 48.75],0
s2,1,0.08759,2.918109,[11 22] ; [19 81],[ 7.44360902 25.55639098] ; [22.55639098 77.44360902],0
d3,1,0.090406,2.867131,[25  8] ; [60 41],[20.93283582 12.06716418] ; [64.06716418 36.93283582],0
s4,1,0.09423,2.800583,[ 5 28] ; [ 6 95],[ 2.70895522 30.29104478] ; [ 8.29104478 92.70895522],0
b2,1,0.125982,2.341327,[16 10] ; [28 36],[12.71111111 13.28888889] ; [31.28888889 32.71111111],0
b3,1,0.125982,2.341327,[16 10] ; [28 36],[12.71111111 13.28888889] ; [31.28888889 32.71111111],0
n5,1,0.138404,2.195611,[28  5] ; [72 28],[24.81203008  8.18796992] ; [75.18796992 24.81203008],0
n4,1,0.138404,2.195611,[28  5] ; [72 28],[24.81203008  8.18796992] ; [75.18796992 24.81203008],0
s3,1,0.165719,1.92125,[12 21] ; [24 76],[ 8.93233083 24.06766917] ; [27.06766917 72.93233083],0
d4,1,0.175509,1.835245,[28  5] ; [74 27],[25.11940299  7.88059701] ; [76.88059701 24.11940299],0
b4,1,0.193558,1.690328,[14 19] ; [56 45],[17.23880597 15.76119403] ; [52.76119403 48.23880597],0
d5,1,0.231848,1.429488,[27  6] ; [72 29],[24.38059701  8.61940299] ; [74.61940299 26.38059701],0
v3,1,0.238463,1.389659,[17 14] ; [41 55],[14.15748031 16.84251969] ; [43.84251969 52.15748031],0
a1,1,0.250163,1.322391,[ 3 30] ; [ 4 97],[ 1.7238806 31.2761194] ; [ 5.2761194 95.7238806],0
p12,1,0.256104,1.289697,[ 3 30] ; [ 4 96],[ 1.73684211 31.26315789] ; [ 5.26315789 94.73684211],0
n6,1,0.319284,0.991878,[27  5] ; [76 24],[24.96969697  7.03030303] ; [78.03030303 21.96969697],0
p4,1,0.333071,0.93692,[21 12] ; [54 46],[18.60902256 14.39097744] ; [56.39097744 43.60902256],0
a2,1,0.342751,0.900113,[ 8 25] ; [17 84],[ 6.15671642 26.84328358] ; [18.84328358 82.15671642],0
r3,1,0.363302,0.826446,[29  4] ; [92  7],[30.25  2.75] ; [90.75  8.25],0
n1,1,0.374857,0.7875,[3 2] ; [ 6 10],[2.14285714 2.85714286] ; [6.85714286 9.14285714],0
p1,1,0.415675,0.66251,[ 2 31] ; [11 90],[ 3.20149254 29.79850746] ; [ 9.79850746 91.20149254],0
p7,1,0.462568,0.539675,[23 10] ; [62 37],[21.25 11.75] ; [63.75 35.25],0
p10,1,0.488052,0.480819,[27  6] ; [76 24],[25.55639098  7.44360902] ; [77.44360902 22.55639098],0
p5,1,0.51405,0.425815,[ 4 27] ; [ 9 92],[ 3.0530303 27.9469697] ; [ 9.9469697 91.0530303],0
b1,1,0.528913,0.396479,[12 21] ; [43 58],[13.54477612 19.45522388] ; [41.45522388 59.54477612],0
p11,1,0.568846,0.324617,[26  7] ; [84 17],[27.08955224  5.91044776] ; [82.91044776 18.08955224],0
u2,1,0.573373,0.317071,[5 4] ; [13 16],[4.26315789 4.73684211] ; [13.73684211 15.26315789],0
v2,1,0.61851,0.247967,[23 10] ; [63 34],[21.83076923 11.16923077] ; [64.16923077 32.83076923],0
a4,1,0.621659,0.243542,[16 17] ; [44 57],[14.7761194 18.2238806] ; [45.2238806 55.7761194],0
s1,1,0.629452,0.232804,[ 2 31] ; [ 4 95],[ 1.5 31.5] ; [ 4.5 94.5],0
v4,1,0.658546,0.195295,[29  3] ; [93  7],[29.57575758  2.42424242] ; [92.42424242  7.57575758],0
p2,1,0.663817,0.18892,[27  6] ; [85 15],[27.78947368  5.21052632] ; [84.21052632 15.78947368],0
u3,1,0.666177,0.186107,[6 3] ; [17 12],[5.44736842 3.55263158] ; [17.55263158 11.44736842],0
d1,1,0.680595,0.169456,[19 14] ; [54 47],[17.97761194 15.02238806] ; [55.02238806 45.97761194],0
a3,1,0.682946,0.166828,[24  8] ; [72 29],[23.09774436  8.90225564] ; [72.90225564 28.09774436],0
d2,1,0.76868,0.086496,[16 17] ; [46 55],[15.26865672 17.73134328] ; [46.73134328 54.26865672],0
p9,1,0.781126,0.077202,[26  7] ; [81 19],[26.54887218  6.45112782] ; [80.45112782 19.54887218],0
a7,1,0.802554,0.062521,[22 11] ; [69 31],[22.57894737 10.42105263] ; [68.42105263 31.57894737],0
