Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,2e-06,23.004608,[19 43] ; [33  9],[31. 31.] ; [21. 21.],1
d1,1,0.000168,14.153464,[24 38] ; [32 10],[33.38461538 28.61538462] ; [22.61538462 19.38461538],1
a4,1,0.000293,13.116722,[19 43] ; [28 14],[28.01923077 33.98076923] ; [18.98076923 23.01923077],1
s7,1,0.000531,12.00368,[24 33] ; [29  8],[32.13829787 24.86170213] ; [20.86170213 16.13829787],1
p7,1,0.000978,10.868402,[27 35] ; [32 10],[35.17307692 26.82692308] ; [23.82692308 18.17307692],1
a2,1,0.001243,10.424954,[ 8 54] ; [17 25],[14.90384615 47.09615385] ; [10.09615385 31.90384615],0
u1,1,0.006003,7.54951,[ 7 55] ; [14 28],[12.51923077 49.48076923] ; [ 8.48076923 33.51923077],0
a3,1,0.006778,7.330872,[32 30] ; [32  9],[38.52427184 23.47572816] ; [25.47572816 15.52427184],0
n4,1,0.010958,6.472134,[33 28] ; [33  9],[39.08737864 21.91262136] ; [26.91262136 15.08737864],0
b3,1,0.014006,6.037387,[ 4 29] ; [10 15],[ 7.96551724 25.03448276] ; [ 6.03448276 18.96551724],0
b2,1,0.014006,6.037387,[ 4 29] ; [10 15],[ 7.96551724 25.03448276] ; [ 6.03448276 18.96551724],0
p8,1,0.014064,6.030073,[20 41] ; [24 18],[26.05825243 34.94174757] ; [17.94174757 24.05825243],0
p10,1,0.020089,5.404122,[29 31] ; [30 12],[34.70588235 25.29411765] ; [24.29411765 17.70588235],0
a5,1,0.022179,5.231661,[37 25] ; [34  8],[42.32692308 19.67307692] ; [28.67307692 13.32692308],0
d3,1,0.025397,4.996642,[41 21] ; [36  6],[45.90384615 16.09615385] ; [31.09615385 10.90384615],0
p3,1,0.029453,4.740918,[31 31] ; [30 12],[36.36538462 25.63461538] ; [24.63461538 17.36538462],0
r1,1,0.033662,4.511809,[41 20] ; [36  6],[45.60194175 15.39805825] ; [31.39805825 10.60194175],0
p2,1,0.038704,4.273806,[46 16] ; [38  4],[50.07692308 11.92307692] ; [33.92307692  8.07692308],0
p9,1,0.042493,4.115472,[38 23] ; [34  8],[42.6407767 18.3592233] ; [29.3592233 12.6407767],0
r2,1,0.042723,4.106345,[53  9] ; [40  1],[55.98058252  6.01941748] ; [37.01941748  3.98058252],0
s8,1,0.043853,4.062194,[23 39] ; [24 18],[28.01923077 33.98076923] ; [18.98076923 23.01923077],0
n5,1,0.047284,3.935265,[35 27] ; [31 10],[39.72815534 22.27184466] ; [26.27184466 14.72815534],0
d4,1,0.07516,3.166576,[42 20] ; [35  7],[45.90384615 16.09615385] ; [31.09615385 10.90384615],0
v2,1,0.075812,3.152473,[25 35] ; [25 17],[29.41176471 30.58823529] ; [20.58823529 21.41176471],0
u2,1,0.079402,3.077094,[11 18] ; [7 3],[13.38461538 15.61538462] ; [4.61538462 5.38461538],0
r4,1,0.081976,3.025278,[50 12] ; [39  3],[53.05769231  8.94230769] ; [35.94230769  6.05769231],0
s5,1,0.100513,2.697378,[19 40] ; [19 20],[22.87755102 36.12244898] ; [15.12244898 23.87755102],0
n3,1,0.135392,2.229566,[11  9] ; [9 2],[12.90322581  7.09677419] ; [7.09677419 3.90322581],0
u4,1,0.150181,2.070415,[ 1 61] ; [ 3 39],[ 2.38461538 59.61538462] ; [ 1.61538462 40.38461538],0
d5,1,0.15808,1.9925,[46 16] ; [36  6],[48.88461538 13.11538462] ; [33.11538462  8.88461538],0
b5,1,0.179725,1.799898,[42 20] ; [23 19],[38.75 23.25] ; [26.25 15.75],0
u3,1,0.269818,1.21767,[17 11] ; [8 2],[18.42105263  9.57894737] ; [6.57894737 3.42105263],0
s4,1,0.27369,1.198157,[12 50] ; [12 30],[14.30769231 47.69230769] ; [ 9.69230769 32.30769231],0
n1,1,0.291339,1.113423,[ 7 13] ; [6 5],[ 8.38709677 11.61290323] ; [4.61290323 6.38709677],0
s2,1,0.295579,1.094035,[35 27] ; [28 14],[37.55769231 24.44230769] ; [25.44230769 16.55769231],0
n6,1,0.297515,1.0853,[46 16] ; [34  7],[48.15533981 13.84466019] ; [31.84466019  9.15533981],0
p5,1,0.304973,1.052321,[ 6 55] ; [ 7 35],[ 7.69902913 53.30097087] ; [ 5.30097087 36.69902913],0
s6,1,0.306243,1.046811,[45 16] ; [33  7],[47.10891089 13.89108911] ; [30.89108911  9.10891089],0
a7,1,0.317728,0.998276,[40 22] ; [31 11],[42.32692308 19.67307692] ; [28.67307692 13.32692308],0
