Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,1.9e-05,18.294453,[46 21] ; [145  14],[56.62389381 10.37610619] ; [134.37610619  24.62389381],1
p11,1,4.1e-05,16.84667,[33 35] ; [122  38],[46.22807018 21.77192982] ; [108.77192982  51.22807018],1
s6,1,5.2e-05,16.3563,[21 47] ; [94 62],[34.91071429 33.08928571] ; [80.08928571 75.91071429],1
v4,1,0.000101,15.120115,[49 18] ; [146  12],[58.06666667  8.93333333] ; [136.93333333  21.06666667],1
r4,1,0.000145,14.437141,[40 28] ; [132  28],[51.29824561 16.70175439] ; [120.70175439  39.29824561],1
p10,1,0.000362,12.717184,[29 36] ; [110  47],[40.6981982 24.3018018] ; [98.3018018 58.6981982],1
p9,1,0.00071,11.46402,[35 30] ; [119  36],[45.5 19.5] ; [108.5  46.5],1
n5,1,0.002834,8.911489,[33 35] ; [111  49],[42.94736842 25.05263158] ; [101.05263158  58.94736842],0
s5,1,0.003807,8.373416,[ 7 59] ; [ 44 110],[15.3 50.7] ; [ 35.7 118.3],0
r2,1,0.010668,6.519776,[53 15] ; [143  15],[58.97345133  9.02654867] ; [137.02654867  20.97345133],0
v2,1,0.043484,4.076488,[19 44] ; [68 83],[25.61214953 37.38785047] ; [61.38785047 89.61214953],0
s2,1,0.044144,4.051061,[18 50] ; [64 94],[24.67256637 43.32743363] ; [ 57.32743363 100.67256637],0
a1,1,0.051226,3.80088,[ 7 61] ; [  6 154],[ 3.87719298 64.12280702] ; [  9.12280702 150.87719298],0
n4,1,0.060237,3.530855,[37 31] ; [108  52],[43.24561404 24.75438596] ; [101.75438596  58.24561404],0
s8,1,0.070273,3.276624,[12 56] ; [ 46 112],[17.45132743 50.54867257] ; [ 40.54867257 117.45132743],0
p2,1,0.088288,2.905322,[40 28] ; [112  47],[45.53303965 22.46696035] ; [106.46696035  52.53303965],0
b4,1,0.091447,2.84871,[33 35] ; [97 63],[38.77192982 29.22807018] ; [91.22807018 68.77192982],0
p8,1,0.108461,2.576509,[15 51] ; [ 53 105],[20.03571429 45.96428571] ; [ 47.96428571 110.03571429],0
a6,1,0.110388,2.548659,[41 27] ; [78 82],[35.49122807 32.50877193] ; [83.50877193 76.49122807],0
b1,1,0.121061,2.403542,[33 35] ; [ 60 100],[27.73684211 40.26315789] ; [65.26315789 94.73684211],0
p7,1,0.128187,2.314325,[23 41] ; [74 83],[28.09049774 35.90950226] ; [68.90950226 88.09049774],0
s7,1,0.165016,1.92765,[15 49] ; [ 51 104],[19.28767123 44.71232877] ; [ 46.71232877 108.28767123],0
p5,1,0.214039,1.543892,[ 1 66] ; [  8 151],[ 2.66814159 64.33185841] ; [  6.33185841 152.66814159],0
n2,1,0.218258,1.515789,[17  7] ; [40  8],[19.  5.] ; [38. 10.],0
p12,1,0.220402,1.501751,[ 1 65] ; [  8 151],[ 2.64 63.36] ; [  6.36 152.64],0
n3,1,0.243563,1.359852,[14  9] ; [35 12],[16.1  6.9] ; [32.9 14.1],0
u2,1,0.321593,0.982456,[16 14] ; [32 43],[13.71428571 16.28571429] ; [34.28571429 40.71428571],0
v3,1,0.342558,0.900836,[15 49] ; [ 47 111],[17.87387387 46.12612613] ; [ 44.12612613 113.87387387],0
d3,1,0.378233,0.776438,[26 41] ; [ 52 107],[23.12389381 43.87610619] ; [ 54.87610619 104.12389381],0
v1,1,0.411719,0.673833,[25 42] ; [67 88],[27.76576577 39.23423423] ; [64.23423423 90.76576577],0
d2,1,0.461152,0.543098,[12 56] ; [ 22 137],[10.18502203 57.81497797] ; [ 23.81497797 135.18502203],0
a5,1,0.467197,0.528597,[30 38] ; [79 81],[32.50877193 35.49122807] ; [76.49122807 83.50877193],0
a2,1,0.471953,0.517399,[ 4 64] ; [  6 154],[ 2.98245614 65.01754386] ; [  7.01754386 152.98245614],0
a8,1,0.502226,0.450229,[10 56] ; [ 18 134],[ 8.47706422 57.52293578] ; [ 19.52293578 132.47706422],0
s3,1,0.51066,0.432714,[29 38] ; [75 81],[31.24663677 35.75336323] ; [72.75336323 83.24663677],0
d5,1,0.533284,0.388129,[32 36] ; [82 77],[34.14977974 33.85022026] ; [79.85022026 79.14977974],0
b3,1,0.537213,0.38073,[ 9 23] ; [30 58],[10.4 21.6] ; [28.6 59.4],0
b2,1,0.537213,0.38073,[ 9 23] ; [30 58],[10.4 21.6] ; [28.6 59.4],0
a7,1,0.583867,0.300025,[42 26] ; [92 67],[40.14096916 27.85903084] ; [93.85903084 65.14096916],0
n1,1,0.595883,0.28125,[ 7 17] ; [17 31],[ 8. 16.] ; [16. 32.],0
u1,1,0.610985,0.258743,[ 2 66] ; [  7 153],[ 2.68421053 65.31578947] ; [  6.31578947 153.68421053],0
p1,1,0.615946,0.251607,[ 5 62] ; [  9 149],[ 4.16888889 62.83111111] ; [  9.83111111 148.16888889],0
u3,1,0.639401,0.219527,[15 16] ; [33 43],[13.90654206 17.09345794] ; [34.09345794 41.90654206],0
r1,1,0.664871,0.187661,[42 26] ; [103  56],[43.43612335 24.56387665] ; [101.56387665  57.43612335],0
b5,1,0.666899,0.185251,[37 31] ; [92 68],[38.47368421 29.52631579] ; [90.52631579 69.47368421],0
s4,1,0.680436,0.169635,[12 56] ; [ 32 128],[13.12280702 54.87719298] ; [ 30.87719298 129.12280702],0
a4,1,0.699527,0.148964,[13 55] ; [ 34 125],[14.07929515 53.92070485] ; [ 32.92070485 126.07929515],0
s1,1,0.709898,0.138379,[ 3 64] ; [  9 149],[ 3.57333333 63.42666667] ; [  8.42666667 149.57333333],0
