Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,42.307692,[80 19] ; [20 46],[60. 39.] ; [40. 26.],1
n1,1,0.000408,12.493819,[21 15] ; [ 5 26],[13.97014925 22.02985075] ; [12.02985075 18.97014925],1
n6,1,0.002119,9.443748,[70 28] ; [32 35],[60.58181818 37.41818182] ; [41.41818182 25.58181818],0
a4,1,0.003368,8.596445,[45 52] ; [16 51],[36.07926829 60.92073171] ; [24.92073171 42.07926829],0
a5,1,0.016311,5.769085,[63 36] ; [30 37],[55.46385542 43.53614458] ; [37.53614458 29.46385542],0
s4,1,0.016892,5.707564,[ 8 91] ; [14 53],[13.12048193 85.87951807] ; [ 8.87951807 58.12048193],0
u1,1,0.020347,5.381837,[16 83] ; [ 3 64],[11.3313253 87.6686747] ; [ 7.6686747 59.3313253],0
u2,1,0.025022,5.02235,[10 26] ; [16 13],[14.4 21.6] ; [11.6 17.4],0
u3,1,0.029557,4.734893,[13 24] ; [18 11],[17.37878788 19.62121212] ; [13.62121212 15.37878788],0
a8,1,0.03338,4.526184,[ 9 79] ; [ 1 63],[ 5.78947368 82.21052632] ; [ 4.21052632 59.78947368],0
p6,1,0.036998,4.350525,[25 72] ; [ 8 57],[19.75925926 77.24074074] ; [13.24074074 51.75925926],0
a1,1,0.037692,4.318886,[12 87] ; [ 2 65],[ 8.34939759 90.65060241] ; [ 5.65060241 61.34939759],0
s7,1,0.042798,4.103348,[33 58] ; [13 49],[27.35947712 63.64052288] ; [18.64052288 43.35947712],0
a7,1,0.05259,3.756904,[59 40] ; [49 17],[64.8 34.2] ; [43.2 22.8],0
d2,1,0.072217,3.231892,[47 50] ; [23 44],[41.40243902 55.59756098] ; [28.59756098 38.40243902],0
a2,1,0.086874,2.931371,[24 75] ; [ 9 58],[19.68072289 79.31927711] ; [13.31927711 53.68072289],0
s8,1,0.144467,2.129718,[24 75] ; [10 57],[20.27710843 78.72289157] ; [13.72289157 53.27710843],0
v4,1,0.157253,2.000449,[75 24] ; [56 10],[78.6 20.4] ; [52.4 13.6],0
a3,1,0.163857,1.938264,[62 34] ; [36 31],[57.71779141 38.28220859] ; [40.28220859 26.71779141],0
b2,1,0.192879,1.69549,[22 35] ; [ 8 24],[19.21348315 37.78651685] ; [10.78651685 21.21348315],0
b3,1,0.192879,1.69549,[22 35] ; [ 8 24],[19.21348315 37.78651685] ; [10.78651685 21.21348315],0
v3,1,0.194982,1.679566,[31 63] ; [15 49],[27.36708861 66.63291139] ; [18.63291139 45.36708861],0
v1,1,0.204119,1.612654,[38 61] ; [19 47],[34.2 64.8] ; [22.8 43.2],0
b5,1,0.239534,1.383337,[56 43] ; [44 23],[59.63855422 39.36144578] ; [40.36144578 26.63855422],0
n2,1,0.254535,1.298239,[23 14] ; [15 16],[20.67647059 16.32352941] ; [17.32352941 13.67647059],0
d1,1,0.361436,0.832899,[47 52] ; [27 40],[44.13253012 54.86746988] ; [29.86746988 37.13253012],0
p3,1,0.385183,0.754095,[33 65] ; [18 48],[30.47560976 67.52439024] ; [20.52439024 45.47560976],0
s6,1,0.432295,0.61665,[46 53] ; [27 40],[43.53614458 55.46385542] ; [29.46385542 37.53614458],0
r1,1,0.449157,0.572778,[67 31] ; [42 25],[64.73939394 33.26060606] ; [44.26060606 22.73939394],0
p1,1,0.462788,0.539143,[ 9 90] ; [ 4 63],[ 7.75301205 91.24698795] ; [ 5.24698795 61.75301205],0
r4,1,0.469834,0.522367,[66 33] ; [41 26],[63.81325301 35.18674699] ; [43.18674699 23.81325301],0
r2,1,0.529225,0.395879,[81 15] ; [54 13],[79.50920245 16.49079755] ; [55.49079755 11.50920245],0
b1,1,0.588056,0.293391,[53 46] ; [33 34],[51.28915663 47.71084337] ; [34.71084337 32.28915663],0
d5,1,0.611729,0.257665,[69 29] ; [44 22],[67.52439024 30.47560976] ; [45.47560976 20.52439024],0
b4,1,0.63855,0.220643,[51 48] ; [37 30],[52.48192771 46.51807229] ; [35.51807229 31.48192771],0
r3,1,0.663988,0.188715,[72 27] ; [50 16],[73.2 25.8] ; [48.8 17.2],0
a6,1,0.692697,0.156181,[54 44] ; [39 28],[55.23636364 42.76363636] ; [37.76363636 29.23636364],0
s3,1,0.734844,0.11471,[39 57] ; [29 38],[40.04907975 55.95092025] ; [27.95092025 39.04907975],0
p10,1,0.761999,0.091723,[39 59] ; [27 37],[39.92592593 58.07407407] ; [26.07407407 37.92592593],0
s2,1,0.787712,0.072513,[32 67] ; [23 44],[32.80120482 66.19879518] ; [22.19879518 44.80120482],0
n3,1,0.859152,0.03149,[19 15] ; [18 13],[19.35384615 14.64615385] ; [17.64615385 13.35384615],0
p4,1,0.87219,0.025882,[35 62] ; [25 42],[35.48780488 61.51219512] ; [24.51219512 42.48780488],0
v2,1,0.894263,0.017666,[37 60] ; [23 39],[36.60377358 60.39622642] ; [23.39622642 38.60377358],0
d3,1,0.919597,0.010189,[55 43] ; [37 28],[55.31288344 42.68711656] ; [36.68711656 28.31288344],0
p9,1,0.922013,0.009584,[48 48] ; [31 32],[47.69811321 48.30188679] ; [31.30188679 31.69811321],0
p2,1,0.956671,0.002952,[56 42] ; [38 29],[55.83030303 42.16969697] ; [38.16969697 28.83030303],0
d4,1,0.966353,0.001779,[68 30] ; [46 20],[68.12195122 29.87804878] ; [45.87804878 20.12195122],0
p8,1,0.983021,0.000453,[30 68] ; [20 45],[30.06134969 67.93865031] ; [19.93865031 45.06134969],0
p7,1,0.984193,0.000393,[41 56] ; [28 38],[41.06134969 55.93865031] ; [27.93865031 38.06134969],0
s1,1,1.0,0.0,[ 9 90] ; [ 6 60],[ 9. 90.] ; [ 6. 60.],0
