Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2e-06,22.847788,[28  3] ; [38 55],[16.5 14.5] ; [49.5 43.5],1
p4,1,0.000346,12.804101,[23  8] ; [35 59],[14.384 16.616] ; [43.616 50.384],1
p1,1,0.001811,9.731399,[ 9 22] ; [ 7 87],[ 3.968 27.032] ; [12.032 81.968],0
p5,1,0.001935,9.610083,[ 7 24] ; [ 4 89],[ 2.75 28.25] ; [ 8.25 84.75],0
p12,1,0.00328,8.644915,[ 5 26] ; [ 2 92],[ 1.736 29.264] ; [ 5.264 88.736],0
b4,1,0.019822,5.427488,[21 10] ; [41 53],[15.376 15.624] ; [46.624 47.376],0
p2,1,0.024199,5.0803,[27  4] ; [62 32],[22.072  8.928] ; [66.928 27.072],0
p3,1,0.041837,4.141803,[18 13] ; [35 59],[13.144 17.856] ; [39.856 54.144],0
v2,1,0.045316,4.00685,[16 15] ; [27 59],[11.39316239 19.60683761] ; [31.60683761 54.39316239],0
s7,1,0.060578,3.52149,[ 9 19] ; [14 74],[ 5.55172414 22.44827586] ; [17.44827586 70.55172414],0
r3,1,0.08849,2.901627,[28  3] ; [70 22],[24.69918699  6.30081301] ; [73.30081301 18.69918699],0
p8,1,0.092557,2.829321,[18 13] ; [37 54],[13.97540984 17.02459016] ; [41.02459016 49.97540984],0
s5,1,0.109799,2.557111,[ 6 23] ; [ 9 85],[ 3.53658537 25.46341463] ; [11.46341463 82.53658537],0
n3,1,0.167172,1.908123,[9 1] ; [21 10],[7.31707317 2.68292683] ; [22.68292683  8.31707317],0
v4,1,0.169226,1.88979,[29  2] ; [77 15],[26.71544715  4.28455285] ; [79.28455285 12.71544715],0
a6,1,0.229048,1.446764,[20 11] ; [49 45],[17.112 13.888] ; [51.888 42.112],0
b2,1,0.248213,1.333333,[ 8 10] ; [16 38],[ 6. 12.] ; [18. 36.],0
b3,1,0.248213,1.333333,[ 8 10] ; [16 38],[ 6. 12.] ; [18. 36.],0
n6,1,0.260746,1.26479,[24  7] ; [62 31],[21.5  9.5] ; [64.5 28.5],0
v3,1,0.273543,1.198892,[11 20] ; [23 68],[ 8.63934426 22.36065574] ; [25.36065574 65.63934426],0
b1,1,0.275519,1.189059,[16 15] ; [38 56],[13.392 17.608] ; [40.608 53.392],0
b5,1,0.317249,1.000255,[20 11] ; [51 43],[17.608 13.392] ; [53.392 40.608],0
r1,1,0.376043,0.783598,[20 11] ; [51 41],[17.89430894 13.10569106] ; [53.10569106 38.89430894],0
r4,1,0.377873,0.77761,[24  7] ; [65 29],[22.072  8.928] ; [66.928 27.072],0
a7,1,0.404578,0.694678,[19 12] ; [49 44],[17. 14.] ; [51. 42.],0
u1,1,0.405452,0.692096,[ 1 30] ; [ 1 93],[ 0.496 30.504] ; [ 1.504 92.496],0
u2,1,0.406046,0.690349,[9 7] ; [24 30],[7.54285714 8.45714286] ; [25.45714286 28.54285714],0
r2,1,0.415467,0.663102,[27  4] ; [75 18],[25.5  5.5] ; [76.5 16.5],0
d5,1,0.417473,0.657419,[10 21] ; [38 56],[11.904 19.096] ; [36.096 57.904],0
p10,1,0.437696,0.602314,[20 10] ; [54 38],[18.19672131 11.80327869] ; [55.80327869 36.19672131],0
p11,1,0.454799,0.558663,[23  8] ; [63 31],[21.328  9.672] ; [64.672 29.328],0
n4,1,0.499817,0.455324,[23  8] ; [63 30],[21.5  9.5] ; [64.5 28.5],0
v1,1,0.539499,0.376469,[14 17] ; [35 55],[12.55371901 18.44628099] ; [36.44628099 53.55371901],0
s6,1,0.596669,0.28005,[10 20] ; [36 57],[11.2195122 18.7804878] ; [34.7804878 58.2195122],0
s3,1,0.614161,0.25416,[ 7 24] ; [25 67],[ 8.06504065 22.93495935] ; [23.93495935 68.06504065],0
u3,1,0.622008,0.243056,[ 6 10] ; [24 30],[6.85714286 9.14285714] ; [23.14285714 30.85714286],0
a3,1,0.634493,0.226016,[15 16] ; [40 52],[13.86178862 17.13821138] ; [41.13821138 50.86178862],0
a1,1,0.636345,0.223554,[ 1 30] ; [ 5 89],[ 1.488 29.512] ; [ 4.512 89.488],0
a4,1,0.646629,0.210177,[ 8 22] ; [21 72],[ 7.07317073 22.92682927] ; [21.92682927 71.07317073],0
p9,1,0.658555,0.195283,[22  9] ; [60 30],[21.00826446  9.99173554] ; [60.99173554 29.00826446],0
n2,1,0.698384,0.150159,[6 4] ; [22 11],[6.51162791 3.48837209] ; [21.48837209 11.51162791],0
a5,1,0.715251,0.133089,[14 17] ; [46 48],[14.88 16.12] ; [45.12 48.88],0
d1,1,0.729017,0.120016,[ 1 30] ; [ 2 92],[ 0.744 30.256] ; [ 2.256 91.744],0
d3,1,0.808676,0.058629,[ 8 22] ; [23 71],[ 7.5 22.5] ; [23.5 70.5],0
d2,1,0.831032,0.04553,[ 7 24] ; [23 71],[ 7.44 23.56] ; [22.56 71.44],0
a8,1,0.840967,0.040263,[ 3 26] ; [ 8 80],[ 2.72649573 26.27350427] ; [ 8.27350427 79.72649573],0
a2,1,0.842375,0.039544,[ 3 28] ; [ 8 86],[ 2.728 28.272] ; [ 8.272 85.728],0
s4,1,0.879202,0.023098,[ 3 28] ; [10 84],[ 3.224 27.776] ; [ 9.776 84.224],0
n1,1,0.891717,0.018532,[4 6] ; [14 19],[4.18604651 5.81395349] ; [13.81395349 19.18604651],0
s8,1,0.893884,0.017793,[ 6 25] ; [17 76],[ 5.75 25.25] ; [17.25 75.75],0
n5,1,0.906606,0.013764,[23  8] ; [68 25],[22.75  8.25] ; [68.25 24.75],0
