Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,1.2e-05,19.237974,[44 24] ; [ 6 27],[33.66336634 34.33663366] ; [16.33663366 16.66336634],1
d1,1,1.3e-05,18.969949,[47 23] ; [ 7 26],[36.69902913 33.30097087] ; [17.30097087 15.69902913],1
a3,1,1.5e-05,18.783482,[55 15] ; [11 21],[45.29411765 24.70588235] ; [20.70588235 11.29411765],1
a4,1,0.000149,14.388786,[39 31] ; [ 5 27],[30.19607843 39.80392157] ; [13.80392157 18.19607843],1
a6,1,0.000647,11.636789,[47 21] ; [11 22],[39.04950495 28.95049505] ; [18.95049505 14.04950495],1
p9,1,0.00243,9.192815,[54 16] ; [15 17],[47.35294118 22.64705882] ; [21.64705882 10.35294118],0
s7,1,0.003044,8.780923,[44 23] ; [10 20],[37.29896907 29.70103093] ; [16.70103093 13.29896907],0
d5,1,0.00306,8.771467,[56 12] ; [18 15],[49.82178218 18.17821782] ; [24.17821782  8.82178218],0
d4,1,0.004147,8.218177,[57 11] ; [19 14],[51.16831683 16.83168317] ; [24.83168317  8.16831683],0
s5,1,0.01021,6.597941,[34 34] ; [ 7 24],[28.16161616 39.83838384] ; [12.83838384 18.16161616],0
r2,1,0.019784,5.430814,[67  3] ; [27  6],[63.88349515  6.11650485] ; [30.11650485  2.88349515],0
s8,1,0.029226,4.75427,[41 28] ; [12 21],[35.85294118 33.14705882] ; [17.14705882 15.85294118],0
d3,1,0.046701,3.956119,[45 23] ; [15 18],[40.3960396 27.6039604] ; [19.6039604 13.3960396],0
p10,1,0.056309,3.642898,[47 22] ; [16 17],[42.61764706 26.38235294] ; [20.38235294 12.61764706],0
v3,1,0.069862,3.286248,[32 31] ; [10 22],[27.85263158 35.14736842] ; [14.14736842 17.85263158],0
n2,1,0.073654,3.199643,[21  4] ; [3 3],[19.35483871  5.64516129] ; [4.64516129 1.35483871],0
s2,1,0.097966,2.738352,[49 21] ; [17 15],[45.29411765 24.70588235] ; [20.70588235 11.29411765],0
p4,1,0.142334,2.152542,[31 37] ; [10 23],[27.6039604 40.3960396] ; [13.3960396 19.6039604],0
p3,1,0.149292,2.079467,[29 40] ; [ 9 24],[25.70588235 43.29411765] ; [12.29411765 20.70588235],0
b3,1,0.175933,1.83165,[20 30] ; [ 4 14],[17.64705882 32.35294118] ; [ 6.35294118 11.64705882],0
b2,1,0.175933,1.83165,[20 30] ; [ 4 14],[17.64705882 32.35294118] ; [ 6.35294118 11.64705882],0
v4,1,0.2002,1.640914,[65  5] ; [28  5],[63.2038835  6.7961165] ; [29.7961165  3.2038835],0
p5,1,0.207884,1.586101,[10 58] ; [ 2 31],[ 8.07920792 59.92079208] ; [ 3.92079208 29.07920792],0
a1,1,0.217503,1.52077,[ 7 63] ; [ 1 32],[ 5.4368932 64.5631068] ; [ 2.5631068 30.4368932],0
p12,1,0.224709,1.474042,[10 60] ; [ 2 31],[ 8.15533981 61.84466019] ; [ 3.84466019 29.15533981],0
n6,1,0.243128,1.362366,[54 15] ; [29  4],[56.14705882 12.85294118] ; [26.85294118  6.14705882],0
r1,1,0.24843,1.332112,[56 14] ; [23 10],[53.68932039 16.31067961] ; [25.31067961  7.68932039],0
v1,1,0.287624,1.13071,[36 31] ; [14 19],[33.5 33.5] ; [16.5 16.5],0
