Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,0.005483,7.712895,[35 99] ; [10  7],[39.93377483 94.06622517] ; [ 5.06622517 11.93377483],0
s2,1,0.016771,5.720224,[65 71] ; [14  4],[69.76623377 66.23376623] ; [9.23376623 8.76623377],0
n5,1,0.05721,3.616466,[104  32] ; [10  8],[100.67532468  35.32467532] ; [13.32467532  4.67532468],0
p6,1,0.059848,3.541588,[36 99] ; [ 1 16],[ 32.86184211 102.13815789] ; [ 4.13815789 12.86184211],0
v1,1,0.07749,3.116766,[82 53] ; [ 7 11],[78.52941176 56.47058824] ; [10.47058824  7.52941176],0
s7,1,0.079053,3.084272,[58 72] ; [12  6],[61.48648649 68.51351351] ; [8.51351351 9.48648649],0
s3,1,0.087271,2.923998,[66 64] ; [13  5],[69.39189189 60.60810811] ; [9.60810811 8.39189189],0
n4,1,0.111881,2.527452,[107  30] ; [11  7],[104.29677419  32.70322581] ; [13.70322581  4.29677419],0
s6,1,0.147301,2.099981,[85 50] ; [13  3],[87.61589404 47.38410596] ; [10.38410596  5.61589404],0
r1,1,0.16243,1.951453,[110  26] ; [12  6],[107.74025974  28.25974026] ; [14.25974026  3.74025974],0
n6,1,0.172194,1.86374,[111  25] ; [17  1],[113.03896104  22.96103896] ; [14.96103896  3.03896104],0
b3,1,0.188971,1.725619,[33 51] ; [1 6],[31.38461538 52.61538462] ; [2.61538462 4.38461538],0
b2,1,0.188971,1.725619,[33 51] ; [1 6],[31.38461538 52.61538462] ; [2.61538462 4.38461538],0
d3,1,0.240762,1.376127,[96 41] ; [15  3],[98.10967742 38.89032258] ; [12.89032258  5.10967742],0
p11,1,0.261211,1.26233,[101  36] ; [11  7],[98.99354839 38.00645161] ; [13.00645161  4.99354839],0
p4,1,0.2796,1.169034,[55 79] ; [ 5 13],[52.89473684 81.10526316] ; [ 7.10526316 10.89473684],0
n1,1,0.281542,1.159629,[11 24] ; [1 7],[ 9.76744186 25.23255814] ; [2.23255814 5.76744186],0
p9,1,0.285252,1.141897,[103  31] ; [15  2],[104.71523179  29.28476821] ; [13.28476821  3.71523179],0
r4,1,0.291915,1.11077,[117  20] ; [17  1],[118.43870968  18.56129032] ; [15.56129032  2.43870968],0
b5,1,0.295549,1.09417,[86 51] ; [9 9],[83.96774194 53.03225806] ; [11.03225806  6.96774194],0
p10,1,0.301553,1.067313,[97 38] ; [15  3],[98.82352941 36.17647059] ; [13.17647059  4.82352941],0
a4,1,0.309901,1.031099,[63 74] ; [ 6 12],[60.98709677 76.01290323] ; [8.01290323 9.98709677],0
b1,1,0.426454,0.632461,[43 94] ; [ 4 14],[41.54193548 95.45806452] ; [ 5.45806452 12.54193548],0
a5,1,0.439449,0.597721,[96 41] ; [11  7],[94.57419355 42.42580645] ; [12.42580645  5.57419355],0
d2,1,0.515823,0.422237,[71 64] ; [ 8 10],[69.70588235 65.29411765] ; [9.29411765 8.70588235],0
d4,1,0.519923,0.414047,[114  22] ; [14  4],[113.03896104  22.96103896] ; [14.96103896  3.03896104],0
p8,1,0.530029,0.394336,[58 76] ; [ 6 11],[56.79470199 77.20529801] ; [7.20529801 9.79470199],0
a3,1,0.537212,0.380732,[97 40] ; [14  4],[98.10967742 38.89032258] ; [12.89032258  5.10967742],0
a2,1,0.565572,0.330148,[ 31 106] ; [ 3 15],[ 30.0516129 106.9483871] ; [ 3.9483871 14.0516129],0
n3,1,0.613492,0.255122,[25 13] ; [6 2],[25.60869565 12.39130435] ; [5.39130435 2.60869565],0
a6,1,0.655102,0.199529,[91 46] ; [11  7],[90.15483871 46.84516129] ; [11.84516129  6.15483871],0
s8,1,0.680243,0.169853,[61 75] ; [9 9],[61.81818182 74.18181818] ; [8.18181818 9.81818182],0
u1,1,0.690192,0.158877,[ 20 117] ; [ 2 16],[ 19.44516129 117.55483871] ; [ 2.55483871 15.44516129],0
u2,1,0.698127,0.150427,[24 16] ; [2 2],[23.63636364 16.36363636] ; [2.36363636 1.63636364],0
p5,1,0.711992,0.136295,[ 11 126] ; [ 1 17],[ 10.60645161 126.39354839] ; [ 1.39354839 16.60645161],0
d1,1,0.727038,0.121849,[82 55] ; [10  8],[81.31612903 55.68387097] ; [10.68387097  7.31612903],0
v2,1,0.771916,0.084024,[100  34] ; [14  4],[100.5  33.5] ; [13.5  4.5],0
n2,1,0.821692,0.050791,[27 11] ; [6 2],[27.26086957 10.73913043] ; [5.73913043 2.26086957],0
d5,1,0.860427,0.030916,[109  28] ; [14  4],[108.71612903  28.28387097] ; [14.28387097  3.71612903],0
u3,1,0.883232,0.021572,[21 18] ; [2 2],[20.86046512 18.13953488] ; [2.13953488 1.86046512],0
b4,1,0.886621,0.020329,[89 48] ; [12  6],[89.27096774 47.72903226] ; [11.72903226  6.27096774],0
a8,1,0.892523,0.018255,[ 18 105] ; [ 2 13],[ 17.82608696 105.17391304] ; [ 2.17391304 12.82608696],0
a7,1,0.959168,0.002621,[99 37] ; [13  5],[98.90909091 37.09090909] ; [13.09090909  4.90909091],0
p7,1,0.969362,0.001475,[61 70] ; [8 9],[61.07432432 69.92567568] ; [7.92567568 9.07432432],0
p2,1,0.997118,1.3e-05,[99 38] ; [13  5],[98.99354839 38.00645161] ; [13.00645161  4.99354839],0
