Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.0,122.599692,[ 35 233] ; [97 50],[ 85.24337349 182.75662651] ; [ 46.75662651 100.24337349],1
s2,1,0.0,76.005307,[ 62 204] ; [99 49],[103.44444444 162.55555556] ; [57.55555556 90.44444444],1
s6,1,0.0,67.128977,[105 161] ; [119  27],[144.62135922 121.37864078] ; [79.37864078 66.62135922],1
s3,1,0.0,51.128767,[ 89 174] ; [102  42],[123.42260442 139.57739558] ; [67.57739558 76.42260442],1
s5,1,1.7e-05,18.525476,[ 42 220] ; [50 94],[ 59.36945813 202.63054187] ; [ 32.63054187 111.36945813],1
n4,1,2.2e-05,18.003315,[169  99] ; [122  25],[187.92289157  80.07710843] ; [103.07710843  43.92289157],1
r1,1,2.5e-05,17.747254,[182  85] ; [127  19],[199.76513317  67.23486683] ; [109.23486683  36.76513317],1
a5,1,5.4e-05,16.300736,[156 113] ; [115  33],[174.8177458  94.1822542] ; [96.1822542 51.8177458],1
a3,1,0.000388,12.587925,[157 109] ; [113  35],[173.47826087  92.52173913] ; [96.52173913 51.47826087],1
u1,1,0.000663,11.591472,[ 22 247] ; [ 29 119],[ 32.89928058 236.10071942] ; [ 18.10071942 129.89928058],1
n5,1,0.001423,10.175375,[167  99] ; [114  32],[181.4223301  84.5776699] ; [99.5776699 46.4223301],0
p10,1,0.001996,9.553351,[169  94] ; [116  31],[182.81707317  80.18292683] ; [102.18292683  44.81707317],0
a8,1,0.002408,9.209518,[ 30 225] ; [ 31 100],[ 40.29792746 214.70207254] ; [ 20.70207254 110.29792746],0
p9,1,0.002975,8.822848,[182  80] ; [121  25],[194.57352941  67.42647059] ; [108.42647059  37.57352941],0
p4,1,0.003059,8.771908,[ 82 183] ; [67 80],[ 95.83737864 169.16262136] ; [53.16262136 93.83737864],0
p6,1,0.00366,8.44538,[ 47 215] ; [ 45 103],[ 58.7902439 203.2097561] ; [ 33.2097561 114.7902439],0
a2,1,0.004198,8.195977,[ 40 229] ; [ 39 109],[ 50.9616307 218.0383693] ; [ 28.0383693 119.9616307],0
v1,1,0.00468,7.999185,[105 158] ; [78 65],[118.54433498 144.45566502] ; [64.45566502 78.54433498],0
n6,1,0.005984,7.555171,[191  77] ; [121  24],[202.46004843  65.53995157] ; [109.53995157  35.46004843],0
v2,1,0.006525,7.399166,[109 142] ; [83 61],[122.00506329 128.99493671] ; [69.99493671 74.00506329],0
u3,1,0.007722,7.096813,[47 63] ; [24 11],[53.86206897 56.13793103] ; [17.13793103 17.86206897],0
v3,1,0.011045,6.458115,[ 72 184] ; [58 85],[ 83.4085213 172.5914787] ; [46.5914787 96.4085213],0
a4,1,0.018176,5.579098,[ 96 170] ; [71 77],[107.29951691 158.70048309] ; [59.70048309 88.29951691],0
v4,1,0.023019,5.167053,[230  36] ; [136   9],[236.87591241  29.12408759] ; [129.12408759  15.87591241],0
d1,1,0.028539,4.795205,[128 141] ; [87 61],[138.69304556 130.30695444] ; [76.30695444 71.69304556],0
d2,1,0.029788,4.72147,[108 158] ; [76 71],[118.50847458 147.49152542] ; [65.49152542 81.50847458],0
r3,1,0.030205,4.697578,[234  32] ; [139   8],[240.23728814  25.76271186] ; [132.76271186  14.23728814],0
n1,1,0.039325,4.246786,[29 57] ; [24 22],[34.53030303 51.46969697] ; [18.46969697 27.53030303],0
u4,1,0.045071,4.015976,[  2 267] ; [  5 143],[  4.51558753 264.48441247] ; [  2.48441247 145.51558753],0
r2,1,0.04711,3.941452,[231  33] ; [135   9],[236.82352941  27.17647059] ; [129.17647059  14.82352941],0
r4,1,0.055921,3.654418,[208  61] ; [126  22],[215.45803357  53.54196643] ; [118.54196643  29.45803357],0
p7,1,0.063289,3.449037,[114 146] ; [76 66],[122.88557214 137.11442786] ; [67.11442786 74.88557214],0
b2,1,0.071416,3.250167,[45 97] ; [45 60],[51.74089069 90.25910931] ; [38.25910931 66.74089069],0
b3,1,0.071416,3.250167,[45 97] ; [45 60],[51.74089069 90.25910931] ; [38.25910931 66.74089069],0
d4,1,0.086652,2.935502,[203  65] ; [122  25],[209.87951807  58.12048193] ; [115.12048193  31.87951807],0
d5,1,0.093496,2.813125,[194  75] ; [117  30],[201.10336538  67.89663462] ; [109.89663462  37.10336538],0
d3,1,0.125842,2.343057,[162 106] ; [100  47],[169.19518072  98.80481928] ; [92.80481928 54.19518072],0
p5,1,0.142163,2.154385,[ 11 255] ; [ 11 135],[ 14.2038835 251.7961165] ; [  7.7961165 138.2038835],0
u2,1,0.166058,1.918176,[53 57] ; [21 13],[56.52777778 53.47222222] ; [17.47222222 16.52777778],0
b5,1,0.172065,1.86486,[171  98] ; [84 64],[164.49640288 104.50359712] ; [90.50359712 57.49640288],0
n3,1,0.197045,1.664145,[59 28] ; [26 20],[55.60150376 31.39849624] ; [29.39849624 16.60150376],0
s1,1,0.201147,1.634029,[  9 252] ; [  9 137],[ 11.54299754 249.45700246] ; [  6.45700246 139.54299754],0
a7,1,0.264145,1.2469,[177  90] ; [106  42],[182.0746988  84.9253012] ; [100.9253012  47.0746988],0
p2,1,0.288398,1.127084,[191  76] ; [113  35],[195.58554217  71.41445783] ; [108.41445783  39.58554217],0
p8,1,0.34007,0.910166,[ 92 171] ; [58 88],[ 96.45476773 166.54523227] ; [53.54523227 92.45476773],0
p11,1,0.417051,0.658609,[188  81] ; [109  39],[191.58992806  77.41007194] ; [105.41007194  42.58992806],0
n2,1,0.529408,0.395527,[61 27] ; [35 12],[62.57777778 25.42222222] ; [33.42222222 13.57777778],0
a6,1,0.562678,0.335089,[176  93] ; [92 55],[173.29807692  95.70192308] ; [94.70192308 52.29807692],0
b4,1,0.63085,0.23091,[161 108] ; [85 63],[158.69064748 110.30935252] ; [87.30935252 60.69064748],0
b1,1,0.673743,0.177255,[ 98 171] ; [57 91],[ 99.98800959 169.01199041] ; [55.01199041 92.98800959],0
p1,1,0.698871,0.149649,[ 15 252] ; [  7 141],[ 14.15421687 252.84578313] ; [  7.84578313 140.15421687],0
p12,1,0.894571,0.017562,[ 12 256] ; [  7 140],[ 12.26987952 255.73012048] ; [  6.73012048 140.26987952],0
a1,1,0.930012,0.007714,[ 14 255] ; [  8 140],[ 14.19184652 254.80815348] ; [  7.80815348 140.19184652],0
