Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.0,27.768834,[55 13] ; [ 2 14],[46.14285714 21.85714286] ; [10.85714286  5.14285714],1
r2,1,6e-05,16.099669,[65  3] ; [9 6],[60.62650602  7.37349398] ; [13.37349398  1.62650602],1
v4,1,0.000114,14.892088,[67  1] ; [10  4],[63.85365854  4.14634146] ; [13.14634146  0.85365854],1
r3,1,0.00316,8.712941,[64  4] ; [11  5],[60.71428571  7.28571429] ; [14.28571429  1.71428571],0
n4,1,0.003999,8.284307,[54 14] ; [7 9],[49.38095238 18.61904762] ; [11.61904762  4.38095238],0
v3,1,0.007782,7.083026,[29 38] ; [ 1 14],[24.51219512 42.48780488] ; [5.48780488 9.51219512],0
a5,1,0.007852,7.0669,[42 26] ; [ 4 12],[37.23809524 30.76190476] ; [8.76190476 7.23809524],0
a7,1,0.012946,6.176471,[48 20] ; [ 6 10],[43.71428571 24.28571429] ; [10.28571429  5.71428571],0
s6,1,0.021325,5.300072,[41 24] ; [ 5 11],[36.91358025 28.08641975] ; [9.08641975 6.91358025],0
n5,1,0.024126,5.085573,[53 15] ; [8 8],[49.38095238 18.61904762] ; [11.61904762  4.38095238],0
n6,1,0.024737,5.042201,[56 12] ; [9 7],[52.61904762 15.38095238] ; [12.38095238  3.61904762],0
b1,1,0.026957,4.893583,[26 42] ; [11  5],[29.95238095 38.04761905] ; [7.04761905 8.95238095],0
a6,1,0.034585,4.465555,[45 23] ; [ 6 10],[41.28571429 26.71428571] ; [9.71428571 6.28571429],0
p3,1,0.052228,3.768441,[39 28] ; [ 5 11],[35.51807229 31.48192771] ; [8.48192771 7.51807229],0
p9,1,0.052511,3.759416,[60  8] ; [11  5],[57.47619048 10.52380952] ; [13.52380952  2.47619048],0
a3,1,0.05598,3.652648,[30 37] ; [ 3 13],[26.63855422 40.36144578] ; [6.36144578 9.63855422],0
s7,1,0.072198,3.232323,[32 32] ; [ 4 12],[28.8 35.2] ; [7.2 8.8],0
s5,1,0.081486,3.035003,[23 43] ; [ 2 14],[20.12195122 45.87804878] ; [ 4.87804878 11.12195122],0
s1,1,0.110353,2.549157,[ 2 65] ; [ 2 14],[ 3.22891566 63.77108434] ; [ 0.77108434 15.22891566],0
v1,1,0.121664,2.395762,[31 36] ; [ 4 12],[28.25301205 38.74698795] ; [6.74698795 9.25301205],0
s8,1,0.140223,2.175512,[26 42] ; [ 3 13],[23.47619048 44.52380952] ; [ 5.52380952 10.47619048],0
v2,1,0.145596,2.117794,[33 31] ; [ 5 11],[30.4 33.6] ; [7.6 8.4],0
a4,1,0.270823,1.212573,[17 50] ; [ 2 14],[15.3373494 51.6626506] ; [ 3.6626506 12.3373494],0
p10,1,0.339223,0.913367,[57 11] ; [11  4],[55.71084337 12.28915663] ; [12.28915663  2.71084337],0
p5,1,0.343149,0.898632,[11 57] ; [ 1 14],[ 9.8313253 58.1686747] ; [ 2.1686747 12.8313253],0
n2,1,0.345099,0.891396,[9 2] ; [5 3],[8.10526316 2.89473684] ; [5.89473684 2.10526316],0
p1,1,0.385767,0.752244,[16 52] ; [ 2 13],[14.74698795 53.25301205] ; [ 3.25301205 11.74698795],0
d2,1,0.391864,0.733151,[15 53] ; [ 2 14],[13.76190476 54.23809524] ; [ 3.23809524 12.76190476],0
s3,1,0.392304,0.73179,[30 36] ; [ 5 10],[28.51851852 37.48148148] ; [6.48148148 8.51851852],0
n1,1,0.462527,0.539773,[6 5] ; [3 5],[5.21052632 5.78947368] ; [3.78947368 4.21052632],0
u2,1,0.462732,0.539279,[16 22] ; [7 6],[17.1372549 20.8627451] ; [5.8627451 7.1372549],0
p6,1,0.464481,0.535074,[28 40] ; [ 5 11],[26.71428571 41.28571429] ; [6.28571429 9.71428571],0
p11,1,0.50037,0.454152,[56 12] ; [12  4],[55.04761905 12.95238095] ; [12.95238095  3.04761905],0
s4,1,0.518351,0.417173,[12 55] ; [ 4 12],[12.91566265 54.08433735] ; [ 3.08433735 12.91566265],0
b5,1,0.594001,0.284139,[39 29] ; [8 8],[38.04761905 29.95238095] ; [8.95238095 7.04761905],0
p4,1,0.630327,0.231618,[38 30] ; [10  6],[38.85714286 29.14285714] ; [9.14285714 6.85714286],0
b2,1,0.670425,0.181106,[ 9 28] ; [2 9],[ 8.47916667 28.52083333] ; [2.52083333 8.47916667],0
b3,1,0.670425,0.181106,[ 9 28] ; [2 9],[ 8.47916667 28.52083333] ; [2.52083333 8.47916667],0
n3,1,0.718904,0.129545,[9 2] ; [6 2],[8.68421053 2.31578947] ; [6.31578947 1.68421053],0
d3,1,0.792088,0.069485,[19 49] ; [ 5 11],[19.42857143 48.57142857] ; [ 4.57142857 11.42857143],0
s2,1,0.814994,0.054751,[23 44] ; [ 5 11],[22.60240964 44.39759036] ; [ 5.39759036 10.60240964],0
u3,1,0.817764,0.053094,[16 22] ; [5 8],[15.64705882 22.35294118] ; [5.35294118 7.64705882],0
p7,1,0.860976,0.030671,[53 15] ; [12  3],[53.25301205 14.74698795] ; [11.74698795  3.25301205],0
a8,1,0.908042,0.013342,[ 5 57] ; [ 1 13],[ 4.89473684 57.10526316] ; [ 1.10526316 12.89473684],0
p2,1,0.9375,0.006148,[55 13] ; [12  3],[54.89156627 13.10843373] ; [12.10843373  2.89156627],0
d5,1,0.956266,0.003007,[25 43] ; [ 6 10],[25.0952381 42.9047619] ; [ 5.9047619 10.0952381],0
b4,1,1.0,0.0,[34 34] ; [8 8],[34. 34.] ; [8. 8.],0
