Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b3,1,0.005857,7.59375,[13 35] ; [5 1],[16. 32.] ; [2. 4.],0
b2,1,0.005857,7.59375,[13 35] ; [5 1],[16. 32.] ; [2. 4.],0
a3,1,0.022843,5.180429,[35 38] ; [10  2],[38.64705882 34.35294118] ; [6.35294118 5.64705882],0
v1,1,0.028366,4.805681,[15 58] ; [6 6],[18.03529412 54.96470588] ; [2.96470588 9.03529412],0
s6,1,0.033902,4.499664,[16 59] ; [6 6],[18.96551724 56.03448276] ; [3.03448276 8.96551724],0
p1,1,0.07259,3.223462,[ 6 69] ; [3 9],[ 7.75862069 67.24137931] ; [ 1.24137931 10.75862069],0
s8,1,0.080016,3.064579,[10 65] ; [4 8],[12.06896552 62.93103448] ; [ 1.93103448 10.06896552],0
a1,1,0.114144,2.495883,[ 7 68] ; [3 9],[ 8.62068966 66.37931034] ; [ 1.37931034 10.62068966],0
s2,1,0.126439,2.335693,[16 59] ; [5 7],[18.10344828 56.89655172] ; [2.89655172 9.10344828],0
b4,1,0.144156,2.133022,[42 33] ; [4 8],[39.65517241 35.34482759] ; [6.34482759 5.65517241],0
p2,1,0.149426,2.078104,[44 30] ; [4 7],[41.78823529 32.21176471] ; [6.21176471 4.78823529],0
n4,1,0.160015,1.974087,[40 35] ; [9 3],[42.24137931 32.75862069] ; [6.75862069 5.24137931],0
p11,1,0.185892,1.749876,[34 41] ; [3 9],[31.89655172 43.10344828] ; [5.10344828 6.89655172],0
a5,1,0.229811,1.44203,[36 39] ; [8 4],[37.93103448 37.06896552] ; [6.06896552 5.93103448],0
b5,1,0.229811,1.44203,[39 36] ; [4 8],[37.06896552 37.93103448] ; [5.93103448 6.06896552],0
r3,1,0.232764,1.423893,[32 42] ; [3 9],[30.11627907 43.88372093] ; [4.88372093 7.11627907],0
s1,1,0.237023,1.398214,[ 5 70] ; [ 2 10],[ 6.03448276 68.96551724] ; [ 0.96551724 11.03448276],0
s4,1,0.291649,1.111992,[16 59] ; [ 1 11],[14.65517241 60.34482759] ; [2.34482759 9.65517241],0
n1,1,0.325062,0.968471,[13 22] ; [4 3],[14.16666667 20.83333333] ; [2.83333333 4.16666667],0
d3,1,0.330048,0.948708,[32 42] ; [7 5],[33.55813953 40.44186047] ; [5.44186047 6.55813953],0
p9,1,0.34652,0.88616,[38 35] ; [8 4],[39.50588235 33.49411765] ; [6.49411765 5.50588235],0
d1,1,0.36202,0.830873,[22 53] ; [ 2 10],[20.68965517 54.31034483] ; [3.31034483 8.68965517],0
n3,1,0.402784,0.7,[14 21] ; [4 3],[15. 20.] ; [3. 4.],0
r2,1,0.419363,0.652099,[39 33] ; [8 4],[40.28571429 31.71428571] ; [6.71428571 5.28571429],0
s3,1,0.420703,0.64835,[27 46] ; [3 9],[25.76470588 47.23529412] ; [4.23529412 7.76470588],0
r1,1,0.459319,0.547552,[20 55] ; [ 2 10],[18.96551724 56.03448276] ; [3.03448276 8.96551724],0
a6,1,0.506208,0.441897,[36 39] ; [7 5],[37.06896552 37.93103448] ; [5.93103448 6.06896552],0
u3,1,0.508805,0.436524,[11 28] ; [1 1],[11.41463415 27.58536585] ; [0.58536585 1.41463415],0
p6,1,0.534632,0.38558,[11 62] ; [ 1 11],[10.30588235 62.69411765] ; [ 1.69411765 10.30588235],0
d2,1,0.595087,0.28247,[25 49] ; [5 7],[25.81395349 48.18604651] ; [4.18604651 7.81395349],0
s5,1,0.618206,0.248397,[10 64] ; [ 1 11],[ 9.46511628 64.53488372] ; [ 1.53488372 10.46511628],0
d5,1,0.621684,0.243508,[38 37] ; [7 5],[38.79310345 36.20689655] ; [6.20689655 5.79310345],0
s7,1,0.627973,0.23482,[21 51] ; [4 7],[21.68674699 50.31325301] ; [3.31325301 7.68674699],0
p10,1,0.65329,0.201777,[38 36] ; [7 5],[38.72093023 35.27906977] ; [6.27906977 5.72093023],0
p8,1,0.67049,0.181029,[23 51] ; [3 9],[22.37209302 51.62790698] ; [3.62790698 8.37209302],0
n2,1,0.678845,0.171429,[17 18] ; [4 3],[17.5 17.5] ; [3.5 3.5],0
v4,1,0.697985,0.150577,[42 33] ; [6 6],[41.37931034 33.62068966] ; [6.62068966 5.37931034],0
b1,1,0.763286,0.090702,[41 34] ; [6 6],[40.51724138 34.48275862] ; [6.48275862 5.51724138],0
u2,1,0.778577,0.079059,[16 24] ; [1 1],[16.19047619 23.80952381] ; [0.80952381 1.19047619],0
a4,1,0.800938,0.063571,[22 52] ; [4 8],[22.37209302 51.62790698] ; [3.62790698 8.37209302],0
a7,1,0.81255,0.056234,[34 41] ; [5 7],[33.62068966 41.37931034] ; [5.37931034 6.62068966],0
n6,1,0.825666,0.048516,[39 34] ; [6 6],[38.64705882 34.35294118] ; [6.35294118 5.64705882],0
n5,1,0.832866,0.044533,[47 27] ; [8 4],[47.3255814 26.6744186] ; [7.6744186 4.3255814],0
d4,1,0.843238,0.039107,[46 29] ; [7 5],[45.68965517 29.31034483] ; [7.31034483 4.68965517],0
a2,1,0.911373,0.012389,[ 7 68] ; [ 1 11],[ 6.89655172 68.10344828] ; [ 1.10344828 10.89655172],0
p7,1,0.915307,0.01131,[25 47] ; [4 7],[25.15662651 46.84337349] ; [3.84337349 7.15662651],0
p4,1,0.928109,0.00814,[26 49] ; [4 8],[25.86206897 49.13793103] ; [4.13793103 7.86206897],0
p3,1,0.959948,0.002522,[21 54] ; [3 8],[20.93023256 54.06976744] ; [3.06976744 7.93023256],0
