Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,0.000741,11.383399,[ 2 20] ; [13 10],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],1
p11,1,0.003479,8.537549,[ 4 18] ; [14  9],[ 8.8 13.2] ; [ 9.2 13.8],0
p10,1,0.004828,7.942595,[ 4 17] ; [14  9],[ 8.59090909 12.40909091] ; [ 9.40909091 13.59090909],0
s8,1,0.01125,6.425395,[ 1 21] ; [ 8 15],[ 4.4 17.6] ; [ 4.6 18.4],0
r3,1,0.01543,5.866667,[ 8 14] ; [16  6],[12. 10.] ; [12. 10.],0
s7,1,0.018388,5.558824,[ 1 20] ; [ 7 14],[ 4. 17.] ; [ 4. 17.],0
p4,1,0.03497,4.44664,[ 4 18] ; [11 12],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],0
d5,1,0.047059,3.943288,[ 6 16] ; [13 10],[ 9.28888889 12.71111111] ; [ 9.71111111 13.28888889],0
p2,1,0.050856,3.812994,[ 7 15] ; [14  9],[10.26666667 11.73333333] ; [10.73333333 12.26666667],0
p3,1,0.053214,3.737199,[ 3 19] ; [ 9 14],[ 5.86666667 16.13333333] ; [ 6.13333333 16.86666667],0
v2,1,0.064561,3.416149,[ 3 18] ; [ 9 14],[ 5.72727273 15.27272727] ; [ 6.27272727 16.72727273],0
p9,1,0.072006,3.236689,[ 8 13] ; [15  8],[10.97727273 10.02272727] ; [12.02272727 10.97727273],0
s4,1,0.089874,2.876634,[ 1 21] ; [ 5 18],[ 2.93333333 19.06666667] ; [ 3.06666667 19.93333333],0
n3,1,0.09073,2.861376,[4 6] ; [5 1],[5.625 4.375] ; [3.375 2.625],0
n5,1,0.09161,2.84585,[12 10] ; [18  5],[14.66666667  7.33333333] ; [15.33333333  7.66666667],0
n4,1,0.098145,2.735431,[11 11] ; [17  6],[13.68888889  8.31111111] ; [14.31111111  8.68888889],0
s2,1,0.098947,2.722438,[ 3 19] ; [ 8 15],[ 5.37777778 16.62222222] ; [ 5.62222222 17.37777778],0
r4,1,0.098947,2.722438,[ 3 19] ; [ 8 15],[ 5.37777778 16.62222222] ; [ 5.62222222 17.37777778],0
d3,1,0.098947,2.722438,[ 3 19] ; [ 8 15],[ 5.37777778 16.62222222] ; [ 5.62222222 17.37777778],0
s5,1,0.170481,1.878706,[ 1 21] ; [ 4 19],[ 2.44444444 19.55555556] ; [ 2.55555556 20.44444444],0
p7,1,0.273203,1.200593,[ 7 15] ; [11 12],[ 8.8 13.2] ; [ 9.2 13.8],0
b3,1,0.275973,1.186813,[6 8] ; [ 3 10],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
b2,1,0.275973,1.186813,[6 8] ; [ 3 10],[4.66666667 9.33333333] ; [4.33333333 8.66666667],0
a5,1,0.294948,1.096897,[ 9 13] ; [13 10],[10.75555556 11.24444444] ; [11.24444444 11.75555556],0
b5,1,0.294948,1.096897,[ 9 13] ; [13 10],[10.75555556 11.24444444] ; [11.24444444 11.75555556],0
a8,1,0.346255,0.887134,[ 4 17] ; [ 2 20],[ 2.93023256 18.06976744] ; [ 3.06976744 18.93023256],0
v1,1,0.398959,0.711462,[ 6 16] ; [ 9 14],[ 7.33333333 14.66666667] ; [ 7.66666667 15.33333333],0
p6,1,0.43437,0.611111,[ 3 19] ; [ 5 17],[ 4. 18.] ; [ 4. 18.],0
d4,1,0.457839,0.551172,[10 12] ; [13 10],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
b4,1,0.465099,0.533597,[12 10] ; [15  8],[13.2  8.8] ; [13.8  9.2],0
d2,1,0.523726,0.40655,[ 4 18] ; [ 6 17],[ 4.88888889 17.11111111] ; [ 5.11111111 17.88888889],0
a2,1,0.523726,0.40655,[ 2 20] ; [ 1 22],[ 1.46666667 20.53333333] ; [ 1.53333333 21.46666667],0
v3,1,0.523726,0.40655,[ 4 18] ; [ 6 17],[ 4.88888889 17.11111111] ; [ 5.11111111 17.88888889],0
s1,1,0.598071,0.277915,[ 3 19] ; [ 2 21],[ 2.44444444 19.55555556] ; [ 2.55555556 20.44444444],0
b1,1,0.652171,0.203175,[12 10] ; [11 12],[11.24444444 10.75555556] ; [11.75555556 11.24444444],0
a4,1,0.654641,0.200099,[ 5 17] ; [ 4 19],[ 4.4 17.6] ; [ 4.6 18.4],0
s3,1,0.658617,0.195209,[ 6 15] ; [ 8 15],[ 6.68181818 14.31818182] ; [ 7.31818182 15.68181818],0
a7,1,0.661126,0.192158,[11 11] ; [10 13],[10.26666667 11.73333333] ; [10.73333333 12.26666667],0
a6,1,0.667664,0.184347,[10 12] ; [ 9 14],[ 9.28888889 12.71111111] ; [ 9.71111111 13.28888889],0
p1,1,0.673214,0.177866,[ 2 20] ; [ 3 20],[ 2.44444444 19.55555556] ; [ 2.55555556 20.44444444],0
a3,1,0.740923,0.109317,[ 9 12] ; [11 12],[ 9.54545455 11.45454545] ; [10.45454545 12.54545455],0
r1,1,0.861531,0.030424,[ 9 13] ; [10 13],[ 9.28888889 12.71111111] ; [ 9.71111111 13.28888889],0
r2,1,0.873351,0.025409,[10 12] ; [11 12],[10.26666667 11.73333333] ; [10.73333333 12.26666667],0
u2,1,0.890787,0.018854,[4 9] ; [4 8],[4.16 8.84] ; [3.84 8.16],0
p8,1,0.892364,0.01831,[ 6 15] ; [ 7 16],[ 6.20454545 14.79545455] ; [ 6.79545455 16.20454545],0
n2,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
n1,1,1.0,0.0,[5 5] ; [3 3],[5. 5.] ; [3. 3.],0
