Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p12,1,4e-06,21.184646,[ 13 148] ; [16 30],[ 22.55555556 138.44444444] ; [ 6.44444444 39.55555556],1
p1,1,1e-05,19.594765,[ 12 147] ; [15 31],[ 20.94146341 138.05853659] ; [ 6.05853659 39.94146341],1
p8,1,8.9e-05,15.349485,[82 76] ; [38  7],[93.39901478 64.60098522] ; [26.60098522 18.39901478],1
a1,1,0.000685,11.528194,[  4 157] ; [ 7 39],[  8.55555556 152.44444444] ; [ 2.44444444 43.55555556],1
p3,1,0.001023,10.785356,[81 80] ; [35 10],[90.66019417 70.33980583] ; [25.33980583 19.66019417],0
p6,1,0.001968,9.578723,[65 95] ; [30 15],[74.14634146 85.85365854] ; [20.85365854 24.14634146],0
v3,1,0.00473,7.979722,[62 95] ; [29 17],[70.37931034 86.62068966] ; [20.62068966 25.37931034],0
p4,1,0.005176,7.816994,[103  57] ; [38  6],[110.58823529  49.41176471] ; [30.41176471 13.58823529],0
b5,1,0.008169,6.996103,[108  53] ; [21 25],[100.33333333  60.66666667] ; [28.66666667 17.33333333],0
p11,1,0.012343,6.26087,[119  42] ; [42  4],[125.22222222  35.77777778] ; [35.77777778 10.22222222],0
n4,1,0.02847,4.799404,[118  42] ; [41  5],[123.49514563  36.50485437] ; [35.50485437 10.49514563],0
u2,1,0.029363,4.746228,[15 19] ; [9 2],[18.13333333 15.86666667] ; [5.86666667 5.13333333],0
u1,1,0.04938,3.862391,[ 52 109] ; [ 8 38],[ 46.66666667 114.33333333] ; [13.33333333 32.66666667],0
p10,1,0.053862,3.716972,[141  19] ; [44  1],[144.3902439  15.6097561] ; [40.6097561  4.3902439],0
s4,1,0.064987,3.405299,[ 42 116] ; [ 6 39],[ 37.35960591 120.64039409] ; [10.64039409 34.35960591],0
a2,1,0.068857,3.310048,[ 58 103] ; [10 36],[ 52.88888889 108.11111111] ; [15.11111111 30.88888889],0
r2,1,0.102427,2.667334,[155   3] ; [43  3],[153.35294118   4.64705882] ; [44.64705882  1.35294118],0
p7,1,0.157231,2.000654,[107  49] ; [35  9],[110.76  45.24] ; [31.24 12.76],0
n5,1,0.157833,1.994862,[119  40] ; [39  7],[122.54634146  36.45365854] ; [35.45365854 10.54634146],0
d5,1,0.161196,1.962967,[139  22] ; [35 10],[135.99029126  25.00970874] ; [38.00970874  6.99029126],0
d4,1,0.189854,1.718754,[144  17] ; [37  8],[141.46116505  19.53883495] ; [39.53883495  5.46116505],0
a6,1,0.194569,1.682674,[122  38] ; [30 15],[118.63414634  41.36585366] ; [33.36585366 11.63414634],0
s3,1,0.195905,1.67264,[112  43] ; [28 17],[108.5  46.5] ; [31.5 13.5],0
d3,1,0.198642,1.652327,[132  29] ; [33 12],[128.95631068  32.04368932] ; [36.04368932  8.95631068],0
n6,1,0.199443,1.646447,[141  17] ; [43  2],[143.21182266  14.78817734] ; [40.78817734  4.21182266],0
s2,1,0.199858,1.643409,[122  37] ; [31 15],[118.66829268  40.33170732] ; [34.33170732 11.66829268],0
r4,1,0.233123,1.421703,[150  11] ; [45  1],[151.66666667   9.33333333] ; [43.33333333  2.66666667],0
