Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,3.7e-05,17.004831,[ 4 42] ; [6 3],[ 8.36363636 37.63636364] ; [1.63636364 7.36363636],1
p4,1,0.001086,10.674867,[ 4 43] ; [5 5],[ 7.42105263 39.57894737] ; [1.57894737 8.42105263],0
p3,1,0.002669,9.021245,[ 4 42] ; [5 6],[ 7.26315789 38.73684211] ; [1.73684211 9.26315789],0
s2,1,0.012793,6.197554,[ 6 41] ; [5 6],[ 8.9137931 38.0862069] ; [2.0862069 8.9137931],0
s8,1,0.014347,5.994949,[ 2 45] ; [3 8],[ 4.05172414 42.94827586] ; [ 0.94827586 10.05172414],0
s1,1,0.017631,5.632411,[ 4 42] ; [4 7],[ 6.45614035 39.54385965] ; [1.54385965 9.45614035],0
v1,1,0.017942,5.601835,[ 9 37] ; [6 5],[12.10526316 33.89473684] ; [2.89473684 8.10526316],0
p5,1,0.030446,4.683922,[ 1 46] ; [2 9],[ 2.43103448 44.56896552] ; [ 0.56896552 10.43103448],0
n2,1,0.062065,3.481319,[12 14] ; [6 1],[14.18181818 11.81818182] ; [3.81818182 3.18181818],0
d3,1,0.093992,2.804642,[21 26] ; [8 3],[23.5 23.5] ; [5.5 5.5],0
p10,1,0.096655,2.759881,[13 33] ; [6 5],[15.33333333 30.66666667] ; [3.66666667 7.33333333],0
s6,1,0.102026,2.673578,[ 7 40] ; [4 7],[ 8.9137931 38.0862069] ; [2.0862069 8.9137931],0
p6,1,0.112768,2.514996,[ 2 43] ; [2 9],[ 3.21428571 41.78571429] ; [ 0.78571429 10.21428571],0
u3,1,0.114653,2.488889,[ 4 14] ; [2 1],[ 5.14285714 12.85714286] ; [0.85714286 2.14285714],0
b3,1,0.131834,2.270775,[16 16] ; [1 5],[14.31578947 17.68421053] ; [2.68421053 3.31578947],0
b2,1,0.131834,2.270775,[16 16] ; [1 5],[14.31578947 17.68421053] ; [2.68421053 3.31578947],0
r2,1,0.1392,2.186777,[24 20] ; [8 2],[26.07407407 17.92592593] ; [5.92592593 4.07407407],0
p11,1,0.140764,2.169591,[11 36] ; [5 6],[12.96551724 34.03448276] ; [3.03448276 7.96551724],0
a6,1,0.193415,1.691415,[24 23] ; [8 3],[25.93103448 21.06896552] ; [6.06896552 4.93103448],0
n6,1,0.226792,1.46087,[18 28] ; [6 4],[19.71428571 26.28571429] ; [4.28571429 5.71428571],0
a2,1,0.231611,1.43094,[ 6 41] ; [3 8],[ 7.29310345 39.70689655] ; [1.70689655 9.29310345],0
b1,1,0.257406,1.282656,[26 21] ; [4 7],[24.31034483 22.68965517] ; [5.68965517 5.31034483],0
p9,1,0.263482,1.250369,[12 31] ; [5 6],[13.53703704 29.46296296] ; [3.46296296 7.53703704],0
v4,1,0.285434,1.141031,[17 29] ; [6 5],[18.56140351 27.43859649] ; [4.43859649 6.56140351],0
r3,1,0.285434,1.141031,[17 29] ; [6 5],[18.56140351 27.43859649] ; [4.43859649 6.56140351],0
v3,1,0.31141,1.024687,[10 36] ; [4 7],[11.29824561 34.70175439] ; [2.70175439 8.29824561],0
v2,1,0.394938,0.723684,[14 30] ; [5 6],[15.2 28.8] ; [3.8 7.2],0
a1,1,0.42663,0.631979,[ 9 38] ; [ 1 10],[ 8.10344828 38.89655172] ; [1.89655172 9.10344828],0
n4,1,0.509789,0.4345,[30 16] ; [6 5],[29.05263158 16.94736842] ; [6.94736842 4.05263158],0
a3,1,0.545469,0.365498,[29 17] ; [8 3],[29.85964912 16.14035088] ; [7.14035088 3.85964912],0
b5,1,0.554895,0.34862,[21 26] ; [6 5],[21.87931034 25.12068966] ; [5.12068966 5.87931034],0
d1,1,0.554895,0.34862,[21 26] ; [6 5],[21.87931034 25.12068966] ; [5.12068966 5.87931034],0
d2,1,0.577037,0.31105,[25 21] ; [7 4],[25.8245614 20.1754386] ; [6.1754386 4.8245614],0
n3,1,0.580912,0.304762,[10 15] ; [2 5],[ 9.375 15.625] ; [2.625 4.375],0
s4,1,0.615378,0.252418,[ 7 40] ; [ 1 10],[ 6.48275862 40.51724138] ; [1.51724138 9.48275862],0
s7,1,0.624332,0.239826,[ 9 35] ; [3 8],[ 9.6 34.4] ; [2.4 8.6],0
a7,1,0.688815,0.160371,[22 24] ; [6 5],[22.59649123 23.40350877] ; [5.40350877 5.59649123],0
a5,1,0.707505,0.140782,[27 20] ; [7 4],[27.55172414 19.44827586] ; [6.44827586 4.55172414],0
d4,1,0.764497,0.089749,[32 15] ; [8 3],[32.4137931 14.5862069] ; [7.5862069 3.4137931],0
p1,1,0.786281,0.073519,[ 7 40] ; [2 9],[ 7.29310345 39.70689655] ; [1.70689655 9.29310345],0
n1,1,0.832682,0.044632,[10 16] ; [3 4],[10.24242424 15.75757576] ; [2.75757576 4.24242424],0
u2,1,0.843669,0.038889,[ 5 13] ; [1 2],[ 5.14285714 12.85714286] ; [0.85714286 2.14285714],0
a4,1,0.865534,0.028674,[18 28] ; [4 7],[17.75438596 28.24561404] ; [4.24561404 6.75438596],0
n5,1,0.921373,0.009743,[30 16] ; [7 4],[29.85964912 16.14035088] ; [7.14035088 3.85964912],0
s3,1,0.947759,0.004293,[13 33] ; [3 8],[12.9122807 33.0877193] ; [3.0877193 7.9122807],0
r1,1,0.947759,0.004293,[13 33] ; [3 8],[12.9122807 33.0877193] ; [3.0877193 7.9122807],0
u1,1,0.950781,0.00381,[ 4 43] ; [ 1 10],[ 4.05172414 42.94827586] ; [ 0.94827586 10.05172414],0
b4,1,0.962953,0.002157,[26 21] ; [6 5],[25.93103448 21.06896552] ; [6.06896552 4.93103448],0
s5,1,0.966794,0.001733,[ 4 42] ; [ 1 10],[ 4.03508772 41.96491228] ; [ 0.96491228 10.03508772],0
d5,1,0.990413,0.000144,[30 17] ; [7 4],[29.98275862 17.01724138] ; [7.01724138 3.98275862],0
