Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,26.054056,[25 32] ; [98 22],[39.61016949 17.38983051] ; [83.38983051 36.61016949],1
a4,1,7e-06,20.158036,[ 9 50] ; [60 60],[22.74301676 36.25698324] ; [46.25698324 73.74301676],1
d1,1,8e-06,19.882069,[18 41] ; [79 41],[31.97206704 27.02793296] ; [65.02793296 54.97206704],1
a6,1,2.2e-05,18.029873,[27 32] ; [93 27],[39.55307263 19.44692737] ; [80.44692737 39.55307263],1
d5,1,2.2e-05,17.970836,[31 27] ; [100  20],[42.68539326 15.31460674] ; [88.31460674 31.68539326],1
r1,1,2.5e-05,17.754603,[33 26] ; [101  18],[44.41573034 14.58426966] ; [89.58426966 29.41573034],1
n5,1,0.000357,12.742376,[29 30] ; [91 29],[39.55307263 19.44692737] ; [80.44692737 39.55307263],1
d2,1,0.000662,11.594361,[17 42] ; [67 53],[27.68715084 31.31284916] ; [56.31284916 63.68715084],1
n4,1,0.000742,11.381493,[33 26] ; [96 24],[42.51955307 16.48044693] ; [86.48044693 33.51955307],1
r4,1,0.00193,9.614568,[44 15] ; [110  10],[50.75977654  8.24022346] ; [103.24022346  16.75977654],0
d4,1,0.003427,8.564816,[35 23] ; [97 23],[43.01123596 14.98876404] ; [88.98876404 31.01123596],0
p3,1,0.003431,8.562616,[23 36] ; [74 45],[32.15168539 26.84831461] ; [64.84831461 54.15168539],0
p4,1,0.003486,8.533929,[26 33] ; [79 39],[35. 24.] ; [70. 48.],0
d3,1,0.003622,8.464322,[27 30] ; [84 36],[35.74576271 21.25423729] ; [75.25423729 44.74576271],0
p10,1,0.004805,7.95147,[36 23] ; [96 23],[43.75280899 15.24719101] ; [88.24719101 30.75280899],0
v2,1,0.008087,7.014014,[25 31] ; [77 40],[33.01734104 22.98265896] ; [68.98265896 48.01734104],0
v3,1,0.008539,6.91677,[15 43] ; [54 62],[23. 35.] ; [46. 70.],0
p9,1,0.015348,5.876083,[39 20] ; [98 21],[45.41011236 13.58988764] ; [91.58988764 27.41011236],0
p11,1,0.018856,5.514808,[42 17] ; [103  17],[47.79329609 11.20670391] ; [97.20670391 22.79329609],0
u1,1,0.02778,4.841671,[ 2 57] ; [ 17 103],[ 6.26256983 52.73743017] ; [ 12.73743017 107.26256983],0
v1,1,0.027911,4.833565,[22 35] ; [67 52],[28.82386364 28.17613636] ; [60.17613636 58.82386364],0
s8,1,0.028337,4.807433,[ 8 51] ; [34 86],[13.84357542 45.15642458] ; [28.15642458 91.84357542],0
b2,1,0.055936,3.65397,[ 9 26] ; [34 42],[13.55855856 21.44144144] ; [29.44144144 46.55855856],0
b3,1,0.055936,3.65397,[ 9 26] ; [34 42],[13.55855856 21.44144144] ; [29.44144144 46.55855856],0
p8,1,0.070998,3.259784,[30 29] ; [76 41],[35.53409091 23.46590909] ; [70.46590909 46.53409091],0
p2,1,0.093211,2.818026,[47 12] ; [105  13],[50.66666667  8.33333333] ; [101.33333333  16.66666667],0
