Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,109.641921,[162   9] ; [15 39],[134.52  36.48] ; [42.48 11.52],1
p2,1,0.0,30.764142,[146  23] ; [29 28],[130.86283186  38.13716814] ; [44.13716814 12.86283186],1
p11,1,0.0,25.951025,[144  27] ; [29 28],[129.75  41.25] ; [43.25 13.75],1
p7,1,0.0,25.693139,[117  51] ; [18 39],[100.8  67.2] ; [34.2 22.8],1
n5,1,2e-06,22.848713,[132  38] ; [25 32],[117.57709251  52.42290749] ; [39.42290749 17.57709251],1
v4,1,2e-06,22.830441,[168   3] ; [46 11],[160.5  10.5] ; [53.5  3.5],1
r4,1,1.7e-05,18.475421,[158  13] ; [40 17],[148.5  22.5] ; [49.5  7.5],1
n4,1,2.1e-05,18.100701,[143  28] ; [32 25],[131.25  39.75] ; [43.75 13.25],1
p4,1,0.000229,13.579603,[110  60] ; [21 36],[98.10572687 71.89427313] ; [32.89427313 24.10572687],1
p8,1,0.000355,12.754392,[99 69] ; [18 39],[87.36 80.64] ; [29.64 27.36],1
n6,1,0.000362,12.721033,[153  18] ; [39 17],[144.63436123  26.36563877] ; [47.36563877  8.63436123],1
p3,1,0.000485,12.172853,[90 80] ; [15 42],[78.63436123 91.36563877] ; [26.36563877 30.63436123],1
v3,1,0.002451,9.176974,[72 94] ; [11 43],[ 62.62727273 103.37272727] ; [20.37272727 33.62727273],0
v1,1,0.003417,8.570187,[99 71] ; [20 36],[89.51327434 80.48672566] ; [29.48672566 26.51327434],0
p6,1,0.005186,7.813416,[ 63 107] ; [ 9 45],[ 54.64285714 115.35714286] ; [17.35714286 36.64285714],0
b1,1,0.006139,7.50906,[ 50 121] ; [28 29],[ 58.5 112.5] ; [19.5 37.5],0
r3,1,0.009375,6.749998,[162   9] ; [47  9],[157.44052863  13.55947137] ; [51.55947137  4.44052863],0
s6,1,0.017637,5.631885,[82 87] ; [17 39],[74.36 94.64] ; [24.64 31.36],0
s5,1,0.028318,4.808587,[ 45 123] ; [ 7 49],[ 39. 129.] ; [13. 43.],0
p5,1,0.02987,4.716755,[ 19 151] ; [ 1 56],[ 14.97797357 155.02202643] ; [ 5.02202643 51.97797357],0
r1,1,0.030399,4.686608,[142  29] ; [39 17],[136.34801762  34.65198238] ; [44.65198238 11.34801762],0
b3,1,0.038232,4.294693,[41 58] ; [10 33],[35.55633803 63.44366197] ; [15.44366197 27.55633803],0
b2,1,0.038232,4.294693,[41 58] ; [10 33],[35.55633803 63.44366197] ; [15.44366197 27.55633803],0
a8,1,0.057441,3.609758,[ 20 124] ; [ 2 48],[ 16.32989691 127.67010309] ; [ 5.67010309 44.32989691],0
v2,1,0.074806,3.17429,[106  61] ; [28 28],[100.34977578  66.65022422] ; [33.65022422 22.34977578],0
s1,1,0.09069,2.862082,[  1 169] ; [ 2 54],[  2.25663717 167.74336283] ; [ 0.74336283 55.25663717],0
d5,1,0.093398,2.814815,[170   1] ; [55  2],[168.75   2.25] ; [56.25  0.75],0
u4,1,0.093398,2.814815,[  1 170] ; [ 2 55],[  2.25 168.75] ; [ 0.75 56.25],0
s7,1,0.121938,2.392256,[ 49 113] ; [10 42],[ 44.6635514 117.3364486] ; [14.3364486 37.6635514],0
s8,1,0.131916,2.269811,[ 51 119] ; [11 45],[ 46.63716814 123.36283186] ; [15.36283186 40.63716814],0
r2,1,0.153644,2.035696,[159   9] ; [49  6],[156.69955157  11.30044843] ; [51.30044843  3.69955157],0
s4,1,0.172203,1.863664,[ 20 148] ; [ 3 52],[ 17.32735426 150.67264574] ; [ 5.67264574 49.32735426],0
u3,1,0.226229,1.464412,[20 20] ; [9 4],[21.88679245 18.11320755] ; [7.11320755 5.88679245],0
d4,1,0.23575,1.405829,[169   2] ; [54  2],[167.98678414   3.01321586] ; [55.01321586  0.98678414],0
n3,1,0.258119,1.278817,[23 10] ; [15 12],[20.9 12.1] ; [17.1  9.9],0
s2,1,0.280682,1.163785,[ 29 142] ; [ 6 49],[ 26.48230088 144.51769912] ; [ 8.51769912 46.48230088],0
a5,1,0.304902,1.052632,[145  26] ; [45 12],[142.5  28.5] ; [47.5  9.5],0
a4,1,0.344717,0.892808,[94 76] ; [35 21],[97.03539823 72.96460177] ; [31.96460177 24.03539823],0
u1,1,0.368459,0.808855,[ 43 128] ; [11 46],[ 40.5 130.5] ; [13.5 43.5],0
a2,1,0.414134,0.666901,[ 53 118] ; [21 36],[ 55.5 115.5] ; [18.5 38.5],0
d2,1,0.433929,0.612284,[118  53] ; [41 14],[120.30530973  50.69469027] ; [38.69469027 16.30530973],0
n2,1,0.46745,0.527999,[22 12] ; [15 12],[20.62295082 13.37704918] ; [16.37704918 10.62295082],0
b5,1,0.476676,0.506458,[105  66] ; [38 19],[107.25  63.75] ; [35.75 21.25],0
a1,1,0.555798,0.347032,[  6 165] ; [ 3 54],[  6.75 164.25] ; [ 2.25 54.75],0
a7,1,0.606925,0.264678,[131  40] ; [41 15],[129.56828194  41.43171806] ; [42.43171806 13.56828194],0
