Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2e-05,18.229167,[3 7] ; [53  7],[8. 2.] ; [48. 12.],1
d1,1,0.035537,4.419192,[4 6] ; [44 16],[6.85714286 3.14285714] ; [41.14285714 18.85714286],0
p10,1,0.037669,4.319922,[8 2] ; [57  2],[9.42028986 0.57971014] ; [55.57971014  3.42028986],0
v2,1,0.039094,4.256768,[4 6] ; [43 16],[6.8115942 3.1884058] ; [40.1884058 18.8115942],0
a6,1,0.040471,4.198047,[3 7] ; [38 21],[5.94202899 4.05797101] ; [35.05797101 23.94202899],0
d5,1,0.041367,4.160928,[6 4] ; [51  8],[8.26086957 1.73913043] ; [48.73913043 10.26086957],0
b3,1,0.042798,4.103343,[1 6] ; [26 21],[3.5 3.5] ; [23.5 23.5],0
b2,1,0.042798,4.103343,[1 6] ; [26 21],[3.5 3.5] ; [23.5 23.5],0
a5,1,0.079153,3.082215,[5 5] ; [46 14],[7.28571429 2.71428571] ; [43.71428571 16.28571429],0
n6,1,0.092509,2.830169,[8 2] ; [56  3],[9.27536232 0.72463768] ; [54.72463768  4.27536232],0
p7,1,0.100214,2.702135,[6 4] ; [48 10],[7.94117647 2.05882353] ; [46.05882353 11.94117647],0
s4,1,0.139239,2.18635,[3 7] ; [ 7 51],[1.47058824 8.52941176] ; [ 8.52941176 49.47058824],0
v4,1,0.143072,2.144608,[9 1] ; [59  1],[9.71428571 0.28571429] ; [58.28571429  1.71428571],0
v3,1,0.183723,1.767244,[5 5] ; [42 17],[6.8115942 3.1884058] ; [40.1884058 18.8115942],0
p3,1,0.222765,1.486471,[6 4] ; [46 13],[7.53623188 2.46376812] ; [44.46376812 14.53623188],0
u3,1,0.236724,1.4,[4 3] ; [6 1],[5. 2.] ; [5. 2.],0
r1,1,0.315467,1.007647,[7 3] ; [50 10],[8.14285714 1.85714286] ; [48.85714286 11.14285714],0
p9,1,0.335204,0.92869,[9 1] ; [58  2],[9.57142857 0.42857143] ; [57.42857143  2.57142857],0
p8,1,0.393153,0.729167,[7 3] ; [49 11],[8. 2.] ; [48. 12.],0
s7,1,0.395254,0.722716,[6 4] ; [41 15],[7.12121212 2.87878788] ; [39.87878788 16.12121212],0
p6,1,0.407143,0.687129,[5 5] ; [37 21],[6.17647059 3.82352941] ; [35.82352941 22.17647059],0
p12,1,0.456057,0.555556,[2 8] ; [19 41],[3. 7.] ; [18. 42.],0
d4,1,0.479947,0.498983,[8 2] ; [52  7],[8.69565217 1.30434783] ; [51.30434783  7.69565217],0
b5,1,0.494525,0.466667,[6 4] ; [29 31],[5. 5.] ; [30. 30.],0
u2,1,0.514828,0.424242,[5 2] ; [6 1],[5.5 1.5] ; [5.5 1.5],0
b4,1,0.547532,0.361757,[7 3] ; [36 24],[6.14285714 3.85714286] ; [36.85714286 23.14285714],0
a8,1,0.590892,0.288953,[2 7] ; [ 8 45],[1.4516129 7.5483871] ; [ 8.5483871 44.4516129],0
s5,1,0.605125,0.267335,[5 3] ; [40 16],[5.625 2.375] ; [39.375 16.625],0
a4,1,0.695205,0.153509,[4 6] ; [28 32],[4.57142857 5.42857143] ; [27.42857143 32.57142857],0
b1,1,0.695205,0.153509,[4 6] ; [28 32],[4.57142857 5.42857143] ; [27.42857143 32.57142857],0
n5,1,0.704738,0.14359,[9 1] ; [56  4],[9.28571429 0.71428571] ; [55.71428571  4.28571429],0
r3,1,0.704738,0.14359,[9 1] ; [56  4],[9.28571429 0.71428571] ; [55.71428571  4.28571429],0
d2,1,0.727289,0.121615,[5 5] ; [33 26],[5.50724638 4.49275362] ; [32.49275362 26.50724638],0
s3,1,0.731297,0.117924,[7 3] ; [38 21],[6.52173913 3.47826087] ; [38.47826087 20.52173913],0
p1,1,0.732821,0.116537,[2 8] ; [15 45],[2.42857143 7.57142857] ; [14.57142857 45.42857143],0
s2,1,0.75778,0.095109,[7 3] ; [39 21],[6.57142857 3.42857143] ; [39.42857143 20.57142857],0
a7,1,0.826297,0.04816,[7 3] ; [44 16],[7.28571429 2.71428571] ; [43.71428571 16.28571429],0
s1,1,0.861626,0.030382,[1 9] ; [ 5 55],[0.85714286 9.14285714] ; [ 5.14285714 54.85714286],0
p4,1,0.864784,0.028998,[9 1] ; [52  7],[8.84057971 1.15942029] ; [52.15942029  6.84057971],0
s8,1,0.890039,0.019115,[7 3] ; [40 19],[6.8115942 3.1884058] ; [40.1884058 18.8115942],0
u1,1,0.900146,0.015744,[2 8] ; [11 49],[1.85714286 8.14285714] ; [11.14285714 48.85714286],0
a2,1,0.900146,0.015744,[2 8] ; [11 49],[1.85714286 8.14285714] ; [11.14285714 48.85714286],0
d3,1,0.939046,0.005847,[7 3] ; [42 17],[7.10144928 2.89855072] ; [41.89855072 17.10144928],0
