Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1e-06,24.651321,[ 8 18] ; [94 24],[18.41666667  7.58333333] ; [83.58333333 34.41666667],1
n4,1,6.3e-05,16.005635,[11 15] ; [95 23],[19.13888889  6.86111111] ; [86.86111111 31.13888889],1
v4,1,0.001656,9.896729,[22  4] ; [115   2],[24.90909091  1.09090909] ; [112.09090909   4.90909091],0
p2,1,0.002002,9.547457,[18  8] ; [107  10],[22.72727273  3.27272727] ; [102.27272727  14.72727273],0
d2,1,0.026833,4.901553,[ 7 19] ; [60 58],[12.09722222 13.90277778] ; [54.90277778 63.09722222],0
d1,1,0.055479,3.667625,[11 15] ; [74 44],[15.34722222 10.65277778] ; [69.65277778 48.34722222],0
a5,1,0.05647,3.638146,[14 12] ; [86 32],[18.05555556  7.94444444] ; [81.94444444 36.05555556],0
s8,1,0.057703,3.602195,[ 3 23] ; [35 83],[ 6.86111111 19.13888889] ; [31.13888889 86.86111111],0
p4,1,0.074646,3.177778,[12 14] ; [76 41],[16. 10.] ; [72. 45.],0
s1,1,0.084427,2.97755,[ 2 23] ; [  2 115],[ 0.70422535 24.29577465] ; [  3.29577465 113.70422535],0
v1,1,0.123156,2.376717,[10 16] ; [64 52],[13.54929577 12.45070423] ; [60.45070423 55.54929577],0
p11,1,0.155032,2.022024,[19  7] ; [100  18],[21.48611111  4.51388889] ; [97.51388889 20.48611111],0
p10,1,0.167543,1.904794,[19  7] ; [98 18],[21.42253521  4.57746479] ; [95.57746479 20.42253521],0
p7,1,0.185702,1.751387,[16  9] ; [89 27],[18.61702128  6.38297872] ; [86.38297872 29.61702128],0
u1,1,0.192869,1.695567,[ 1 25] ; [ 15 103],[ 2.88888889 23.11111111] ; [ 13.11111111 104.88888889],0
r3,1,0.211496,1.561156,[22  4] ; [109   9],[23.65277778  2.34722222] ; [107.34722222  10.65277778],0
p3,1,0.266282,1.235802,[12 14] ; [68 49],[14.54545455 11.45454545] ; [65.45454545 51.54545455],0
p9,1,0.292123,1.109813,[20  6] ; [99 17],[21.78873239  4.21126761] ; [97.21126761 18.78873239],0
a2,1,0.297996,1.083141,[ 3 23] ; [24 94],[ 4.875 21.125] ; [22.125 95.875],0
b1,1,0.356127,0.851505,[12 14] ; [43 75],[ 9.93055556 16.06944444] ; [45.06944444 72.93055556],0
a4,1,0.389327,0.741044,[ 8 18] ; [47 71],[ 9.93055556 16.06944444] ; [45.06944444 72.93055556],0
n2,1,0.392742,0.730435,[3 2] ; [18  5],[3.75 1.25] ; [17.25  5.75],0
d4,1,0.395975,0.720515,[18  8] ; [91 27],[19.68055556  6.31944444] ; [89.31944444 28.68055556],0
v3,1,0.400725,0.70615,[ 8 16] ; [49 66],[ 9.84172662 14.15827338] ; [47.15827338 67.84172662],0
b5,1,0.420449,0.649059,[17  9] ; [67 51],[15.16666667 10.83333333] ; [68.83333333 49.16666667],0
d3,1,0.484252,0.489272,[16 10] ; [81 37],[17.51388889  8.48611111] ; [79.48611111 38.51388889],0
p5,1,0.486691,0.483835,[ 1 25] ; [  9 108],[ 1.81818182 24.18181818] ; [  8.18181818 108.81818182],0
b3,1,0.524354,0.40532,[ 4 10] ; [27 45],[5.04651163 8.95348837] ; [25.95348837 46.04651163],0
b2,1,0.524354,0.40532,[ 4 10] ; [27 45],[5.04651163 8.95348837] ; [25.95348837 46.04651163],0
n3,1,0.532528,0.389565,[3 2] ; [17  6],[3.57142857 1.42857143] ; [16.42857143  6.57142857],0
s7,1,0.542243,0.371398,[ 5 18] ; [31 80],[ 6.17910448 16.82089552] ; [29.82089552 81.17910448],0
p1,1,0.54252,0.370889,[ 4 22] ; [ 13 104],[ 3.09090909 22.90909091] ; [ 13.90909091 103.09090909],0
